algorithm,geometry,workload,seed,git_sha,evaluation_realization_hash,checkpoint_hash,training_status,convergence_class,mean_delay_s,std_delay_s,mean_energy_j,std_energy_j,completion_ratio,completed_tasks,failed_tasks,total_tasks,max_decomposition_residual_s,invariants_passed
CoTOP,linear_corridor,40,44,52f2d3c81f0b8843edd08594cccedbaca4888ea8,051a3c7597dd8cf3556ddffce6281068ff2e835d717b6f8e651df68aa1d1bd52,a9af090a153858fd70fa5b39feb4b713e31539fc4e0a5deb13f24b04570e12b0,CACHED_PASS,DIVERGED,2.067700919680623,1.5055679734704508,4.360741598699439,5.216569622678338,0.9633333333333334,1156,44,1200,8.881784197001252e-16,True
CoTOP,linear_corridor,40,45,52f2d3c81f0b8843edd08594cccedbaca4888ea8,cc98b98c066594253241b42021106ecaafdc6719913fa0f73bc96d18f1ba1516,f9d437dcd9c180cc6c5f047c04f913acb55fed663c5fb211c5ce88774c938b49,CACHED_PASS,DIVERGED,2.1365742563357153,1.5196194921523303,6.676955089307765,3.7871194090141356,0.98,1176,24,1200,8.881784197001252e-16,True
CoTOP,linear_corridor,40,46,52f2d3c81f0b8843edd08594cccedbaca4888ea8,0b0ef3be7cb5b7715d2f507d9900f6a8d2558c0a1fac36bc27e98c38a4270c13,73dbdddaafe0addd300acef1634dff2f376b3a7c8e504fe044cbb6f3a8edf237,CACHED_PASS,DIVERGED,2.015403951470352,1.5289210001934905,3.698666788493171,3.9183585208441882,0.9691666666666666,1163,37,1200,8.881784197001252e-16,True
DDQN,linear_corridor,20,42,52f2d3c81f0b8843edd08594cccedbaca4888ea8,e8a7a9df310ce148f157a304d9b49b31456da2cb7e8e119ac5e9406914d065e9,fc05b745a80e196432ac57ca1bbcbd06e49595a5e46e5a9ac1c107ed238e761a,CACHED_PASS,STABLE,1.937079047066212,1.482104523,0.4465343028416362,0.812495831,0.9666666666666667,580,20,600,8.881784197001252e-16,True
DDQN,linear_corridor,20,43,52f2d3c81f0b8843edd08594cccedbaca4888ea8,fb84cbc010917cb8edfa675d854d3155bbbe431e208fa172e46bb44b3c282dca,eab8dae308a21d02a4125f045c78db9a1b30e64289980aa7f43ed3ae85f9cb49,CACHED_PASS,STABLE,2.002997759481378,1.5262534976631599,0.3062754935244658,0.13145577135776032,0.95,570,30,600,8.881784197001252e-16,True
DDQN,linear_corridor,20,44,52f2d3c81f0b8843edd08594cccedbaca4888ea8,de7c0273be3004590917399f349e06687ea73cfee4bb0a87a7047caa6a99cbe7,ed5b8c740acd2eebbe7b06b187afc0ea93beecbd3ba80e9142ea063b82542fba,CACHED_PASS,STABLE,1.9476840326437477,1.447291729162007,0.48927846326446495,1.697275837189224,0.9766666666666667,586,14,600,8.881784197001252e-16,True
DDQN,linear_corridor,20,45,52f2d3c81f0b8843edd08594cccedbaca4888ea8,b34cf5db2676e2ea6178f43c3289e79661e52623330a114418ae8294a4659808,b346d267f841e4171dba4f6c62266ee53f0feb6e92cc66f6a7b282d23b070a4d,CACHED_PASS,STABLE,1.9735950361316539,1.5072100315233283,0.3622357886339381,0.9145724583163041,0.97,582,18,600,4.440892098500626e-16,True
DDQN,linear_corridor,20,46,52f2d3c81f0b8843edd08594cccedbaca4888ea8,aa2c8d1006a1f00c01f5f714df9293a12d6acdd5bb8f7d8580bd64813fd060b1,ae657fe254539f4924866e5a00f4f11becea35a79878f166d682744a5760f9b7,CACHED_PASS,STABLE,1.9741007906105112,1.5325806007789804,0.38301681971692025,0.8532310457951585,0.9733333333333334,584,16,600,8.881784197001252e-16,True
DDQN,linear_corridor,30,42,52f2d3c81f0b8843edd08594cccedbaca4888ea8,c8ee4b9eadeefb41891f1c79ee415b369d957f4af62567c6a44bf9e8ed82f116,4d17584b2c26bf35d0e99604b29943d43f50c9f145ab2fbcee5f6e64aeda1811,CACHED_PASS,STABLE,1.9444881920345107,1.4453062630870903,0.3453608255847295,0.689368726204355,0.9777777777777777,880,20,900,4.440892098500626e-16,True
DDQN,linear_corridor,30,43,52f2d3c81f0b8843edd08594cccedbaca4888ea8,09a8e75fb3caf6e5c4810e2f6992c884b7224d8304d364279bcbd58303625637,3b91ef02fbb173da061b5ef26c59fcf6b5d5e03731cbe851c3b06014be36d0ab,CACHED_PASS,STABLE,2.0289300701761364,1.5092437143404516,0.3181867701843277,0.3214224383258278,0.9666666666666667,870,30,900,8.881784197001252e-16,True
DDQN,linear_corridor,30,44,52f2d3c81f0b8843edd08594cccedbaca4888ea8,042056d0831c1dc4dab0b92d3de993f78e28a3d9957cfc6250f16973e2142873,c10875bb001f8ee916c8843c436694c9db39abfa6941f50ff8b5fb533583989d,CACHED_PASS,STABLE,1.9964797459209638,1.4927142633739239,0.2920138872098801,0.13157620343192905,0.9655555555555555,869,31,900,8.881784197001252e-16,True
DDQN,linear_corridor,30,45,52f2d3c81f0b8843edd08594cccedbaca4888ea8,4246474b6449e6b62ae10fd3c2cf664d5a079ae054ebb4c13e85ffe28c04b760,48fe4c6c7bf1837dc10b774468bc17467a17fc2cf43680915d88789c9b57e510,CACHED_PASS,STABLE,1.9796238875119703,1.4730693380051278,0.3238803409728045,0.44464556987728504,0.9755555555555555,878,22,900,4.440892098500626e-16,True
DDQN,linear_corridor,30,46,52f2d3c81f0b8843edd08594cccedbaca4888ea8,063ab2eb69903d99ed8444074c2223e60e2bd811a73d77a06545d8b61cb5ac2c,dd12c311cc470acff961170b17c1087d0a80943bb0c23b0e9380bedc5f2bf3a1,CACHED_PASS,STABLE,1.9979694704271802,1.5213187368288132,0.36100371539670634,0.6989194540484976,0.9655555555555555,869,31,900,8.881784197001252e-16,True
DDQN,linear_corridor,40,42,52f2d3c81f0b8843edd08594cccedbaca4888ea8,443e949fe76ce212986652b9a4497a32aa88dd46809870ded7e348bbdd473e33,c9a4a6d17a72cacb94d4fd8d18e50749755a8a0fb5c63863d1176d3bf9d4f09c,CACHED_PASS,STABLE,1.9792111300157293,1.4344678272358442,0.30002522498366035,0.4247843150941954,0.975,1170,30,1200,8.881784197001252e-16,True
DDQN,linear_corridor,40,43,52f2d3c81f0b8843edd08594cccedbaca4888ea8,b5133a3de7569b9f5609fdff190635a9a98d033919c434d19118662d7b2ad5e1,b7e29f532efa8a38bde95b5e172ff29756dc51533e5a024369cccd2065849982,CACHED_PASS,STABLE,2.0358410390695014,1.45799681030053,0.336153659437952,0.5024527857911205,0.975,1170,30,1200,8.881784197001252e-16,True
DDQN,linear_corridor,40,44,52f2d3c81f0b8843edd08594cccedbaca4888ea8,051a3c7597dd8cf3556ddffce6281068ff2e835d717b6f8e651df68aa1d1bd52,938b6fa98911ffd580b5f61ee318f1862a2e24367f28d31167bba3712be7439f,CACHED_PASS,STABLE,2.012430854446071,1.508356007165539,3.3619867794524847,4.944134375815355,0.9658333333333333,1159,41,1200,8.881784197001252e-16,True
DDQN,linear_corridor,40,45,52f2d3c81f0b8843edd08594cccedbaca4888ea8,cc98b98c066594253241b42021106ecaafdc6719913fa0f73bc96d18f1ba1516,1af1decb842f277a4f61cf95a2946a6f78de71c2dc8362bde9058d1552cffbdd,CACHED_PASS,STABLE,2.0473483745242356,1.5308397700533192,0.2929220101478624,0.12932917886658693,0.965,1158,42,1200,8.881784197001252e-16,True
DDQN,linear_corridor,40,46,52f2d3c81f0b8843edd08594cccedbaca4888ea8,0b0ef3be7cb5b7715d2f507d9900f6a8d2558c0a1fac36bc27e98c38a4270c13,c0d51e609c92f78fd3066acf841c48a4ea204b625116678a7356629ac55a05b0,CACHED_PASS,STABLE,2.0367369611367887,1.5193039646154678,0.3494647615288253,0.9598368169115148,0.9608333333333333,1153,47,1200,8.881784197001252e-16,True
CoTOP,urban_manhattan,20,42,52f2d3c81f0b8843edd08594cccedbaca4888ea8,d688cb64053623ef6f60bc8d0bf93066a8cb59fbe31bfc34d202e94f44e7988e,61873fa72422f60e17e4cb3ba226d45552667331da0a207992f8160a2ea01094,CACHED_PASS,DIVERGED,0.6261902016548498,0.2252023542956128,2.488102967893846,1.8904635157212364,1.0,600,0,600,2.220446049250313e-16,True
CoTOP,urban_manhattan,20,43,52f2d3c81f0b8843edd08594cccedbaca4888ea8,edeec1eaf8f560b24fafcd3a46c26af1e979388a41bac7426e02302a3102324e,a114a470cd5b2937add0fb6aea2e5506873bcf9c3330d60df1650c230c567eba,CACHED_PASS,STABLE,0.6575611884320653,0.2269909228963568,0.309697218317106,0.3258219880192983,1.0,600,0,600,2.220446049250313e-16,True
CoTOP,urban_manhattan,20,44,52f2d3c81f0b8843edd08594cccedbaca4888ea8,18ae1c6a23c3199743d0f2a16d8112912c9bf49e812d6b29b351b245bd3198a6,2853f26b2ae900f3643df3993335134d77b29bac570b162dd5b5b71d00b73d1c,CACHED_PASS,DIVERGED,0.6460828169958565,0.2243730099140005,1.3291431449352906,1.6622313396134272,1.0,600,0,600,2.220446049250313e-16,True
CoTOP,urban_manhattan,20,45,52f2d3c81f0b8843edd08594cccedbaca4888ea8,0ab46b21d94c2822d60da4e912cd59e004953c42040f04e1a0b8f635ca799b13,731f0176af94c1b021c696f72b146c8a79518c46d875f9ff2c6b553ed723cdce,CACHED_PASS,DIVERGED,0.6623247796997591,0.23980457422804627,4.223020784839446,1.219152925989197,1.0,600,0,600,2.220446049250313e-16,True
CoTOP,urban_manhattan,20,46,52f2d3c81f0b8843edd08594cccedbaca4888ea8,b6dacdd5b74c728a96464309a3684d236730715ec9a66916e14941c5091b2727,4b891f4f8daac8e9a8f0e6c35e12e4e68872155fea244abc3d50534ef51dbed2,CACHED_PASS,DIVERGED,0.6349684516421356,0.2300882834419629,1.295114835796153,1.5372482292434513,1.0,600,0,600,1.1102230246251565e-16,True
CoTOP,urban_manhattan,30,42,52f2d3c81f0b8843edd08594cccedbaca4888ea8,6a098cf32550fb9102ec8fb276f88de46fd3908bfa194c5c17901862e6ddde2b,49cd7f7f8ea969da92d5dc949b0f00674d5eb74eaefa9510847784a32110335f,CACHED_PASS,DIVERGED,0.6729616870061996,0.20840929408869965,0.9413300743723959,1.3993385603177657,1.0,900,0,900,2.220446049250313e-16,True
CoTOP,urban_manhattan,30,43,52f2d3c81f0b8843edd08594cccedbaca4888ea8,de891d6c6c07917271c3158112cf00cd97a8d5039b1b080a985b2994e7f18ae9,27dbaf0cf306c629aa9673e47ccf2ae1f485a444cdb2e65d079d380fb097a8b2,CACHED_PASS,STABLE,0.6934421299966275,0.21384196776146286,1.130147301532738,1.5388090252701685,1.0,900,0,900,2.220446049250313e-16,True
CoTOP,urban_manhattan,30,44,52f2d3c81f0b8843edd08594cccedbaca4888ea8,3bbc7dda38ff7615b0808f5425ac1b5bb0e5266fcedb04af2cdea481c0d9cc88,118f55da70c0ab4da05f036521ab5e8d7aa2b773b4d3dfd51731904254f31012,CACHED_PASS,DIVERGED,0.6847933663559892,0.20832396230477007,0.9427006494165484,1.4224762441214134,1.0,900,0,900,2.220446049250313e-16,True
CoTOP,urban_manhattan,30,45,52f2d3c81f0b8843edd08594cccedbaca4888ea8,cbf80424c44c68c0b670042bc0b28e610c7c09b0e8d498900a3a968d84452008,c69740444f6e0122cfcaeca9135cfa542789b5f3870f472f3f991aadd8abcd8d,CACHED_PASS,DIVERGED,0.6828596270389797,0.23760761352432658,4.14984900578547,1.283780254407963,1.0,900,0,900,2.220446049250313e-16,True
CoTOP,urban_manhattan,30,46,52f2d3c81f0b8843edd08594cccedbaca4888ea8,cf3dc8db2acafce398d5fd727f92aba262b576c1d3975c38908e63674f66740a,794be510bf2c3c8c2edb941660f917f23ba2faad41723b0a66fb2e03af901557,CACHED_PASS,DIVERGED,0.6834957670936848,0.24080364367432347,4.238546358546387,1.5577328071021341,1.0,900,0,900,2.220446049250313e-16,True
CoTOP,urban_manhattan,40,42,52f2d3c81f0b8843edd08594cccedbaca4888ea8,794bf7c4d1e41bc5495e88ebd9d2befa7f99a8787eb53c53a12b06220a2899be,796a3af5cb086b34eed265c7df4ae7174ec9fd54a8c2f232be32d10d3b617f90,CACHED_PASS,DIVERGED,0.7092593577485028,0.2328972614635847,3.91660286412772,1.9332487615456893,1.0,1200,0,1200,2.220446049250313e-16,True
CoTOP,urban_manhattan,40,43,52f2d3c81f0b8843edd08594cccedbaca4888ea8,5b0618989df60ed1d61126513d1dec38c5fed20660bc17599f7a5054f322ce36,926a30d0e215cee70c4aeb4405d4c9e96364f5b6300d31a0d64d6c23a38e88ec,CACHED_PASS,DIVERGED,0.7571528078701397,0.21852691171106056,3.0784987225134253,1.6884569272859329,1.0,1200,0,1200,2.220446049250313e-16,True
