algorithm,geometry,workload,seed,realization_hash,mean_delay,mean_energy,completion_ratio,N_generated,N_completed,N_failed,N_pending
CoTOP,corridor_2400m,30,4,68fdabb746ce62ee8c5678ad5e5cda55d1106f59878f693a9e2feac4f2c5eedf,0.688,2.6028,1.0,300,300,0,0
DDQN,corridor_2400m,30,4,68fdabb746ce62ee8c5678ad5e5cda55d1106f59878f693a9e2feac4f2c5eedf,0.6644,0.1398,1.0,300,300,0,0
Greedy,corridor_2400m,40,0,44d9f614ddd143b42301cb4e3f81b7e8d0af8cc3df9754c534e0305464913393,0.7195,4.2165,1.0,400,400,0,0
Local,corridor_2400m,40,0,44d9f614ddd143b42301cb4e3f81b7e8d0af8cc3df9754c534e0305464913393,0.6799,0.1378,1.0,400,400,0,0
CoTOP,corridor_2400m,40,0,44d9f614ddd143b42301cb4e3f81b7e8d0af8cc3df9754c534e0305464913393,0.7038,2.6257,1.0,400,400,0,0
DDQN,corridor_2400m,40,0,44d9f614ddd143b42301cb4e3f81b7e8d0af8cc3df9754c534e0305464913393,0.6799,0.1378,1.0,400,400,0,0
Greedy,corridor_2400m,40,1,a285b459e4a82f6a4db29d76be04b3024a48a46f5ea673f78610a098a8a1c076,0.7121,4.2835,1.0,400,400,0,0
Local,corridor_2400m,40,1,a285b459e4a82f6a4db29d76be04b3024a48a46f5ea673f78610a098a8a1c076,0.672,0.1435,1.0,400,400,0,0
CoTOP,corridor_2400m,40,1,a285b459e4a82f6a4db29d76be04b3024a48a46f5ea673f78610a098a8a1c076,0.6816,1.1396,1.0,400,400,0,0
DDQN,corridor_2400m,40,1,a285b459e4a82f6a4db29d76be04b3024a48a46f5ea673f78610a098a8a1c076,0.6725,0.2027,1.0,400,400,0,0
Greedy,corridor_2400m,40,2,cd1c4af1db1d5860d10534e5f47dc59bc42cfa9aea4c2f390561eabb3cb949a0,0.7198,4.2515,1.0,400,400,0,0
Local,corridor_2400m,40,2,cd1c4af1db1d5860d10534e5f47dc59bc42cfa9aea4c2f390561eabb3cb949a0,0.6801,0.1508,1.0,400,400,0,0
CoTOP,corridor_2400m,40,2,cd1c4af1db1d5860d10534e5f47dc59bc42cfa9aea4c2f390561eabb3cb949a0,0.7017,2.4119,1.0,400,400,0,0
DDQN,corridor_2400m,40,2,cd1c4af1db1d5860d10534e5f47dc59bc42cfa9aea4c2f390561eabb3cb949a0,0.681,0.2471,1.0,400,400,0,0
Greedy,corridor_2400m,40,3,63f5af78d892bf2823a66bac64778a622b81ef40e3b1268428ff7a36639585b5,0.708,4.2056,1.0,400,400,0,0
Local,corridor_2400m,40,3,63f5af78d892bf2823a66bac64778a622b81ef40e3b1268428ff7a36639585b5,0.6687,0.1478,1.0,400,400,0,0
CoTOP,corridor_2400m,40,3,63f5af78d892bf2823a66bac64778a622b81ef40e3b1268428ff7a36639585b5,0.6687,0.1478,1.0,400,400,0,0
DDQN,corridor_2400m,40,3,63f5af78d892bf2823a66bac64778a622b81ef40e3b1268428ff7a36639585b5,0.6694,0.2254,1.0,400,400,0,0
