episode,reward,loss,mean_delay_s,mean_energy_j,steps
1,-120.16926184174528,2585.14697265625,1.9228014728642997,0.48058376397060537,100
2,-120.71793297643507,755.8671264648438,1.9229101206137431,0.49144853891495754,100
3,-580.0866633037712,0.003050317522138357,2.491511951956154,1.9988104238282816,100
4,-366.05942537692204,138.5130615234375,2.4039102737092857,1.16928591359253,100
5,-440.29262205056324,32377.400390625,2.317012727445324,0.6777819716595092,100
6,-622.692365918796,51828.29296875,2.2529408243134665,0.514350456706617,100
7,-145.6716619534341,669.7863159179688,1.9199215824192868,0.9935116566493929,100
8,-320.3714794715305,1061.2034912109375,2.544390671208193,2.08317086656394,100
9,-622.545120927111,4.494523048400879,2.627042907659665,2.2382362921463064,100
10,-280.6976482306382,6800.099609375,2.3420449345083556,1.33545198611332,100
11,-604.2827268259714,575.4400024414062,2.7848144042914886,1.558272143199315,100
12,-265.8735774957805,3450.0517578125,2.4410077009814817,1.092510233934777,100
13,-165.99836679925824,62793.3046875,2.7186272999108896,0.6013400360742746,100
14,-174.0794144397813,17041.888671875,2.7560059850120746,0.72558230378355,100
15,-157.8529417284581,106.4762191772461,2.5993212847819387,0.5577375497872245,100
16,-163.30818607498995,21535.32421875,2.6345890483496066,0.6315746731501922,100
17,-152.44711396623495,3.5781326293945312,2.5959854237368893,0.45295685558780946,100
18,-152.54640279152062,7227.88330078125,2.5456618946219227,0.5052661612084873,100
19,-158.3529643280101,31926.931640625,2.553452672756873,0.6136066138033276,100
20,-154.16510620906206,2672.9375,2.6287919024096693,0.4545102217715723,100
21,-162.63930635796336,36210.65234375,2.677891384501544,0.5748947426577216,100
22,-157.8299730802922,7764.13037109375,2.697696563261946,0.4589028983438967,100
23,-184.54667251709074,30.127344131469727,3.301056525738008,0.38987692460380896,100
24,-182.48447431194992,107.60102844238281,3.3081947303636348,0.3414947558753647,100
25,-173.8099364394407,767.8389892578125,3.125084400863656,0.3511143279251602,100
26,-179.9778956743581,1599.8660888671875,3.21063770239317,0.3889202110939888,100
27,-177.61580225435145,2917.7158203125,3.1813391365517196,0.37097690853530835,100
28,-173.77176192485473,602.8456420898438,3.0786415482735605,0.3967936902235359,100
29,-177.61748491989678,7.025660037994385,3.1092151149480025,0.44313458344993334,100
30,-180.64427274944984,4243.89453125,3.1912851575942267,0.42160029739476795,100
31,-182.8483004196062,0.2621682584285736,3.2213269607336503,0.43563904765847267,100
32,-183.24858291563228,1198.013427734375,3.23644638723452,0.4285252710781252,100
33,-56.79567352725058,318.4209289550781,0.6909681489326327,0.44494532161237904,100
34,-65.81790429440642,39.555973052978516,0.674093433696679,0.6422646521914491,100
35,-66.03135125812331,1.338754653930664,0.648322912410944,0.672304112751522,100
36,-53.53819934394747,43.476253509521484,0.6697037510143217,0.4010602358646274,100
37,-51.63279351228398,14.955036163330078,0.6762040671601199,0.3564518030855601,100
38,-54.135835642208676,15.627402305603027,0.6374808523504827,0.44523586049369107,100
39,-53.17417898949223,0.0501362644135952,0.6528505990660224,0.4106329807238221,100
40,-58.08776761221885,0.09836661070585251,0.656474560607077,0.5052807916373,100
41,-61.00210157011731,20.356609344482422,0.6795311660296974,0.5405108653726485,100
42,-62.66441452223618,36.9658203125,0.6658407506307831,0.5874475398139399,100
43,-64.48990735367192,28191.083984375,0.7580417781833576,0.5317563688900816,100
44,-66.3182095470603,54.99745178222656,0.7649823691970977,0.5613818217441087,100
45,-62.57427463087267,516.5957641601562,0.726390124223313,0.5250953683941406,100
46,-63.413751481417584,33.64006423950195,0.7416387082106537,0.526636321417697,100
47,-67.197275620566,1328.3427734375,0.7336360736172501,0.61030943879407,100
48,-65.3498784211595,1631.0633544921875,0.7293223948926714,0.5776751735305189,100
49,-58.40133783667958,155.43153381347656,0.7354933675086681,0.432533389224923,100
50,-55.08910830487111,1134.2923583984375,0.74288272116192,0.3588994449355022,100
