task_idx,delay_s,energy_j,comm_delay_s,comp_delay_s,wait_delay_s
0,5.892987587476979,8.257296003145997,5.890588939288396,0.0023986481885837165,0.0
1,5.513178395411891,0.46764393706433166,5.502527373956811,0.00825237326649527,0.0023986481885837165
2,6.065910386021887,0.15226987604083042,6.053424651976387,0.001834712590421331,0.010651021455078987
3,6.131160079072919,0.3595453438664118,6.11270597934596,0.0059683656814590435,0.012485734045500319
4,5.268301299317249,6.564655064450767,5.26609374982934,0.0022075494879094147,0.0
5,4.913491347082488,4.518271776449304,4.9117537151498265,0.0017376319326610366,0.0
6,5.160945652835877,7.139412874922803,5.157347346898139,0.001199657749153017,0.0023986481885837165
7,5.63230831830091,5.414207320089115,5.626193005316851,0.004377681051398497,0.0017376319326610366
8,4.890655916693015,3.629646919131777,4.888490102340989,0.0021658143520259716,0.0
9,4.553023285992253,0.3603353323495316,4.5165774605372615,0.0063033911548831785,0.0301424343001073
10,5.575707305995849,7.871299468418719,5.569195973646566,0.0029130264115461535,0.0035983059377367337
11,4.953558611633609,5.316249511138757,4.952288487716717,0.0012701239168914366,0.0
12,4.696387296818017,5.724703245490095,4.693473537603657,0.0007062097264504799,0.0022075494879094147
13,3.3981665576590716,4.2631348269693845,3.3935019172307164,0.0017508812139954146,0.002913759214359895
14,3.3805666250556072,4.151716113545583,3.375042920731096,0.0008590638961563237,0.004664640428355309
15,3.3158945000701796,4.453715832458241,3.305655850100962,0.004714945644706223,0.005523704324511634
16,3.3561733755962706,3.3145479725023916,3.3465129149188084,0.0035451476934031012,0.006115312984059534
17,2.607587711357762,2.159120913880522,2.6019974170357285,0.0034244799700078547,0.0021658143520259716
18,2.6574241360374935,0.3033723419916772,2.596246234516416,0.005548197592930261,0.05562970392814746
19,2.913315845928164,0.3501337582163488,2.8457044101247844,0.006433534282302019,0.06117790152107772
20,3.4628291777170115,0.4088782455255153,3.4553426813427697,0.007486496374241752,0.0
21,3.504990653430884,0.3798534514733859,3.4906052090689883,0.00689894798765392,0.007486496374241752
22,3.7856336553826493,0.5246003549823505,3.7615085056222313,0.009739705398522563,0.014385444361895672
23,3.792375225356545,4.616723972839629,3.7893689515095588,0.0030062738469859083,0.0
24,2.9973215347279516,3.653375781564368,2.9918588172529543,0.002456443628010972,0.0030062738469859083
25,2.6917598270219574,0.09780984806520776,2.6607479124077194,0.0014240473788226112,0.029587867235415115
26,3.6456653864975297,7.339069080024217,3.6438223849360107,0.0018430015615188478,0.0
27,3.1208050541892174,7.085259343440944,3.119104340834431,0.0017007133547864426,0.0
28,2.501139922309623,3.827576624016729,2.4989226355203438,0.0022172867892794154,0.0
29,2.9998727095621875,4.442563669863118,2.996467646064435,0.0011877767084733566,0.0022172867892794154
30,2.455082284364816,4.029367760521711,2.446688301637835,0.0049889192292279965,0.0034050634977527716
31,3.123573736625123,6.520985783086772,3.117738735461646,0.003991999601958102,0.0018430015615188478
32,2.0743896118795258,4.249861976932979,2.066635071999783,0.0019195387162658686,0.005835001163476949
33,2.1684065584800756,4.707509716846586,2.155908924885825,0.004743093714507745,0.007754539879742818
34,2.1648323519521817,4.522855968744462,2.149308561754197,0.0030261566037341784,0.012497633594250563
35,2.5827594115590182,4.849986495682688,2.578318073327316,0.004441338231701873,0.0
36,2.144231746567214,3.2104424508350995,2.1345338303778476,0.0013039334623855911,0.008393982726980768
37,2.4385706453374483,3.024875351399512,2.4305430945258077,0.0025648333366432943,0.005462717474996881
38,2.1765000214815453,0.4750450887171587,2.1024791096044027,0.009080405952422294,0.06494050592472043
39,1.8383075916660754,0.42399729361843047,1.756157965509666,0.008128714279266676,0.07402091187714273
40,1.8188279534260279,9.704236244128998,1.8135504120231392,0.005277541402888582,0.0
41,1.873445259472341,9.808539512958381,1.8662953407413931,0.0018723773280594099,0.005277541402888582
42,1.90556401486942,9.950260580134366,1.8968927696400242,0.0015213264984476878,0.007149918730947992
43,1.8059420866052207,12.798022212562804,1.8021366399835126,0.0038054466217080545,0.0
44,2.1531163839811027,15.24914613995732,2.144368036604164,0.004942900755230537,0.0038054466217080545
45,1.440607066465072,0.21023712227162317,1.43668966195203,0.003917404513042058,0.0
46,1.8692821945047533,15.012024774071818,1.8612745561970783,0.008007638307675025,0.0
47,1.5398891067184852,10.841832362821382,1.5281184833082626,0.003022276033284016,0.008748347376938592
48,1.5069775028928216,10.797853356366021,1.4873614599952838,0.007845419487315083,0.011770623410222607
49,1.4728031794257996,0.45719520726379564,1.4600338775429902,0.008851897369767315,0.003917404513042058
50,2.0146005919880032,14.033069029623018,1.9932136680218546,0.001770881068610909,0.01961604289753769
51,1.583676853464477,8.55973894894868,1.5669440334164644,0.00806157481861678,0.00867124522939568
52,1.4334986415858,10.13086609768247,1.4062580528206363,0.0058536647990151255,0.0213869239661486
53,1.4489129239159761,10.169780547370266,1.4164691131384823,0.005203222012330075,0.027240588765163727
54,1.1835379112217639,8.340319128017157,1.1444141738288391,0.00667992661543089,0.0324438107774938
55,1.1122138361899885,5.033037622051182,1.1027942080247624,0.009419628165226039,0.0
56,1.2703298804839476,5.35700045678436,1.2578392197253523,0.0030710325933691928,0.009419628165226039
57,0.9978280601995702,7.009018954548588,0.951683522801979,0.007020800004666525,0.03912373739292469
58,1.153698405246803,7.450893468410925,1.1449616866445191,0.00873671860228372,0.0
59,0.8452019365096888,0.45366008639769767,0.8235241377264708,0.00890849690040866,0.012769301882809374
60,0.912487873523316,12.09451225556025,0.9097759933473486,0.0027118801759673035,0.0
61,0.8920686251575001,10.132138842796842,0.8906133301917761,0.0014552949657239312,0.0
62,0.8711414453584662,0.4946625205685671,0.8614204790429034,0.009720966315562761,0.0
63,0.9698340125815201,14.495027248803677,0.9673372125860848,0.002496799995435226,0.0
64,0.8598904800681226,13.083368784618521,0.8475361931703937,0.009857486902293695,0.002496799995435226
65,0.6101597629866147,0.23642642598763475,0.5958294340381068,0.004609362632945074,0.009720966315562761
66,0.7805784472424278,11.717143015056585,0.7595496813162642,0.008674479028434568,0.012354286897728921
67,0.694080612257123,11.57014243269838,0.6905737059551205,0.0035069063020024644,0.0
68,0.7327851406820691,9.684943607164897,0.7276800890786352,0.002393171427466577,0.0027118801759673035
69,0.7075623096516891,8.034015109457238,0.7045925272297978,0.0015144874561673477,0.0014552949657239312
70,0.5776838672865549,8.586081325405777,0.5476425155332264,0.009012585827164937,0.021028765926163488
71,0.7016825740755078,10.327501322998662,0.6616824181167449,0.009958804205434425,0.030041351753328425
72,0.6009035853412773,8.563504094116333,0.5543289957895255,0.006574433592988928,0.04000015595876285
73,0.6175285607467673,8.660817529474434,0.5658588958889633,0.0050950753060522895,0.046574589551751776
74,0.5764047421921027,8.043867965992439,0.5176581643518617,0.007076912982436812,0.05166966485780407
75,0.6499487241340154,9.000888142151439,0.5849895236764283,0.006212622617346306,0.05874657784024088
76,0.4529577042248688,5.239461134932416,0.4459341983544229,0.004053723448554669,0.0029697824218912787
77,0.6264569952861206,8.516585280327675,0.5565096181230523,0.004988176705481112,0.06495920045758719
78,0.39923360064659075,0.4971393346219173,0.3750354921040654,0.009867779594017533,0.014330328948507835
79,0.4520402221120705,0.09031137046208788,0.4261211103823799,0.0017210031871652818,0.024198108542525364
80,0.17014317343275964,0.14759168836639175,0.16722478462235627,0.002918388810403364,0.0
81,0.16643277819648064,0.10355765700211904,0.16147553135230536,0.00203885803377192,0.002918388810403364
82,0.2937175812530719,12.89600757999057,0.2862718550459672,0.007445726207104733,0.0
83,0.31576339428699807,15.90935570009307,0.313343672795783,0.0024197214912150874,0.0
84,0.161151197850057,0.35001715626044666,0.14922345257118702,0.006970498434694696,0.004957246844175284
85,0.3165106634155734,14.965870242317244,0.31544025545120397,0.0010704079643694216,0.0
