campaign_id,attempt_id,evaluation_id,realization_id,algorithm,scenario,workload,vehicle_count,seed,git_sha,config_hash,checkpoint_hash,realization_hash,environment_manifest_sha256,timestamp_utc,status,total_tasks,completed_tasks,failed_tasks,mean_delay_s,p95_delay_s,mean_energy_j,completion_ratio_pct,collaboration_rate_pct,failure_reasons
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed43_Greedy,realization_corridor_2400m_w20_43,Greedy,corridor_2400m,20,10,43,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,34b1824210d0cb5caf9d7f110dacab2d666ad347bfb7b10645eded7fdcdf0ff9,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:18.744240+00:00,SUCCESS,200,196,4,2.027646799359078,5.050272710963934,6.972160994082484,98.0,88.5,4_DEADLINE_EXCEEDED
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed43_wo_md,realization_corridor_2400m_w20_43,wo_md,corridor_2400m,20,10,43,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,34b1824210d0cb5caf9d7f110dacab2d666ad347bfb7b10645eded7fdcdf0ff9,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:18.820536+00:00,SUCCESS,200,197,3,2.03268175396301,5.061478825242835,2.188578743906078,98.5,99.5,3_DEADLINE_EXCEEDED
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed43_wo_tp,realization_corridor_2400m_w20_43,wo_tp,corridor_2400m,20,10,43,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,34b1824210d0cb5caf9d7f110dacab2d666ad347bfb7b10645eded7fdcdf0ff9,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:20.028637+00:00,SUCCESS,200,196,4,2.0437833797592204,5.1002521214588805,4.801089668584847,98.0,100.0,4_DEADLINE_EXCEEDED
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed43_wo_co,realization_corridor_2400m_w20_43,wo_co,corridor_2400m,20,10,43,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,34b1824210d0cb5caf9d7f110dacab2d666ad347bfb7b10645eded7fdcdf0ff9,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:21.136420+00:00,SUCCESS,200,197,3,2.0142848110771028,4.990647591340477,0.28772091847867637,98.5,0.0,3_DEADLINE_EXCEEDED
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed44_CoTOP,realization_corridor_2400m_w20_44,CoTOP,corridor_2400m,20,10,44,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,14ea4281a04682954395e1e1aa6845d69e2bc7dd0f3e086dc18bb7136d7df259,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:22.215601+00:00,SUCCESS,200,198,2,2.000734085657414,5.245114417934929,3.8433352735653648,99.0,100.0,2_DEADLINE_EXCEEDED
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed44_DDQN,realization_corridor_2400m_w20_44,DDQN,corridor_2400m,20,10,44,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,14ea4281a04682954395e1e1aa6845d69e2bc7dd0f3e086dc18bb7136d7df259,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:23.292624+00:00,SUCCESS,200,198,2,1.9636566571454943,5.096156661056985,2.0311044412238215,99.0,36.5,2_DEADLINE_EXCEEDED
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed44_Local,realization_corridor_2400m_w20_44,Local,corridor_2400m,20,10,44,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,14ea4281a04682954395e1e1aa6845d69e2bc7dd0f3e086dc18bb7136d7df259,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:24.513378+00:00,SUCCESS,200,198,2,1.9523747220594847,5.094485621534351,0.27932087710099596,99.0,0.0,2_DEADLINE_EXCEEDED
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed44_Greedy,realization_corridor_2400m_w20_44,Greedy,corridor_2400m,20,10,44,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,14ea4281a04682954395e1e1aa6845d69e2bc7dd0f3e086dc18bb7136d7df259,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:25.730150+00:00,SUCCESS,200,198,2,1.9795849138682236,5.159576764248891,7.095644216818511,99.0,86.5,2_DEADLINE_EXCEEDED
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed44_wo_md,realization_corridor_2400m_w20_44,wo_md,corridor_2400m,20,10,44,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,14ea4281a04682954395e1e1aa6845d69e2bc7dd0f3e086dc18bb7136d7df259,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:25.805264+00:00,SUCCESS,200,198,2,1.9716193215526203,5.1699720633704755,2.073762271236527,99.0,100.0,2_DEADLINE_EXCEEDED
cotop_final_2026_01,attempt_001,corridor_2400m_w20_seed44_wo_tp,realization_corridor_2400m_w20_44,wo_tp,corridor_2400m,20,10,44,e8cba553cad2e193c8ac5b112cf938bd532ed2f4,9885c1b7b396aa6c99cefbd5114379d2dc4f5ab8b37d4e5ac7d376cd255d20bc,f427576914ea7ca656124ae7ff36b93d7288234820e3ea2bb220f661475f3562,14ea4281a04682954395e1e1aa6845d69e2bc7dd0f3e086dc18bb7136d7df259,f5b22778c21031bc99e5326ef2b146f2cda1d0c4cb2818d3c55d4dc50d004b57,2026-09-05T06:21:26.976228+00:00,SUCCESS,200,198,2,1.9870963142482756,5.269157410938158,4.7514406308857104,99.0,100.0,2_DEADLINE_EXCEEDED
