mean_delay,mean_energy,completion_ratio,tasks_generated,tasks_completed,mean_comm_delay,mean_comp_delay,mean_wait_delay,sum_delay,sum_energy,ablation_name,seed
2.0721510009649275,4.319913206738253,0.965,200,193,2.0244022098519614,0.005510488710405001,0.04223830240256085,414.43020019298547,863.9826413476507,Canonical_CoTOP,42
2.0390087849644734,5.19108389320872,0.985,200,197,1.995113625790115,0.004956308532759896,0.03893885064159834,407.80175699289464,1038.216778641744,Canonical_CoTOP,43
2.011336885711263,8.04266588013803,0.99,200,198,1.9757311167508629,0.0047102100434753685,0.030895558916924727,402.2673771422526,1608.5331760276058,Canonical_CoTOP,44
1.9912849480252188,7.781240189186494,0.975,200,195,1.9336311410782008,0.005326017712672052,0.05232778923434577,398.25698960504377,1556.2480378372989,Canonical_CoTOP,45
1.9989723279115872,1.5087130327614175,0.975,200,195,1.9618703256534855,0.005384936081033235,0.03171706617706843,399.79446558231746,301.7426065522835,Canonical_CoTOP,46
2.040825746820297,2.1044540460172527,0.965,200,193,2.0022476182447515,0.004584134728647486,0.03399399384689819,408.1651493640594,420.89080920345054,No_GAT_Mobility,42
2.046488017732795,4.48359852838951,0.985,200,197,1.9880387721419228,0.003447567172214196,0.05500167841865794,409.297603546559,896.7197056779019,No_GAT_Mobility,43
1.9636856342858768,4.393280118194788,0.99,200,198,1.9392372591314306,0.0026033990043379095,0.02184497615010839,392.7371268571754,878.6560236389575,No_GAT_Mobility,44
1.920545440083239,4.4824063947076445,0.98,200,196,1.9006428031334124,0.002911465641991827,0.016991171307834608,384.1090880166478,896.4812789415289,No_GAT_Mobility,45
1.9995255978493787,3.913635903860237,0.975,200,195,1.9859195543644739,0.0031578493984182475,0.010448194086486704,399.90511956987575,782.7271807720474,No_GAT_Mobility,46
2.04136596953117,0.3000039329119527,0.965,200,193,1.9842031171136982,0.005603238034816316,0.05155961438265527,408.273193906234,60.000786582390546,No_Collaboration,42
2.0142848110771028,0.28772091847867637,0.985,200,197,1.9460799960428148,0.005365202370364963,0.06283961266392332,402.85696221542054,57.54418369573527,No_Collaboration,43
1.9523747220594847,0.27932087710099596,0.99,200,198,1.8980976667204925,0.005206798008675819,0.04907025733031627,390.47494441189696,55.86417542019919,No_Collaboration,44
1.9188162638139676,0.30973572516356246,0.985,200,197,1.8589160964379716,0.005822931283983654,0.05407723609201222,383.7632527627935,61.94714503271249,No_Collaboration,45
2.0066860568603,0.2951673323208539,0.975,200,195,1.94973486864908,0.005513399672687262,0.051437788538533,401.33721137206004,59.03346646417078,No_Collaboration,46
2.0689277804017516,4.893504731406989,0.965,200,193,2.0301381250986488,0.005442933415296365,0.03334672188780666,413.7855560803503,978.7009462813979,No_Mobility_Awareness,42
2.0502975738765894,4.720517736671668,0.98,200,196,1.9904079642247445,0.005107321883839031,0.054782287768006,410.0595147753179,944.1035473343336,No_Mobility_Awareness,43
2.009243743772409,8.01754637251831,0.99,200,198,1.975479921674666,0.0047102100434753685,0.029053612054267694,401.8487487544818,1603.5092745036623,No_Mobility_Awareness,44
1.9570503898572538,6.997551488557134,0.975,200,195,1.9257942540719073,0.005505405515809232,0.025750730269537114,391.41007797145073,1399.5102977114268,No_Mobility_Awareness,45
1.9989723279115872,1.5087130327614175,0.975,200,195,1.9618703256534855,0.005384936081033235,0.03171706617706843,399.79446558231746,301.7426065522835,No_Mobility_Awareness,46
2.0676666799704013,4.844422766715936,0.965,200,193,2.029647305451738,0.005401712371505312,0.03261766214715772,413.53333599408023,968.8845533431871,No_Queue_Awareness,42
2.043983418947743,4.930671382123475,0.985,200,197,1.9925095006792626,0.005068453257269529,0.046405465011211566,408.79668378954864,986.1342764246951,No_Queue_Awareness,43
2.0110349039618365,8.053223822311299,0.99,200,198,1.975836696172596,0.0047102100434753685,0.030487997745765504,402.2069807923673,1610.64476446226,No_Queue_Awareness,44
1.9647307998362493,7.467465576552411,0.975,200,195,1.9304933949518601,0.005431297605323142,0.028806107279066167,392.94615996724986,1493.4931153104822,No_Queue_Awareness,45
1.9983645048674292,1.398500797945617,0.975,200,195,1.9607682033053278,0.005384936081033235,0.03221136548106866,399.67290097348587,279.7001595891234,No_Queue_Awareness,46
2.0721510009649275,4.319913206738253,0.965,200,193,2.0244022098519614,0.005510488710405001,0.04223830240256085,414.43020019298547,863.9826413476507,No_Action_Masking,42
2.0390087849644734,5.19108389320872,0.985,200,197,1.995113625790115,0.004956308532759896,0.03893885064159834,407.80175699289464,1038.216778641744,No_Action_Masking,43
2.011336885711263,8.04266588013803,0.99,200,198,1.9757311167508629,0.0047102100434753685,0.030895558916924727,402.2673771422526,1608.5331760276058,No_Action_Masking,44
