metric,column,n_seeds,mean,std,cv,median,iqr,min,max,sensitivity_rating
Delay (s),mean_delay_s,5,1.9090635581774396,0.03606473151087133,0.0188913204887227,1.9123326669016745,0.02496572850995782,1.8557967170581031,1.9541279953799189,LOW
Energy (J),mean_energy_J,5,0.3637869941981472,0.07721611306242591,0.212256387099886,0.3488254093975387,0.07815130312409141,0.2870116793322761,0.4833303049093196,HIGH
Completion Ratio,completion_ratio,5,0.9809999999999999,0.00961769203083568,0.009803967411657167,0.985,0.0050000000000000044,0.965,0.99,LOW
Final Reward,reward_last_50_mean,5,-642.9602075722694,185.86588056709252,0.2890783572266422,-576.6929638912499,118.09441839925148,-942.9215433850655,-453.59051746207246,HIGH
Mean Loss,loss_mean,5,8.172133019847488,2.3967264788083624,0.29328040463701255,6.802955061712361,3.380231272079649,6.1327132703604965,11.523053039337228,HIGH
