Seed,CoTOP Collab Rate (%),Local Collab Rate (%),Greedy Collab Rate (%)
42,0.0,0.0,95.0
43,0.0,0.0,95.0
44,0.0,0.0,95.0
45,0.0,0.0,95.0
46,2.0,0.0,95.0
