Queue Backlog (Gcycles),Queue Waiting Time (s),Upload Delay (s),Computation Delay (s),Total Delay (s),Paper Target Delay Match (%),Hypothesis Conclusion
0.0,0.0,4.349,0.005,4.354,31.32,Pre-congestion regime
5.0,2.5,4.349,0.005,6.854,49.31,Pre-congestion regime
10.0,5.0,4.349,0.005,9.354,67.29,Pre-congestion regime
15.0,7.5,4.349,0.005,11.854,85.28,Pre-congestion regime
19.0,9.5,4.349,0.005,13.854,99.67,Exact paper delay match (~13.9s) at ~19.0 Gcycles backlog
25.0,12.5,4.349,0.005,16.854,82.47,Heavy congestion regime
