seed,episode,method,reward,delay,energy,completion_ratio,violation_ratio,total_tasks,actions_taken,collab_rate
42,8,cotop,-46.62885447393079,4.36554017332516,0.2973452740679182,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,8,local,-48.180161412249234,4.483202616367683,0.3348135248572389,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,8,greedy,-87.72739076415283,4.307605364482737,4.4651337119325465,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,8,wo_md,-48.39142916870211,4.539288767786524,0.29985414908368824,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,8,wo_tp,-91.48369108276414,4.042632500547583,5.105736607728831,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,8,wo_co,-49.8760501614889,4.717910445979214,0.26969457016967496,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,9,cotop,-52.39350328204359,4.908896623375691,0.33045370482866787,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,9,local,-49.761906640034596,4.6409461751236485,0.3352444888798113,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,9,greedy,-76.39968337101153,3.7439518719372904,3.8960164651638616,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,9,wo_md,-51.12494660937747,4.730385140256756,0.38210952068099174,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,9,wo_tp,-97.78149461452476,4.326356448959675,5.451793012492803,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
42,9,wo_co,-46.36813118099452,4.302346658272509,0.334466459826941,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,10,cotop,-48.91387830837123,4.523346563896032,0.36804126694109013,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,10,local,-49.45205664232548,4.717163555336065,0.22804210889648252,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,10,greedy,-86.00181356611083,4.325732605619274,4.274448750991809,1.0,0.0,20,"[0, 2, 3, 4, 5]",0.95
42,10,wo_md,-46.18023121902711,4.318424618338964,0.2995985035637461,1.0,0.0,20,"[0, 0, 0, 0, 0]",0.0
42,10,wo_tp,-104.90418926602713,4.648261646862977,5.842157279739736,1.0,0.0,20,"[5, 5, 5, 5, 5]",1.0
