task_id,decision,delay_s,energy_j
0,0,0.18718086738330594,0.07935184356703305
1,0,0.17067335083855212,0.11023416468018551
2,0,0.15301704473640945,0.04118484167661409
3,0,0.1494265443498514,0.1872275066144485
4,0,0.18138865013438898,0.1961647088112939
5,0,0.27867720069552254,0.09992704631570523
6,0,0.139136320151877,0.2237768896990188
7,0,0.2476052601224739,0.034564534870974745
8,0,0.19629706952949294,0.1623716712875449
9,0,0.19355612969907998,0.1609698603245408
10,0,0.10636342275057861,0.02986123005620579
11,0,0.1796170435982925,0.10195233594583293
12,0,0.10430932422001268,0.2155411975397001
13,0,0.1821027395667497,0.1017929742566175
14,0,0.1413188719348899,0.1617397072512989
15,0,0.1601331658247029,0.04284178616739703
16,0,0.2176063680855634,0.10359547474105564
17,0,0.35054393470558753,0.23805312342645582
18,0,0.1730473590211233,0.14148178973581124
19,0,0.2264183341528093,0.06458039785547809
20,0,0.13029286565258716,0.18912689709837588
21,0,0.31782500638250716,0.2461956681075751
22,0,0.08678789398727467,0.20939800632152275
23,0,0.3308505881423968,0.034907908736623965
24,0,0.14843280605555106,0.10544714208840553
25,0,0.07887336569157186,0.03414974811931572
26,0,0.1744780658318794,0.0391643857402188
27,0,0.17782437738617646,0.10389502208271177
28,0,0.2739637183930209,0.2047279206960802
29,0,0.2571733924349259,0.17891018267964928
30,0,0.14625618241390323,0.147421923112339
31,0,0.14062478370324155,0.053343855237632416
32,0,0.1366435630041257,0.12488567659009127
33,0,0.27375480862242946,0.10965954865837431
34,0,0.07278938728636039,0.1522812036475636
35,0,0.11813841086762909,0.0817534154788763
36,0,0.2021757178826368,0.05809394224847637
37,0,0.16876905342291507,0.07293779441287916
38,0,0.14119761570668923,0.20817340434931686
39,0,0.19635814888279876,0.04824769156507799
40,0,0.15377949703394686,0.14943613263568944
41,0,0.18156618343591346,0.18647661775525914
42,0,0.10623035071531405,0.11514025635255315
43,0,0.25829061898654576,0.21948943070696547
44,0,0.12391658845415673,0.19460871323874157
45,0,0.07805670563939418,0.03537447464084394
46,0,0.17751051003862087,0.04115204513698621
47,0,0.21739603313011518,0.13983269707650114
48,0,0.22173378856849138,0.1661478219803349
49,0,0.28563962794096687,0.16139840503470967
50,0,0.17361683630572441,0.17792044770840726
51,0,0.3055807377534432,0.13996592462658444
52,0,0.2086553821432768,0.2272720422145328
53,0,0.23959378355633973,0.15947555887691342
54,0,0.11247977424797868,0.09699239238807979
55,0,0.16426947966904307,0.1671973397441904
56,0,0.12186261885035266,0.05517241502215353
57,0,0.18554355099704575,0.07896474181372047
58,0,0.14768292489507845,0.05019862943965078
59,0,0.2760181627788845,0.24374524822313884
60,0,0.15913234050515854,0.15997584691370156
61,0,0.21125747686440133,0.142121404151294
62,0,0.2498050795434802,0.1790343827161848
63,0,0.366307379509239,0.07280451923979239
64,0,0.2566806853743345,0.11391054040239335
65,0,0.2660406412068279,0.2065793064736683
66,0,0.23384966929394393,0.25048609799478944
67,0,0.43830285058602164,0.060017926800360215
68,0,0.2188473859805832,0.23599489672110585
