delay_mean,delay_std,delay_median,delay_ci95,energy_mean,energy_std,energy_median,energy_ci95,comm_delay_mean,comp_delay_mean,wait_delay_mean,completion_rate,rsu_backlog_mcycles,total_task_samples,exp_id,seed
2.019495751467516,1.5546646901575119,1.6307129127829647,0.09635911580725882,0.9979062446228331,1.9617292198304863,0.32871893460196944,0.12158923674852201,1.961117580644482,0.005278691367199338,0.05309947945583426,98.3,12.345972956683612,1000,Exp A,0
1.9968844895228919,1.516539876786303,1.6205711499496256,0.09399611539307032,1.0207075287803091,2.0545779959106563,0.3220072186254519,0.12734406351181904,1.9399223693063412,0.005111155842783241,0.051850964373767454,98.1,11.100166428658435,1000,Exp A,1
2.0349521414326244,1.5694823182175526,1.616705086817436,0.09727752190940146,1.0148813856641468,2.021381187529617,0.3218580631138168,0.12528650401138694,1.9774529585118832,0.005189450521650289,0.05230973239909129,98.3,11.533173774948203,1000,Exp A,2
2.0449512156173912,1.5737446823575651,1.6488735168726576,0.09754170597583096,1.0128954171667406,2.0028024316705233,0.33173077893609054,0.12413498079309102,1.9861674462937244,0.005211968706120813,0.053571800617546246,98.8,11.51493990007314,1000,Exp A,3
2.016731194795935,1.5519054709320494,1.6472105270906159,0.09618809762786157,1.036100085992803,2.075555035611065,0.32492211792474546,0.12864423390263194,1.9587960929879724,0.00520506477978846,0.05273003702817407,98.7,11.949167675453214,1000,Exp A,4
2.0306569006765085,1.5590689610921762,1.6415209170137937,0.09663209534794477,1.6967090909288063,3.9201389182579818,0.32871893460196944,0.2429727274288915,1.968105609107542,0.005591242055900912,0.05696004951306578,98.3,12.34597295668361,1000,Exp B,0
2.0091508858800227,1.5222555282469623,1.627741699120483,0.09435037514084642,1.7489003102122447,4.091578921849599,0.3220072186254519,0.25359868893986387,1.9472042971206607,0.005463766858669066,0.05648282190069297,98.1,11.100166428658435,1000,Exp B,1
2.0467506167202534,1.5751657634147853,1.6233361973111777,0.09762978549228947,1.7340403282776378,4.032523800739039,0.3218580631138168,0.24993841461181723,1.9846445479380181,0.005520396587195961,0.056585672195039266,98.2,11.533173774948203,1000,Exp B,2
2.056152545852867,1.578786763602671,1.6539231807670238,0.09785421740912115,1.729384291472089,3.998895216703058,0.33173077893609054,0.2478540933790317,1.9933323350367778,0.005532330345717714,0.057287880470370936,98.8,11.51493990007314,1000,Exp B,3
2.0287713405845804,1.5571559881050367,1.6579424618348986,0.09651352805380674,1.7759643141709966,4.141751491661086,0.32492211792474546,0.25670841703455877,1.9661947352697544,0.005534437666150942,0.057042167648674966,98.6,11.949167675453214,1000,Exp B,4
0.6523686944635947,0.2404281102010989,0.6693354510519873,0.014901888658602551,0.5095337215235753,0.834401078643687,0.30197275118465405,0.051716714656060474,0.5951259749133899,0.00546705618547785,0.05177566336472704,100.0,9.75608419676634,1000,Exp C,0
0.6450712361118821,0.2334146218778335,0.660446884328425,0.014467188148690076,0.5008040665858627,0.8406376938640627,0.3041061913112431,0.052103264072195093,0.5888283863041929,0.005349841774226609,0.05089300803346263,100.0,9.564678226313678,1000,Exp C,1
0.6558028759429312,0.2382853435068808,0.6772816710094778,0.014769078602940208,0.49382077256624873,0.7817705785740054,0.29592519424988256,0.04845464246562913,0.5985350262886279,0.005414669674064808,0.05185317998023841,100.0,9.74429117150623,1000,Exp C,2
0.6598711955811943,0.2455202717308382,0.6830905317681383,0.015217504100092835,0.5020472515614609,0.8162382795853594,0.30492521872834033,0.05059097270737825,0.6026331318863439,0.0054238472844409975,0.05181421641040955,100.0,9.730197927226126,1000,Exp C,3
0.6472379420497955,0.23587104434139908,0.6603394227170445,0.014619438790347276,0.5169076344688746,0.8769434267105266,0.30431146375923224,0.054353516707356817,0.5900781063218251,0.005419668284051597,0.051740167443918766,100.0,9.725115633923739,1000,Exp C,4
0.6523686944635947,0.2404281102010989,0.6693354510519873,0.014901888658602551,0.5095337215235753,0.834401078643687,0.30197275118465405,0.051716714656060474,0.5951259749133899,0.00546705618547785,0.05177566336472704,100.0,9.75608419676634,1000,Exp D,0
0.6450712361118821,0.2334146218778335,0.660446884328425,0.014467188148690076,0.5008040665858627,0.8406376938640627,0.3041061913112431,0.052103264072195093,0.5888283863041929,0.005349841774226609,0.05089300803346263,100.0,9.564678226313678,1000,Exp D,1
0.6558028759429312,0.2382853435068808,0.6772816710094778,0.014769078602940208,0.49382077256624873,0.7817705785740054,0.29592519424988256,0.04845464246562913,0.5985350262886279,0.005414669674064808,0.05185317998023841,100.0,9.74429117150623,1000,Exp D,2
0.6598711955811943,0.2455202717308382,0.6830905317681383,0.015217504100092835,0.5020472515614609,0.8162382795853594,0.30492521872834033,0.05059097270737825,0.6026331318863439,0.0054238472844409975,0.05181421641040955,100.0,9.730197927226126,1000,Exp D,3
0.6472379420497955,0.23587104434139908,0.6603394227170445,0.014619438790347276,0.5169076344688746,0.8769434267105266,0.30431146375923224,0.054353516707356817,0.5900781063218251,0.005419668284051597,0.051740167443918766,100.0,9.725115633923739,1000,Exp D,4
