algorithm,scenario,workload,n_seeds,final_reward_mean,final_reward_std,completion_ratio_mean,delay_mean_s,energy_mean_j,seed_cv_delay,seed_cv_energy
CoTOP,corridor_2400m,w20,10,-1102.8635455596218,183.77279091120383,0.983,2.001780882330201,5.88788957091149,0.031515214936348,0.3897963934099004
CoTOP,corridor_2400m,w30,10,-1539.3858103556458,497.0866622176849,0.9826666666666666,2.014802209515775,5.014729749155497,0.0375839245712992,0.5453889651166234
CoTOP,corridor_2400m,w40,10,-2008.821641878599,657.5036003966886,0.9865,2.040490130829701,5.476931923004033,0.0328968620626138,0.4553024821774618
CoTOP,grid_200m,w20,10,-325.00208236202053,122.7752837170805,1.0,0.6457168806659428,2.604303942954262,0.0146438586521315,0.4722267971431756
CoTOP,grid_200m,w30,10,-431.9509128680578,183.65951406015665,1.0,0.6584090751552198,2.2212636772984977,0.0335691902667024,0.5465370026486766
CoTOP,grid_200m,w40,10,-636.0666048124973,238.4856480717149,1.0,0.6742434628360725,2.5060895612264136,0.027806158131279,0.4763879854410994
DDQN,corridor_2400m,w20,10,-904.2330892968002,373.4284423956273,0.985,1.9879196776691683,4.268861642456416,0.0328769393538476,0.7902153424006411
DDQN,corridor_2400m,w30,10,-1539.3858103556458,497.0866622176849,0.9826666666666666,2.014802209515775,5.014729749155497,0.0375839245712992,0.5453889651166234
DDQN,corridor_2400m,w40,10,-2008.821641878599,657.5036003966886,0.9865,2.040490130829701,5.476931923004033,0.0328968620626138,0.4553024821774618
DDQN,grid_200m,w20,10,-265.65562332474667,144.30038034646296,1.0,0.6459659767202288,2.010590256527238,0.0142128610665419,0.7173555114077357
DDQN,grid_200m,w30,10,-431.9509128680578,183.65951406015665,1.0,0.6584090751552198,2.2212636772984977,0.0335691902667024,0.5465370026486766
DDQN,grid_200m,w40,10,-636.0666048124973,238.4856480717149,1.0,0.6742434628360725,2.5060895612264136,0.027806158131279,0.4763879854410994
Greedy,corridor_2400m,w20,10,-1215.8137613776896,204.02294839310088,0.983,1.985204606736729,7.0827338789524985,0.0334718995345864,0.0330280081383444
Greedy,corridor_2400m,w30,10,-1802.1844606848383,248.77356435412952,0.984,1.9920055661657965,7.112851159923348,0.0300164269221579,0.0366894759712098
Greedy,corridor_2400m,w40,10,-2302.904681768703,253.88532622367444,0.98675,1.999362953512744,7.09931725021363,0.0286988984464972,0.015220688974846
Greedy,grid_200m,w20,10,-376.2687929386099,11.554608076543737,1.0,0.6279204275214145,3.134767501864685,0.0191703621044001,0.0336554480972523
Greedy,grid_200m,w30,10,-565.8926758584322,7.245727286775567,1.0,0.6289316275407246,3.143686211515488,0.0130835456391889,0.0137019117400867
Greedy,grid_200m,w40,10,-757.0171224312987,10.89838772127406,1.0,0.6329091848618621,3.152176427294631,0.0116705903334859,0.0154963872761965
Local,corridor_2400m,w20,10,-516.6512045184005,208.13848232479145,0.985,1.9640970493688117,0.2967170979132931,0.0334133454130078,0.0342636179643265
Local,corridor_2400m,w30,10,-769.3661011102367,197.25977217019897,0.9853333333333334,1.993117972175598,0.2956730674592805,0.0297481719866014,0.0281780736475134
Local,corridor_2400m,w40,10,-918.9131099913828,294.94081390634744,0.98825,2.023629964967744,0.2949494942769423,0.0280475027012957,0.022718542540911
Local,grid_200m,w20,10,-93.14912009310126,1.886685857836504,1.0,0.6479255248642535,0.283565676066759,0.0181670521260023,0.0360783818656999
Local,grid_200m,w30,10,-143.22197606950138,2.043045056724531,1.0,0.672332937654875,0.2824802361418005,0.0122042022197416,0.0299933740578668
Local,grid_200m,w40,10,-196.3402392928561,2.43918980221096,1.0,0.6999680083090298,0.2817331881552506,0.0105400776883981,0.0242529463543177
