workload,algorithm,delay_mean_s,delay_std_s,energy_mean_j,energy_std_j,completion_ratio
W20,CoTOP,1.3237488814980722,0.69703023458921,4.246096756932876,2.4594424576647707,0.9914999999999999
W20,DDQN,1.3169428271946988,0.6899046768544776,3.1397259494918277,2.77806073833608,0.9925
W20,Greedy,1.3065625171290718,0.6978215927644583,5.108750690408592,2.032950563858343,0.9914999999999999
W20,Local,1.3060112871165326,0.6767393413549103,0.29014138699002606,0.012002241898748977,0.9925
W30,CoTOP,1.3366056423354975,0.6979298569303668,3.6179967132269972,2.5089570452093453,0.9913333333333334
W30,DDQN,1.3366056423354975,0.6979298569303668,3.6179967132269972,2.5089570452093453,0.9913333333333334
W30,Greedy,1.3104685968532608,0.7004749860095909,5.1282686857194175,2.0442600464185667,0.992
W30,Local,1.3327254549152365,0.6787996735528479,0.28907665180054054,0.010615364596081216,0.9926666666666666
W40,CoTOP,1.3573667968328866,0.7025092612465147,3.991510742115222,2.4378869798775327,0.9932500000000001
W40,DDQN,1.3573667968328866,0.7025092612465147,3.991510742115222,2.4378869798775327,0.9932500000000001
W40,Greedy,1.316136069187303,0.7021059381987959,5.1257468387541305,2.0264846904717007,0.993375
W40,Local,1.3617989866383868,0.6801659143901744,0.28834134121609656,0.009452526041390156,0.994125
