scenario,workload,cotop_delay,cotop_energy,cotop_comp,ddqn_delay,ddqn_energy,ddqn_comp,greedy_delay,greedy_energy,greedy_comp,local_delay,local_energy,local_comp
corridor_2400m,w20,2.0018 ± 0.0631,5.8879 ± 2.2951,98.30%,1.9879 ± 0.0654,4.2689 ± 3.3733,98.50%,1.9852 ± 0.0664,7.0827 ± 0.2339,98.30%,1.9641 ± 0.0656,0.2967 ± 0.0102,98.50%
corridor_2400m,w30,2.0148 ± 0.0757,5.0147 ± 2.7350,98.27%,2.0148 ± 0.0757,5.0147 ± 2.7350,98.27%,1.9920 ± 0.0598,7.1129 ± 0.2610,98.40%,1.9931 ± 0.0593,0.2957 ± 0.0083,98.53%
corridor_2400m,w40,2.0405 ± 0.0671,5.4769 ± 2.4937,98.65%,2.0405 ± 0.0671,5.4769 ± 2.4937,98.65%,1.9994 ± 0.0574,7.0993 ± 0.1081,98.67%,2.0236 ± 0.0568,0.2949 ± 0.0067,98.83%
grid_200m,w20,0.6457 ± 0.0095,2.6043 ± 1.2298,100.00%,0.6460 ± 0.0092,2.0106 ± 1.4423,100.00%,0.6279 ± 0.0120,3.1348 ± 0.1055,100.00%,0.6479 ± 0.0118,0.2836 ± 0.0102,100.00%
grid_200m,w30,0.6584 ± 0.0221,2.2213 ± 1.2140,100.00%,0.6584 ± 0.0221,2.2213 ± 1.2140,100.00%,0.6289 ± 0.0082,3.1437 ± 0.0431,100.00%,0.6723 ± 0.0082,0.2825 ± 0.0085,100.00%
grid_200m,w40,0.6742 ± 0.0187,2.5061 ± 1.1939,100.00%,0.6742 ± 0.0187,2.5061 ± 1.1939,100.00%,0.6329 ± 0.0074,3.1522 ± 0.0488,100.00%,0.7000 ± 0.0074,0.2817 ± 0.0068,100.00%
