Method,Episode N,Seed N,Delay Mean (s),Delay Std (Episode) (s),Delay 95% CI (Episode),Delay 95% CI (Seed t-dist df=4),Energy Mean (J),Energy Std (Episode) (J),Energy 95% CI (Episode),Energy 95% CI (Seed t-dist df=4),Completion Ratio (%),Violation Ratio (%)
CoTOP,250,5,4.4017,0.247,"[4.3711, 4.4323]","[4.3267, 4.4768]",0.319,0.0291,"[0.3154, 0.3226]","[0.3133, 0.3246]",100.00%,0.00%
Local,250,5,4.4249,0.2129,"[4.3985, 4.4513]","[4.3968, 4.4531]",0.3198,0.0297,"[0.3161, 0.3235]","[0.3136, 0.3260]",100.00%,0.00%
Greedy,250,5,4.3931,0.2313,"[4.3644, 4.4218]","[4.3311, 4.4550]",4.525,0.2734,"[4.4911, 4.5589]","[4.4410, 4.6090]",100.00%,0.00%
Wo-MD,250,5,4.4123,0.219,"[4.3852, 4.4395]","[4.3695, 4.4552]",0.3205,0.0303,"[0.3168, 0.3243]","[0.3197, 0.3213]",100.00%,0.00%
Wo-TP,250,5,4.4316,0.2493,"[4.4007, 4.4625]","[4.3991, 4.4640]",5.5786,0.2995,"[5.5414, 5.6157]","[5.5391, 5.6180]",100.00%,0.00%
Wo-Co,250,5,4.4146,0.2586,"[4.3825, 4.4466]","[4.3502, 4.4789]",0.3167,0.0286,"[0.3131, 0.3202]","[0.3124, 0.3209]",100.00%,0.00%
