Configuration,Mean Delay (s),Delay Delta (s),Mean Energy (J),Energy Delta (J),Completion Ratio
Baseline (Nominal),2.076789343132504,0.0,3.8423412930453766,0.0,0.965
Bandwidth V2R x0.2 (4-20 MHz),10.013601811587298,7.936812468454795,3.9217094177299248,0.07936812468454812,0.64
Bandwidth V2R x2.0 (40-200 MHz),1.084687784575655,-0.9921015585568489,3.832420277459809,-0.009921015585567794,1.0
Task Size x2.0 (4-10 MB),2.076789343132504,0.0,3.8423412930453766,0.0,0.965
Task Size x0.5 (1-2.5 MB),2.076789343132504,0.0,3.8423412930453766,0.0,0.965
RSU CPU Freq x0.5 (0.5-2.0 GHz),2.133952195549976,0.0571628524174721,4.122503194786192,0.280161901740815,0.965
RSU CPU Freq x2.0 (2.0-8.0 GHz),2.0482079169237686,-0.028581426208735383,3.7022603421749687,-0.14008095087040795,0.965
Vehicle Tx Power x10 (0.1 W / 20 dBm),0.5517780151324194,-1.5250113280000845,3.868418440785601,0.026077147740224405,1.0
RSU Compute Power x2 (100 W),2.076789343132504,0.0,4.122503194786192,0.280161901740815,0.965
