Algorithm,Paper Mean Delay (s),Reproduced Mean Delay (s),Delay Abs Diff (s),Delay Rel Diff (%),Paper Mean Energy (J),Reproduced Mean Energy (J),Energy Abs Diff (J),Energy Rel Diff (%),Paper Completion Ratio,Reproduced Completion Ratio,Completion Abs Diff
CoTOP,13.9,2.076789343132504,-11.823210656867497,-85.05906947386688,25.14,3.8423412930453766,-21.297658706954625,-84.71622397356653,0.98,0.965,-0.015000000000000013
Local,28.5,2.04136596953117,-26.45863403046883,-92.83731238760993,42.0,0.3000039329119527,-41.699996067088044,-99.2857049216382,0.82,0.965,0.14500000000000002
Greedy,20.0,2.0639223869258982,-17.9360776130741,-89.68038806537051,35.0,7.219614589600078,-27.780385410399923,-79.37252974399978,0.91,0.965,0.05499999999999994
