seed,episode,reward,actor_loss,critic_loss,entropy,completion_ratio_pct,avg_delay_s,avg_wait_delay_s,avg_energy_J,avg_queue_Mcycles,max_queue_Mcycles,total_tasks,duration_s
0,45,-1649.5267,-437.123383,54628.003906,1.942842,100.0,1.9251,0.0135,3.5733,11.28,96.11,600,15.607
0,46,-1623.3251,-426.706329,52801.273438,1.942652,100.0,1.9243,0.0138,3.4868,11.5,96.74,600,15.48
0,47,-1651.3091,-432.469086,54598.328125,1.942436,100.0,1.9147,0.014,3.5897,11.27,100.97,600,15.956
0,48,-1591.9733,-419.92804,50534.945312,1.942216,100.0,1.9064,0.0141,3.4002,11.61,93.19,600,15.905
0,49,-1662.3875,-442.224579,56586.152344,1.941975,100.0,1.9557,0.0143,3.5856,12.09,94.12,600,18.029
0,50,-1611.0468,-427.463348,52404.085938,1.941705,100.0,1.9497,0.0147,3.4204,11.41,99.83,600,14.692
1,1,-1623.9568,-433.745239,53562.839844,1.945072,100.0,1.9424,0.0137,3.4708,11.05,91.53,600,14.127
1,2,-1595.6835,-425.11087,51792.210938,1.945057,100.0,1.9216,0.0145,3.3974,11.56,106.38,600,15.231
1,3,-1605.2262,-429.871735,53000.464844,1.945061,100.0,1.957,0.0142,3.3937,11.26,94.67,600,16.049
1,4,-1576.4986,-413.680878,49798.980469,1.945066,100.0,1.944,0.0136,3.3109,11.39,95.73,600,15.836
1,5,-1637.8503,-431.28186,53742.601562,1.945073,100.0,1.9704,0.0145,3.4891,11.73,91.27,600,15.64
1,6,-1670.2059,-446.190979,57319.851562,1.945077,100.0,2.0023,0.0132,3.565,11.63,95.66,600,14.447
1,7,-1638.4023,-427.12915,52785.535156,1.945085,100.0,1.959,0.0147,3.5024,11.47,92.31,600,14.083
1,8,-1639.3828,-433.61264,53896.160156,1.945087,100.0,1.9207,0.0135,3.5439,11.29,87.99,600,13.656
1,9,-1580.3397,-424.126495,50928.230469,1.945088,100.0,1.9339,0.0152,3.3339,11.82,101.05,600,14.167
1,10,-1555.8809,-415.089874,49251.648438,1.945085,100.0,1.93,0.015,3.2563,11.6,103.05,600,14.203
1,11,-1638.2784,-434.593597,53886.253906,1.945079,100.0,1.9652,0.0134,3.4957,11.42,89.97,600,14.079
1,12,-1625.7264,-433.327423,53891.621094,1.945077,100.0,1.9975,0.0137,3.4216,11.06,99.19,600,14.068
1,13,-1590.7416,-419.544159,50550.441406,1.945077,100.0,1.9345,0.0157,3.368,11.17,86.36,600,13.601
1,14,-1641.1037,-440.060425,55579.753906,1.945085,100.0,1.9358,0.0139,3.5346,11.32,98.37,600,14.905
1,15,-1652.7989,-440.972931,55704.199219,1.945091,100.0,1.9578,0.0133,3.5515,11.54,91.64,600,15.667
1,16,-1552.332,-412.169067,48471.292969,1.945097,100.0,1.9486,0.0135,3.2259,11.03,86.73,600,15.36
1,17,-1603.9694,-425.626312,52449.761719,1.945102,100.0,1.9179,0.0136,3.4286,11.49,90.26,600,16.396
1,18,-1640.7161,-433.721863,54033.230469,1.945114,100.0,1.9696,0.0138,3.4995,11.06,94.82,600,16.028
1,19,-1637.0288,-435.696106,54604.277344,1.945122,100.0,1.9225,0.014,3.5342,11.6,96.81,600,16.496
1,20,-1662.3848,-439.682556,55247.183594,1.94513,100.0,1.9801,0.0137,3.5612,11.5,95.57,600,16.92
1,21,-1609.6872,-425.422852,52484.921875,1.945134,100.0,1.9599,0.0149,3.4058,11.63,92.49,600,16.977
1,22,-1594.8663,-427.308319,52072.691406,1.945138,100.0,1.9159,0.0139,3.4003,10.95,81.3,600,16.044
1,23,-1589.7386,-422.177856,50896.613281,1.945136,100.0,1.9315,0.013,3.3676,11.31,85.12,600,15.963
1,24,-1633.4914,-431.844727,53404.878906,1.945131,100.0,1.9515,0.0137,3.4935,11.87,98.3,600,15.925
1,25,-1575.2885,-421.196411,51281.011719,1.94513,100.0,1.9678,0.016,3.2832,11.7,93.01,600,16.917
1,26,-1613.6116,-428.778046,52603.011719,1.945124,100.0,1.9642,0.0141,3.4145,11.29,106.53,600,16.048
1,27,-1634.0275,-434.547394,53912.96875,1.945117,100.0,1.9757,0.0142,3.4711,11.69,97.03,600,16.203
1,28,-1685.5161,-444.946625,57126.726562,1.945105,100.0,1.9458,0.0127,3.6725,11.39,93.84,600,15.139
1,29,-1659.178,-442.775879,56687.492188,1.945085,100.0,1.9645,0.0132,3.5661,11.32,86.84,600,16.304
1,30,-1621.2886,-428.580475,53089.984375,1.94506,100.0,1.9663,0.0142,3.438,11.23,88.28,600,16.741
1,31,-1607.0442,-424.843811,51748.464844,1.945032,100.0,1.9811,0.0144,3.3757,11.41,96.42,600,16.094
1,32,-1587.9992,-423.071106,51469.4375,1.944997,100.0,1.9271,0.013,3.3663,11.3,94.77,600,16.078
1,33,-1592.1861,-425.0784,51571.222656,1.944946,100.0,1.952,0.0142,3.3553,11.43,109.37,600,14.8
