comparison,metric,n_episodes,mean_diff,std_diff,sem,t_statistic,p_value,ci_95_lower,ci_95_upper,cohens_dz,wilcoxon_p,cles,p_holm,p_fdr_bh,statistically_significant_alpha_0_05
cotop_vs_local,total_delay_s,100,0.0192,0.0089,0.0009,21.7119,1.9787194501765835e-39,0.0175,0.021,2.1712,3.8899707322140255e-18,1.0,0.0,0.0,True
cotop_vs_local,total_energy_J,100,3.7746,0.7269,0.0727,51.9264,1.2473916932330584e-73,3.6304,3.9189,5.1926,3.895900458013434e-18,1.0,0.0,0.0,True
cotop_vs_greedy,total_delay_s,100,0.0259,0.0088,0.0009,29.294,1.4188747645547287e-50,0.0242,0.0277,2.9294,3.892385512934327e-18,1.0,0.0,0.0,True
cotop_vs_greedy,total_energy_J,100,-0.1712,0.7293,0.0729,-2.3477,0.020877845424740915,-0.3159,-0.0265,-0.2348,0.013955675735869692,0.8,0.020878,0.020878,True
