geometry,workload,workload_int,seed,CoTOP_mean_delay,CoTOP_mean_energy,CoTOP_completion_ratio,CoTOP_tasks_generated,CoTOP_tasks_completed,CoTOP_tasks_failed,CoTOP_mean_comm_delay,CoTOP_mean_comp_delay,CoTOP_mean_wait_delay,CoTOP_mean_queue_backlog,CoTOP_fail_deadline_ratio,CoTOP_fail_coverage_ratio,CoTOP_fail_dual_ratio,CoTOP_fail_departure_ratio,DDQN_mean_delay,DDQN_mean_energy,DDQN_completion_ratio,DDQN_tasks_generated,DDQN_tasks_completed,DDQN_tasks_failed,DDQN_mean_comm_delay,DDQN_mean_comp_delay,DDQN_mean_wait_delay,DDQN_mean_queue_backlog,DDQN_fail_deadline_ratio,DDQN_fail_coverage_ratio,DDQN_fail_dual_ratio,DDQN_fail_departure_ratio,delta_delay,delta_energy,delta_completion_ratio,delta_comm_delay,delta_comp_delay,delta_wait_delay,delta_queue_backlog
corridor_2400m,w20,20,42,2.0691899424713336,3.8472302080975296,0.965,200,193,7,2.019675379865554,0.005566832413412393,0.043947730192367127,40029510.69880129,0.0,0.035,0.0,0.0,2.054425641464148,5.5292365892175,0.97,200,194,6,2.036495443676754,0.005261881091545108,0.01266831669584908,21743923.978630405,0.0,0.03,0.0,0.0,0.014764301007185399,-1.6820063811199701,-0.0050000000000000044,-0.016820063811199937,0.0003049513218672849,0.03127941349651805,18285586.72017088
corridor_2400m,w20,20,43,2.0885961722133977,6.953622868294181,0.985,200,197,3,2.0127390155409692,0.004519536290160264,0.07133762038226762,42408069.47359156,0.0,0.015,0.0,0.0,2.010068166772154,3.2987430825275923,0.985,200,197,3,1.9761902176833035,0.004995030139158487,0.028882918949691506,43958540.02795937,0.0,0.015,0.0,0.0,0.07852800544124383,3.6548797857665885,0.0,0.03654879785766574,-0.00047549384899822286,0.04245470143257612,-1550470.5543678105
corridor_2400m,w20,20,44,2.0100165564915193,7.898295710676502,0.99,200,198,2,1.9742874150562477,0.0047102100434753685,0.031018931391796113,4901113.162906058,0.0,0.01,0.0,0.0,1.9690100225936806,4.958890136292414,0.99,200,198,2,1.9448933593124067,0.0049171674797772605,0.01919949580149648,19570322.979226526,0.0,0.01,0.0,0.0,0.041006533897838704,2.9394055743840877,0.0,0.02939405574384102,-0.00020695743630189199,0.011819435590299632,-14669209.816320468
corridor_2400m,w20,20,45,1.966531049376072,7.636957061493929,0.975,200,195,5,1.932188309801275,0.005330381345153414,0.02901235822964351,6881150.595771356,0.0,0.025,0.0,0.0,1.9497005704358341,6.205820702136752,0.985,200,197,3,1.9178769462077034,0.005347239147397088,0.026476385080733623,18729306.732198585,0.0,0.015,0.0,0.0,0.016830478940237814,1.4311363593571764,-0.010000000000000009,0.014311363593571658,-1.6857802243673732e-05,0.0025359731489098883,-11848156.13642723
corridor_2400m,w20,20,46,2.0146088881250095,4.893763607086946,0.975,200,195,5,1.9957208313967407,0.005123621281448969,0.013764435446819871,32631227.817442603,0.0,0.025,0.0,0.0,2.025479625148607,5.7821688413871195,0.98,200,196,4,2.0046048837397428,0.005097618769424779,0.015777122639439648,24020574.367324058,0.0,0.02,0.0,0.0,-0.010870737023597421,-0.8884052343001736,-0.0050000000000000044,-0.008884052343002047,2.6002512024190204e-05,-0.002012687192619777,8610653.450118545
corridor_2400m,w30,30,42,2.1150755224303475,8.126656654025314,0.9966666666666667,300,299,1,2.0375801771272806,0.005116670862819138,0.07237867444024781,8136914.857417224,0.0,0.0033333333333333335,0.0,0.0,2.0310304997681126,2.5534015015063516,0.9966666666666667,300,299,1,1.9818476256020912,0.005507070611611047,0.04367580355441082,69201495.99795857,0.0,0.0033333333333333335,0.0,0.0,0.0840450226622349,5.573255152518962,0.0,0.05573255152518941,-0.0003903997487919083,0.028702870885836992,-61064581.140541345
corridor_2400m,w30,30,43,2.1315827569118535,7.639785907712091,0.98,300,294,6,2.0509909955630823,0.0045080630182103,0.07608369833056089,26750952.41336648,0.0,0.02,0.0,0.0,2.0640973014477404,2.9261291168401007,0.9833333333333333,300,295,5,2.0038544276543626,0.005068005537159261,0.055174868256218756,76904511.88394992,0.0,0.016666666666666666,0.0,0.0,0.06748545546411311,4.71365679087199,-0.0033333333333332993,0.04713656790871967,-0.000559942518948961,0.020908830074342133,-50153559.47058344
corridor_2400m,w30,30,44,2.0614547808199615,8.23102744791549,0.9866666666666667,300,296,4,1.9661196581862312,0.004814539373833814,0.09052058325989662,7483479.087101988,0.0,0.013333333333333334,0.0,0.0,1.9641123785371626,4.543278643330728,0.9866666666666667,300,296,4,1.9292421701403835,0.004962134090849762,0.029908074305928872,49651223.275275886,0.0,0.013333333333333334,0.0,0.0,0.09734240228279889,3.6877488045847624,0.0,0.036877488045847784,-0.0001475947170159475,0.06061250895396775,-42167744.1881739
corridor_2400m,w30,30,45,1.975300350364665,6.929534987704571,0.9733333333333334,300,292,8,1.9247264480116246,0.005372341227486402,0.04520156112555378,23886685.426371574,0.0,0.02666666666666667,0.0,0.0,1.9350483004787271,2.9161264527031774,0.9833333333333333,300,295,5,1.8845923626616112,0.005585520663002092,0.04487041715411382,63832862.94535721,0.0,0.016666666666666666,0.0,0.0,0.04025204988593778,4.0134085350013935,-0.009999999999999898,0.04013408535001339,-0.00021317943551568946,0.0003311439714399553,-39946177.51898564
corridor_2400m,w30,30,46,2.0262660505698795,1.3637807308404621,0.9733333333333334,300,292,8,1.9623678335312555,0.0053951177614220275,0.058503099277201896,75071496.42284048,0.0,0.02666666666666667,0.0,0.0,2.036259394013579,5.006951413764622,0.9733333333333334,300,292,8,1.9987995403604972,0.00513648420276618,0.032323369450315574,33887744.21176132,0.0,0.02666666666666667,0.0,0.0,-0.009993343443699398,-3.6431706829241595,0.0,-0.03643170682924168,0.0002586335586558476,0.026179729826886322,41183752.21107916
