algorithm,scenario,workload,n_seeds,delay_mean_s,delay_std_s,delay_median_s,delay_iqr_s,delay_min_s,delay_max_s,delay_cv,delay_ci95_lower,delay_ci95_upper,energy_mean_j,energy_std_j,energy_median_j,energy_iqr_j,energy_min_j,energy_max_j,energy_cv,energy_ci95_lower,energy_ci95_upper,completion_ratio_mean,comm_delay_mean_s,comp_delay_mean_s,wait_delay_mean_s,comm_energy_mean_j,comp_energy_mean_j,local_energy_mean_j,r2r_energy_mean_j,mean_reward
CoTOP,corridor_2400m,w20,10,2.001780882330201,0.06308655476210868,2.0084815675477063,0.0752422787502407,1.879644882768684,2.085536377717744,0.03151521493634803,1.95665147970723,2.046910284953172,5.88788957091149,2.2950781195370653,6.676842528695518,3.187110007159255,0.97902628518066,8.081912015403205,0.38979639340990047,4.246089588358483,7.529689553464497,0.983,1.9608849821143857,0.00516432041831185,0.03573157979750395,2.3734525952771297,2.3441777682170755,0.03659353382506736,1.1702592074172844,-1102.8635455596218
CoTOP,corridor_2400m,w30,10,2.014802209515775,0.07572417426852796,2.015529768198065,0.0838035766043499,1.904336294437591,2.1458434481347526,0.03758392457129925,1.9606323985038574,2.0689720205276925,5.014729749155497,2.734978268231461,5.380951882164011,4.150120762000817,0.6678351174088283,7.936462302972889,0.5453889651166234,3.058244157296432,6.971215341014561,0.9826666666666666,1.953430832837966,0.00514698360911961,0.056224393068689336,2.0510254171331854,1.9788117891796069,0.09026703494197305,0.9848925428427048,-1539.3858103556458
CoTOP,corridor_2400m,w40,10,2.040490130829701,0.06712572237402956,2.030213496713275,0.10373140181222285,1.958522165669759,2.141233901880572,0.03289686206261385,1.9924712817611694,2.088508979898233,5.476931923004033,2.4936606992607153,6.5185683813821385,1.7088698013837638,0.7184920686935871,7.4048647894401025,0.45530248217746183,3.693074520640243,7.260789325367822,0.9865,1.9604927934482685,0.00511725485585328,0.07488008252557869,2.228521505827054,2.1681235272263484,0.07549747325088277,1.08028688995063,-2008.821641878599
CoTOP,grid_200m,w20,10,0.6457168806659428,0.009455786729767362,0.6475468654674177,0.011601282442595506,0.6313550845557623,0.6613123468919904,0.01464385865213155,0.6389526183274179,0.6524811430044677,2.604303942954262,1.2298221097686348,3.196420540411017,1.9976609202204263,0.5853018589454834,3.773385420599011,0.47222679714317567,1.7245422036158562,3.484065682292668,1.0,0.6130384553998496,0.004754955716852,0.027923469549240992,1.0591210141391065,1.0312819150072643,0.03479887391480259,0.513901013807892,-325.00208236202053
CoTOP,grid_200m,w30,10,0.6584090751552198,0.022102259517209174,0.6537366980252426,0.02664383705687634,0.6334506963190218,0.7020503027739625,0.03356919026670246,0.6425980711720284,0.6742200791384113,2.2212636772984977,1.214002792283098,2.1180537936210584,1.7977432010761643,0.4740586389579342,3.690920294497068,0.5465370026486766,1.3528183959711133,3.089708958625882,1.0,0.6063449686845578,0.00484759675252771,0.0472165097181342,0.9316013602429056,0.8626479373252953,0.0861917786470128,0.42701437973029704,-431.9509128680578
CoTOP,grid_200m,w40,10,0.6742434628360725,0.01874812034660099,0.6792013423594248,0.030991145414495103,0.6492926846554506,0.698915577305026,0.027806158131279034,0.6608318654721623,0.6876550601999827,2.5060895612264136,1.1938709574076198,2.589204811268881,1.5002407487135216,0.4723990933544278,3.7914420058559175,0.4763879854410994,1.6520457270070634,3.3601333954457635,1.0,0.6092859207225437,0.0047601171669520905,0.060197424946576525,1.0383959964454101,0.9808597213176584,0.07192034390968934,0.4868338434633449,-636.0666048124973
DDQN,corridor_2400m,w20,10,1.9879196776691685,0.06535671468304961,1.9947869610703894,0.08125424887113275,1.879644882768684,2.085536377717744,0.032876939353847646,1.9411663004690947,2.034673054869242,4.268861642456416,3.37331996445466,5.37658710174133,6.6931793551522505,0.3917857455477632,7.962968113379389,0.7902153424006411,1.8557339098350583,6.681989375077775,0.985,1.9446947028298347,0.00525312855521927,0.03797184628411445,1.7528172623635652,1.6803810937539674,0.09054521076199734,0.8356632863388839,-904.2330892968002
DDQN,corridor_2400m,w30,10,2.014802209515775,0.07572417426852796,2.015529768198065,0.0838035766043499,1.904336294437591,2.1458434481347526,0.03758392457129925,1.9606323985038574,2.0689720205276925,5.014729749155497,2.734978268231461,5.380951882164011,4.150120762000817,0.6678351174088283,7.936462302972889,0.5453889651166234,3.058244157296432,6.971215341014561,0.9826666666666666,1.953430832837966,0.00514698360911961,0.056224393068689336,2.0510254171331854,1.9788117891796069,0.09026703494197305,0.9848925428427048,-1539.3858103556458
DDQN,corridor_2400m,w40,10,2.040490130829701,0.06712572237402956,2.030213496713275,0.10373140181222285,1.958522165669759,2.141233901880572,0.03289686206261385,1.9924712817611694,2.088508979898233,5.476931923004033,2.4936606992607153,6.5185683813821385,1.7088698013837638,0.7184920686935871,7.4048647894401025,0.45530248217746183,3.693074520640243,7.260789325367822,0.9865,1.9604927934482685,0.00511725485585328,0.07488008252557869,2.228521505827054,2.1681235272263484,0.07549747325088277,1.08028688995063,-2008.821641878599
DDQN,grid_200m,w20,10,0.6459659767202288,0.009181024680837672,0.6475468654674177,0.011256511075283693,0.6313550845557623,0.6590294366125556,0.014212861066541932,0.6393982673109044,0.6525336861295532,2.010590256527238,1.4423080017025074,1.5598129313368219,2.6694075924313534,0.3702780326260369,3.773385420599011,0.7173555114077357,0.9788252669726003,3.0423552460818764,1.0,0.6071013185355796,0.00499271276392692,0.03387194542072236,0.854477583610802,0.7740912140109514,0.10048296199981306,0.382021458905485,-265.65562332474667
