seed,n_runs,mean_delay_s,std_delay_s,mean_energy_j,std_energy_j,mean_completion_ratio
42,24,1.362991249251702,0.7161815985253567,3.276102696263033,2.6773759783725293,0.9920486111111111
43,24,1.364069616981557,0.7194719620532534,2.676815782026751,2.7375764277157786,0.9928125
44,24,1.332871912249734,0.7005239593791966,3.6228133593015475,2.880879066668199,0.99375
45,24,1.2970990639678834,0.6592678528200409,2.6358142966584306,2.6229133264103046,0.9920833333333334
46,24,1.3387429003057816,0.7034840023806009,2.5638297382356785,2.383446069030495,0.9896874999999999
47,24,1.2853673170554945,0.6494882933216929,4.051877707052248,2.9435667668819434,0.9929513888888888
48,24,1.3307618449721976,0.6960785903523985,3.422826119866059,2.548097751143485,0.9907638888888889
49,24,1.2852021227875667,0.6516136971367904,3.1066355217218926,2.6715355956588356,0.9969097222222224
50,24,1.3339547440659374,0.6750530413669429,3.070414907526516,2.7348704354847415,0.9927777777777779
51,24,1.3708888107532544,0.7263723472708578,3.9355058813461348,2.8282183599448194,0.9906597222222221
