run_id,algorithm,scenario,workload,seed,checkpoint_path,checkpoint_sha256,model_parameter_hash,realization_path,realization_sha256,git_commit,mean_delay_s,mean_energy_j,completion_ratio,action_sequence_sha256
phase7_wo_md_corridor_2400m_w20_seed43,wo_md,corridor_2400m,20,43,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed43\checkpoint.pt,cc54ac677618b563bab6a70322a093d26be3e7ba839ea5d7a36f1f2e1a6337b3,11b97bef36c0e22cd27b9bc075524fe1bf699b0ef1b2186465d3acd5326d72c9,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_43.json,52a594aa777255afb0bda1c2b2373e272cbf926223556329585fd800730c4604,4e25265,2.0885961722133977,6.953622868294181,0.985,8fe7b34e916990c991b7a9683ca325785645c7d81dff50c80c97d60db356e171
phase7_wo_tp_corridor_2400m_w20_seed43,wo_tp,corridor_2400m,20,43,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed43\checkpoint.pt,cc54ac677618b563bab6a70322a093d26be3e7ba839ea5d7a36f1f2e1a6337b3,11b97bef36c0e22cd27b9bc075524fe1bf699b0ef1b2186465d3acd5326d72c9,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_43.json,52a594aa777255afb0bda1c2b2373e272cbf926223556329585fd800730c4604,4e25265,2.0885961722133977,6.953622868294181,0.985,8fe7b34e916990c991b7a9683ca325785645c7d81dff50c80c97d60db356e171
phase7_wo_co_corridor_2400m_w20_seed43,wo_co,corridor_2400m,20,43,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_43.json,52a594aa777255afb0bda1c2b2373e272cbf926223556329585fd800730c4604,4e25265,2.0142848110771028,0.28772091847867637,0.985,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8
phase7_CoTOP_corridor_2400m_w20_seed44,CoTOP,corridor_2400m,20,44,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed44\checkpoint.pt,4e53f8d6d9a2359c9792c166ea287a1d196bbdbfe5ae16f9f0e5acf6832ca83d,cd4f4e4d23e9ef9ef48cd68bb46ce5d289ac9e48bdfd7a045c15aa1fa168ad9b,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_44.json,805b00e6ec8c010f4a340d5e45c5cce35fc48264d889b507bc198891b5bf460f,4e25265,2.0100165564915193,7.898295710676502,0.99,fdb92536950ce2ca5143c2f42f5143071dc879ae29568e41610c00ca2cf7bbf1
phase7_DDQN_corridor_2400m_w20_seed44,DDQN,corridor_2400m,20,44,D:\cotop-implementation\results\phase2_multiseed\DDQN\corridor_2400m_w20_seed44\checkpoint.pt,c985f9dd50bdf9186a872ab76cb0f65e047765a64c7af9a85b62323a560be04b,0d364ee9a55bf98c618f65f9b0a82b08b00db59bbdd9a74b3a7808ae3b3f3048,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_44.json,805b00e6ec8c010f4a340d5e45c5cce35fc48264d889b507bc198891b5bf460f,4e25265,1.9690100225936806,4.958890136292414,0.99,0a056496dc3ef4d35514e59c6d9e81606b2feeef055fde33ca35d692949a941c
phase7_Local_corridor_2400m_w20_seed44,Local,corridor_2400m,20,44,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_44.json,805b00e6ec8c010f4a340d5e45c5cce35fc48264d889b507bc198891b5bf460f,4e25265,1.9523747220594847,0.27932087710099596,0.99,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8
phase7_Greedy_corridor_2400m_w20_seed44,Greedy,corridor_2400m,20,44,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_44.json,805b00e6ec8c010f4a340d5e45c5cce35fc48264d889b507bc198891b5bf460f,4e25265,1.9795849138682236,7.095644216818511,0.99,065c2b7630489fc16ae7b0af66f56b79a364e6338a959fce9ac3c27c1c155bd5
phase7_wo_md_corridor_2400m_w20_seed44,wo_md,corridor_2400m,20,44,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed44\checkpoint.pt,4e53f8d6d9a2359c9792c166ea287a1d196bbdbfe5ae16f9f0e5acf6832ca83d,cd4f4e4d23e9ef9ef48cd68bb46ce5d289ac9e48bdfd7a045c15aa1fa168ad9b,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_44.json,805b00e6ec8c010f4a340d5e45c5cce35fc48264d889b507bc198891b5bf460f,4e25265,2.0100165564915193,7.898295710676502,0.99,fdb92536950ce2ca5143c2f42f5143071dc879ae29568e41610c00ca2cf7bbf1
phase7_wo_tp_corridor_2400m_w20_seed44,wo_tp,corridor_2400m,20,44,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w20_seed44\checkpoint.pt,4e53f8d6d9a2359c9792c166ea287a1d196bbdbfe5ae16f9f0e5acf6832ca83d,cd4f4e4d23e9ef9ef48cd68bb46ce5d289ac9e48bdfd7a045c15aa1fa168ad9b,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_44.json,805b00e6ec8c010f4a340d5e45c5cce35fc48264d889b507bc198891b5bf460f,4e25265,2.0100165564915193,7.898295710676502,0.99,fdb92536950ce2ca5143c2f42f5143071dc879ae29568e41610c00ca2cf7bbf1
phase7_wo_co_corridor_2400m_w20_seed44,wo_co,corridor_2400m,20,44,NOT_APPLICABLE,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w20_44.json,805b00e6ec8c010f4a340d5e45c5cce35fc48264d889b507bc198891b5bf460f,4e25265,1.9523747220594847,0.27932087710099596,0.99,3e273723fa2057ff611c7f5347fb8a232d72b272b95bd4b32beca34c16ef9cf8
