algorithm,scenario,workload,seed,total_tasks,completed_tasks,failed_tasks,completion_ratio,mean_delay_s,median_delay_s,std_delay_s,p5_delay_s,p95_delay_s,max_delay_s,mean_energy_j,median_energy_j,std_energy_j,p5_energy_j,p95_energy_j,max_energy_j,comm_delay_s,comp_delay_s,wait_delay_s,action_0_count,collab_count,collaboration_ratio,coverage_failures,deadline_failures,action_sequence_sha256,run_id,checkpoint_path,checkpoint_sha256,realization_path,realization_sha256,git_commit
DDQN,corridor_2400m,30,44,300,296,4,0.9866666666666667,1.9641123785371626,1.659451244014846,1.4735151573836258,0.19592747906605493,5.1222850151910135,6.202065478976986,4.543278643330728,3.6933562053413063,4.6072189423971555,0.122921426478925,12.87308232860485,17.12078078589843,1.9292421701403835,0.004962134090849762,0.029908074305928872,110,190,0.6333333333333333,4,0,223273c30b8352669d094d877271b5e3f499a821427338acf3fbb651d8130ba4,phase7_DDQN_corridor_2400m_w30_seed44,D:\cotop-implementation\results\phase2_multiseed\DDQN\corridor_2400m_w30_seed44\checkpoint.pt,130604eb6cf140c82442c9f5f7a25f17f1045769fa3463e0729ef6e30067ad69,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_44.json,2e7215839ff41c4f9bd7cd524a428cb532657965c2eaabbe5ac5e5a3e39e93e3,4e25265
Local,corridor_2400m,30,44,300,296,4,0.9866666666666667,1.9687189153280606,1.672762435099671,1.4633257735818004,0.22068493692023936,5.1123763736841665,6.202569933579921,0.2844911862426961,0.28725462367843024,0.1334964410757441,0.08261373397672299,0.4902684113370364,0.525446350505921,1.8866542955695036,0.005312492865740022,0.07675212689281735,300,0,0.0,4,0,8581d8ffc2a3644152b81868cdacc2ce1429fecb2659e34de74946ad8b28d730,phase7_Local_corridor_2400m_w30_seed44,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_44.json,2e7215839ff41c4f9bd7cd524a428cb532657965c2eaabbe5ac5e5a3e39e93e3,4e25265
Greedy,corridor_2400m,30,44,300,296,4,0.9866666666666667,1.972402526687518,1.6938892665952725,1.4741692798492299,0.22321240945411042,5.133231855847357,6.330975463959043,6.874216349470947,6.939075024047882,4.1248576722580985,0.256863499638587,13.951982574112257,17.484182905802953,1.9525515472017858,0.004822628064387353,0.015028351421345093,44,256,0.8533333333333334,4,0,05d7ac4c39071c44b5d780b0323a33b02c8ffed738735da30f640dd45bdb5c54,phase7_Greedy_corridor_2400m_w30_seed44,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_44.json,2e7215839ff41c4f9bd7cd524a428cb532657965c2eaabbe5ac5e5a3e39e93e3,4e25265
wo_md,corridor_2400m,30,44,300,296,4,0.9866666666666667,2.0614547808199615,1.7163860834331226,1.454301665511586,0.36639743778266065,5.259774923017242,6.334486232099442,8.23102744791549,7.588812179681669,3.220041904630672,3.960593603509567,14.409094002230558,15.150117971282459,1.9661196581862312,0.004814539373833814,0.09052058325989662,0,300,1.0,4,0,d1039fb8987f369387a15b5c6f952e18e2eb19ab312f41726809cfc2a180ac4b,phase7_wo_md_corridor_2400m_w30_seed44,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w30_seed44\checkpoint.pt,52cd659f0c18704999f375d6807ccea61ba0bc9bce2b7b31cb5fe69b0fea50b0,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_44.json,2e7215839ff41c4f9bd7cd524a428cb532657965c2eaabbe5ac5e5a3e39e93e3,4e25265
wo_tp,corridor_2400m,30,44,300,296,4,0.9866666666666667,2.0614547808199615,1.7163860834331226,1.454301665511586,0.36639743778266065,5.259774923017242,6.334486232099442,8.23102744791549,7.588812179681669,3.220041904630672,3.960593603509567,14.409094002230558,15.150117971282459,1.9661196581862312,0.004814539373833814,0.09052058325989662,0,300,1.0,4,0,d1039fb8987f369387a15b5c6f952e18e2eb19ab312f41726809cfc2a180ac4b,phase7_wo_tp_corridor_2400m_w30_seed44,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w30_seed44\checkpoint.pt,52cd659f0c18704999f375d6807ccea61ba0bc9bce2b7b31cb5fe69b0fea50b0,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_44.json,2e7215839ff41c4f9bd7cd524a428cb532657965c2eaabbe5ac5e5a3e39e93e3,4e25265
wo_co,corridor_2400m,30,44,300,296,4,0.9866666666666667,1.9687189153280606,1.672762435099671,1.4633257735818004,0.22068493692023936,5.1123763736841665,6.202569933579921,0.2844911862426961,0.28725462367843024,0.1334964410757441,0.08261373397672299,0.4902684113370364,0.525446350505921,1.8866542955695036,0.005312492865740022,0.07675212689281735,300,0,0.0,4,0,8581d8ffc2a3644152b81868cdacc2ce1429fecb2659e34de74946ad8b28d730,phase7_wo_co_corridor_2400m_w30_seed44,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_44.json,2e7215839ff41c4f9bd7cd524a428cb532657965c2eaabbe5ac5e5a3e39e93e3,4e25265
CoTOP,corridor_2400m,30,45,300,292,8,0.9733333333333334,1.975300350364665,1.4980406649836675,1.5806598454518095,0.2841609434732867,5.479269589063732,6.299452226993693,6.929534987704571,7.075794401432791,4.79450103760081,0.19735739033117097,14.315268864012932,16.348687387970745,1.9247264480116246,0.005372341227486402,0.04520156112555378,0,300,1.0,8,0,99955cb060186871b74d4fe9ef4c7bad2e0e303410719c23f74fa4a50d20315e,phase7_CoTOP_corridor_2400m_w30_seed45,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w30_seed45\checkpoint.pt,642fccc6c78fad9b1d23617aae930879f52f8dab266bea6f2991dbc327f847be,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_45.json,f820ccdf1f56a15863c501f5ef482e73f19d133834f3c2390c7641fc1e03155a,4e25265
DDQN,corridor_2400m,30,45,300,295,5,0.9833333333333333,1.9350483004787271,1.4652764667399805,1.5744449394536546,0.20822937803094735,5.425269438399936,6.27975508040145,2.9161264527031774,0.4367243539236626,3.990296117515548,0.11225522547626621,10.647795183099385,16.302180911295228,1.8845923626616112,0.005585520663002092,0.04487041715411382,171,129,0.43,5,0,da60a4b860e7b7883e5ff4bbd6980cf0244360f761ab242f1cc6d0665332d18b,phase7_DDQN_corridor_2400m_w30_seed45,D:\cotop-implementation\results\phase2_multiseed\DDQN\corridor_2400m_w30_seed45\checkpoint.pt,252aed08b55227b664bb0aa864ef4d8ccb688247c995297e6b80c38ed8c932f9,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_45.json,f820ccdf1f56a15863c501f5ef482e73f19d133834f3c2390c7641fc1e03155a,4e25265
Local,corridor_2400m,30,45,300,295,5,0.9833333333333333,1.9455422408833756,1.4792313781199382,1.5654798931793958,0.23303119925487184,5.391593781835175,6.150957669070944,0.30434942490919376,0.3037518734836031,0.13695425089513089,0.09552784721717343,0.5054190417310099,0.5373758586461652,1.8584745923836712,0.005715293579707141,0.08135235491999747,300,0,0.0,5,0,8581d8ffc2a3644152b81868cdacc2ce1429fecb2659e34de74946ad8b28d730,phase7_Local_corridor_2400m_w30_seed45,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_45.json,f820ccdf1f56a15863c501f5ef482e73f19d133834f3c2390c7641fc1e03155a,4e25265
Greedy,corridor_2400m,30,45,300,294,6,0.98,1.9460372999827662,1.4635400656704756,1.5711272471942443,0.23116327247206836,5.390058479636836,6.297964622660687,7.232340573584594,7.101013966945628,4.25838251174828,0.25159703378844067,14.881842924519812,17.304611004625148,1.927754503870425,0.0051628232261063806,0.01311997288623491,42,258,0.86,6,0,5be70daae24fdc819193c25b452226235fbaf9c3febc8b508b1076d6fb07b06e,phase7_Greedy_corridor_2400m_w30_seed45,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_45.json,f820ccdf1f56a15863c501f5ef482e73f19d133834f3c2390c7641fc1e03155a,4e25265
wo_md,corridor_2400m,30,45,300,292,8,0.9733333333333334,1.975300350364665,1.4980406649836675,1.5806598454518095,0.2841609434732867,5.479269589063732,6.299452226993693,6.929534987704571,7.075794401432791,4.79450103760081,0.19735739033117097,14.315268864012932,16.348687387970745,1.9247264480116246,0.005372341227486402,0.04520156112555378,0,300,1.0,8,0,99955cb060186871b74d4fe9ef4c7bad2e0e303410719c23f74fa4a50d20315e,phase7_wo_md_corridor_2400m_w30_seed45,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w30_seed45\checkpoint.pt,642fccc6c78fad9b1d23617aae930879f52f8dab266bea6f2991dbc327f847be,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_45.json,f820ccdf1f56a15863c501f5ef482e73f19d133834f3c2390c7641fc1e03155a,4e25265
wo_tp,corridor_2400m,30,45,300,292,8,0.9733333333333334,1.975300350364665,1.4980406649836675,1.5806598454518095,0.2841609434732867,5.479269589063732,6.299452226993693,6.929534987704571,7.075794401432791,4.79450103760081,0.19735739033117097,14.315268864012932,16.348687387970745,1.9247264480116246,0.005372341227486402,0.04520156112555378,0,300,1.0,8,0,99955cb060186871b74d4fe9ef4c7bad2e0e303410719c23f74fa4a50d20315e,phase7_wo_tp_corridor_2400m_w30_seed45,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w30_seed45\checkpoint.pt,642fccc6c78fad9b1d23617aae930879f52f8dab266bea6f2991dbc327f847be,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_45.json,f820ccdf1f56a15863c501f5ef482e73f19d133834f3c2390c7641fc1e03155a,4e25265
wo_co,corridor_2400m,30,45,300,295,5,0.9833333333333333,1.9455422408833756,1.4792313781199382,1.5654798931793958,0.23303119925487184,5.391593781835175,6.150957669070944,0.30434942490919376,0.3037518734836031,0.13695425089513089,0.09552784721717343,0.5054190417310099,0.5373758586461652,1.8584745923836712,0.005715293579707141,0.08135235491999747,300,0,0.0,5,0,8581d8ffc2a3644152b81868cdacc2ce1429fecb2659e34de74946ad8b28d730,phase7_wo_co_corridor_2400m_w30_seed45,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_45.json,f820ccdf1f56a15863c501f5ef482e73f19d133834f3c2390c7641fc1e03155a,4e25265
CoTOP,corridor_2400m,30,46,300,292,8,0.9733333333333334,2.0262660505698795,1.641372978958803,1.5431613119012653,0.1864433177828399,5.538456827416166,6.206164562597998,1.3637807308404621,0.34172380656307666,3.0004089966948757,0.10669718910521127,7.8996887881770395,16.3822395807848,1.9623678335312555,0.0053951177614220275,0.058503099277201896,248,52,0.17333333333333334,8,0,ced026574ef861f261a403b9e0a7300a843a4c340bf2b9e359f3e770ce6134af,phase7_CoTOP_corridor_2400m_w30_seed46,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w30_seed46\checkpoint.pt,f2c6c07da7dba8ff90ac812e05ca21653a06c523df8464aab49e0b26b8dac843,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_46.json,86136e88345f1c18a29118b9ca8bfc848f0f984edc9fb5f2b303b7f02d3acb71,4e25265
DDQN,corridor_2400m,30,46,300,292,8,0.9733333333333334,2.036259394013579,1.6512698306602158,1.546494438843699,0.18255058533860063,5.525770492233764,6.299932220319286,5.006951413764622,4.830315782939778,4.3718799874497885,0.13912727316473048,12.831187276432242,16.182624969215418,1.9987995403604972,0.00513648420276618,0.032323369450315574,88,212,0.7066666666666667,8,0,99298a55892514749a3f88e1df5ac9402e27d25288e7aa08d50e90726785aabd,phase7_DDQN_corridor_2400m_w30_seed46,D:\cotop-implementation\results\phase2_multiseed\DDQN\corridor_2400m_w30_seed46\checkpoint.pt,774b2f7786b69fbd79a07e78d881ea7b9a6d17144342c8f827963353d6711a43,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_46.json,86136e88345f1c18a29118b9ca8bfc848f0f984edc9fb5f2b303b7f02d3acb71,4e25265
Local,corridor_2400m,30,46,300,292,8,0.9733333333333334,2.0354051970125946,1.660394340200831,1.5380092938629855,0.1953751416402651,5.4573467592271445,6.22088431985857,0.2934423902432155,0.28665775430558194,0.1359262795420784,0.1006538127666434,0.4976728798112855,0.5276638228632367,1.9516644501252831,0.005478514914839254,0.07826223197247234,300,0,0.0,8,0,8581d8ffc2a3644152b81868cdacc2ce1429fecb2659e34de74946ad8b28d730,phase7_Local_corridor_2400m_w30_seed46,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_46.json,86136e88345f1c18a29118b9ca8bfc848f0f984edc9fb5f2b303b7f02d3acb71,4e25265
Greedy,corridor_2400m,30,46,300,290,10,0.9666666666666667,2.043694978472746,1.6701523881873137,1.5452614784205811,0.21307084155520323,5.598346972895175,6.319172692452808,7.4864304339481,7.357523676146632,4.179771797787559,0.2656534543227487,14.415508855484504,17.076782031142955,2.023594330562332,0.0049795010042554535,0.015121146906158263,34,266,0.8866666666666667,10,0,9faa13f392b57b989b862973ff143809b4aa8c0b922c2258d5e32816a2e3bbf9,phase7_Greedy_corridor_2400m_w30_seed46,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_46.json,86136e88345f1c18a29118b9ca8bfc848f0f984edc9fb5f2b303b7f02d3acb71,4e25265
wo_md,corridor_2400m,30,46,300,292,8,0.9733333333333334,2.0262660505698795,1.641372978958803,1.5431613119012653,0.1864433177828399,5.538456827416166,6.206164562597998,1.3637807308404621,0.34172380656307666,3.0004089966948757,0.10669718910521127,7.8996887881770395,16.3822395807848,1.9623678335312555,0.0053951177614220275,0.058503099277201896,248,52,0.17333333333333334,8,0,ced026574ef861f261a403b9e0a7300a843a4c340bf2b9e359f3e770ce6134af,phase7_wo_md_corridor_2400m_w30_seed46,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w30_seed46\checkpoint.pt,f2c6c07da7dba8ff90ac812e05ca21653a06c523df8464aab49e0b26b8dac843,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_46.json,86136e88345f1c18a29118b9ca8bfc848f0f984edc9fb5f2b303b7f02d3acb71,4e25265
wo_tp,corridor_2400m,30,46,300,292,8,0.9733333333333334,2.0262660505698795,1.641372978958803,1.5431613119012653,0.1864433177828399,5.538456827416166,6.206164562597998,1.3637807308404621,0.34172380656307666,3.0004089966948757,0.10669718910521127,7.8996887881770395,16.3822395807848,1.9623678335312555,0.0053951177614220275,0.058503099277201896,248,52,0.17333333333333334,8,0,ced026574ef861f261a403b9e0a7300a843a4c340bf2b9e359f3e770ce6134af,phase7_wo_tp_corridor_2400m_w30_seed46,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w30_seed46\checkpoint.pt,f2c6c07da7dba8ff90ac812e05ca21653a06c523df8464aab49e0b26b8dac843,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_46.json,86136e88345f1c18a29118b9ca8bfc848f0f984edc9fb5f2b303b7f02d3acb71,4e25265
wo_co,corridor_2400m,30,46,300,292,8,0.9733333333333334,2.0354051970125946,1.660394340200831,1.5380092938629855,0.1953751416402651,5.4573467592271445,6.22088431985857,0.2934423902432155,0.28665775430558194,0.1359262795420784,0.1006538127666434,0.4976728798112855,0.5276638228632367,1.9516644501252831,0.005478514914839254,0.07826223197247234,300,0,0.0,8,0,8581d8ffc2a3644152b81868cdacc2ce1429fecb2659e34de74946ad8b28d730,phase7_wo_co_corridor_2400m_w30_seed46,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_46.json,86136e88345f1c18a29118b9ca8bfc848f0f984edc9fb5f2b303b7f02d3acb71,4e25265
CoTOP,corridor_2400m,30,47,300,296,4,0.9866666666666667,1.9819069342928772,1.6301787616563073,1.5069620878852508,0.29655660858967536,5.00251359590778,6.268351925699261,7.866236322779025,7.895598593022887,2.5952375963381584,3.5185857354229024,12.367348034144637,13.309882288586826,1.9036919368781424,0.005028471855162899,0.07318652555957206,0,300,1.0,4,0,b59c48faaf393cec11873716262fc76ef80df159c12ed0ae999a026597f00f3e,phase7_CoTOP_corridor_2400m_w30_seed47,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w30_seed42\checkpoint.pt,8d0f02a05ab93f5ad715fa211479543ca400c14d4f4a0b8aa6d6fb4a88349417,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_seed47.json,624cc23feef90e3f271228ceff8c0e8836438c34b191dc57eaf905ca503988aa,4e25265
DDQN,corridor_2400m,30,47,300,296,4,0.9866666666666667,1.9067256252078963,1.5196789594684317,1.5332772200496987,0.19202079122312535,4.985491767370884,6.210892891278132,3.444711108845813,0.4413516749925847,4.768930634719306,0.10035940864170968,13.961812507509162,16.867115870389203,1.8594766847388102,0.0054148568909405835,0.04183408357814536,135,165,0.55,4,0,66baa29a3bb677cffbbf7f839ccc1cc8f95834a3b8dc427724ae84575b001ae7,phase7_DDQN_corridor_2400m_w30_seed47,D:\cotop-implementation\results\phase2_multiseed\DDQN\corridor_2400m_w30_seed42\checkpoint.pt,81e4754965ddc355df96e0be68e1bef03c5e9b4342b5be6a4267115f337f1ee9,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_seed47.json,624cc23feef90e3f271228ceff8c0e8836438c34b191dc57eaf905ca503988aa,4e25265
Local,corridor_2400m,30,47,300,297,3,0.99,1.9157951387005505,1.5503907159923678,1.51969602202588,0.20210686589110277,4.988909597659024,6.21706126222527,0.29919827031217605,0.30327886577993723,0.13504079596860644,0.08694501202248114,0.5056372871672732,0.538158127498182,1.8280215563534739,0.005618361094972828,0.0821552212521035,300,0,0.0,3,0,8581d8ffc2a3644152b81868cdacc2ce1429fecb2659e34de74946ad8b28d730,phase7_Local_corridor_2400m_w30_seed47,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_seed47.json,624cc23feef90e3f271228ceff8c0e8836438c34b191dc57eaf905ca503988aa,4e25265
Greedy,corridor_2400m,30,47,300,296,4,0.9866666666666667,1.91085606982682,1.56284336051944,1.524679436647405,0.24085694319725434,4.97091815916788,6.25833474933578,7.083536957047493,6.989495278407427,4.2009285276512935,0.2809267796464312,14.510423609683821,16.995288079911525,1.895864943220827,0.005050336682836481,0.009940789923156324,42,258,0.86,4,0,50ba3d6f8c14be30f88008691de273ec5d025009f0aab20c4da1d307c1b09084,phase7_Greedy_corridor_2400m_w30_seed47,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_seed47.json,624cc23feef90e3f271228ceff8c0e8836438c34b191dc57eaf905ca503988aa,4e25265
wo_md,corridor_2400m,30,47,300,296,4,0.9866666666666667,1.9819069342928772,1.6301787616563073,1.5069620878852508,0.29655660858967536,5.00251359590778,6.268351925699261,7.866236322779025,7.895598593022887,2.5952375963381584,3.5185857354229024,12.367348034144637,13.309882288586826,1.9036919368781424,0.005028471855162899,0.07318652555957206,0,300,1.0,4,0,b59c48faaf393cec11873716262fc76ef80df159c12ed0ae999a026597f00f3e,phase7_wo_md_corridor_2400m_w30_seed47,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w30_seed42\checkpoint.pt,8d0f02a05ab93f5ad715fa211479543ca400c14d4f4a0b8aa6d6fb4a88349417,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_seed47.json,624cc23feef90e3f271228ceff8c0e8836438c34b191dc57eaf905ca503988aa,4e25265
wo_tp,corridor_2400m,30,47,300,296,4,0.9866666666666667,1.9819069342928772,1.6301787616563073,1.5069620878852508,0.29655660858967536,5.00251359590778,6.268351925699261,7.866236322779025,7.895598593022887,2.5952375963381584,3.5185857354229024,12.367348034144637,13.309882288586826,1.9036919368781424,0.005028471855162899,0.07318652555957206,0,300,1.0,4,0,b59c48faaf393cec11873716262fc76ef80df159c12ed0ae999a026597f00f3e,phase7_wo_tp_corridor_2400m_w30_seed47,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w30_seed42\checkpoint.pt,8d0f02a05ab93f5ad715fa211479543ca400c14d4f4a0b8aa6d6fb4a88349417,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_seed47.json,624cc23feef90e3f271228ceff8c0e8836438c34b191dc57eaf905ca503988aa,4e25265
wo_co,corridor_2400m,30,47,300,297,3,0.99,1.9157951387005505,1.5503907159923678,1.51969602202588,0.20210686589110277,4.988909597659024,6.21706126222527,0.29919827031217605,0.30327886577993723,0.13504079596860644,0.08694501202248114,0.5056372871672732,0.538158127498182,1.8280215563534739,0.005618361094972828,0.0821552212521035,300,0,0.0,3,0,8581d8ffc2a3644152b81868cdacc2ce1429fecb2659e34de74946ad8b28d730,phase7_wo_co_corridor_2400m_w30_seed47,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_seed47.json,624cc23feef90e3f271228ceff8c0e8836438c34b191dc57eaf905ca503988aa,4e25265
CoTOP,corridor_2400m,30,48,300,295,5,0.9833333333333333,2.074755926133867,1.7606839044855749,1.491958924867788,0.3141938526542742,5.275798584148887,6.325997794755504,8.06113150855573,7.929472869187671,2.697773772710458,3.49964875719944,12.418101181770215,13.45410409055135,1.9912793666236235,0.005236565225895308,0.07823999428434832,0,300,1.0,5,0,b59c48faaf393cec11873716262fc76ef80df159c12ed0ae999a026597f00f3e,phase7_CoTOP_corridor_2400m_w30_seed48,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w30_seed42\checkpoint.pt,8d0f02a05ab93f5ad715fa211479543ca400c14d4f4a0b8aa6d6fb4a88349417,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_seed48.json,fa306d0184da1ab0e8a7e0dec852c43be28871954050c4ca57c88d780dfea564,4e25265
DDQN,corridor_2400m,30,48,300,295,5,0.9833333333333333,1.9925207851184177,1.665699902769349,1.5166113778783699,0.21148672096467258,5.230093836782857,6.328670823655201,3.6740529589336006,0.4466510525766198,4.702452946938744,0.10065382116632164,12.55683531274018,17.146495820681306,1.947408581127402,0.0056268014613557885,0.03948540252965986,125,175,0.5833333333333334,5,0,1fe79c7f9d742a3dab005b8435d867dc360bfcfe2c435bfa8a2d1258f637739a,phase7_DDQN_corridor_2400m_w30_seed48,D:\cotop-implementation\results\phase2_multiseed\DDQN\corridor_2400m_w30_seed42\checkpoint.pt,81e4754965ddc355df96e0be68e1bef03c5e9b4342b5be6a4267115f337f1ee9,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_seed48.json,fa306d0184da1ab0e8a7e0dec852c43be28871954050c4ca57c88d780dfea564,4e25265
Local,corridor_2400m,30,48,300,295,5,0.9833333333333333,2.0060051446483156,1.6848821822075537,1.5035395006145993,0.2209968889112083,5.199132395317298,6.21676705688891,0.30931695931304526,0.3167219777707936,0.13313434012502148,0.09538212704834306,0.502363343599791,0.5582210030044213,1.9137612211311967,0.005803586942034667,0.08644033657508458,300,0,0.0,5,0,8581d8ffc2a3644152b81868cdacc2ce1429fecb2659e34de74946ad8b28d730,phase7_Local_corridor_2400m_w30_seed48,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_seed48.json,fa306d0184da1ab0e8a7e0dec852c43be28871954050c4ca57c88d780dfea564,4e25265
Greedy,corridor_2400m,30,48,300,295,5,0.9833333333333333,1.995539381478377,1.7064689886473028,1.511292173492517,0.21565750352233937,5.200396718798991,6.32923133824127,6.894913203756009,6.9342116484000424,4.312133739290587,0.15882641741232115,14.28929533194945,17.174707378287597,1.9796171835756262,0.005257656172061679,0.010664541730689097,49,251,0.8366666666666667,5,0,b1d49cb74e28be93e84ab500a4e7f8fe19799719dfc18827fbbc483fb651326c,phase7_Greedy_corridor_2400m_w30_seed48,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_seed48.json,fa306d0184da1ab0e8a7e0dec852c43be28871954050c4ca57c88d780dfea564,4e25265
wo_md,corridor_2400m,30,48,300,295,5,0.9833333333333333,2.074755926133867,1.7606839044855749,1.491958924867788,0.3141938526542742,5.275798584148887,6.325997794755504,8.06113150855573,7.929472869187671,2.697773772710458,3.49964875719944,12.418101181770215,13.45410409055135,1.9912793666236235,0.005236565225895308,0.07823999428434832,0,300,1.0,5,0,b59c48faaf393cec11873716262fc76ef80df159c12ed0ae999a026597f00f3e,phase7_wo_md_corridor_2400m_w30_seed48,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w30_seed42\checkpoint.pt,8d0f02a05ab93f5ad715fa211479543ca400c14d4f4a0b8aa6d6fb4a88349417,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_seed48.json,fa306d0184da1ab0e8a7e0dec852c43be28871954050c4ca57c88d780dfea564,4e25265
wo_tp,corridor_2400m,30,48,300,295,5,0.9833333333333333,2.074755926133867,1.7606839044855749,1.491958924867788,0.3141938526542742,5.275798584148887,6.325997794755504,8.06113150855573,7.929472869187671,2.697773772710458,3.49964875719944,12.418101181770215,13.45410409055135,1.9912793666236235,0.005236565225895308,0.07823999428434832,0,300,1.0,5,0,b59c48faaf393cec11873716262fc76ef80df159c12ed0ae999a026597f00f3e,phase7_wo_tp_corridor_2400m_w30_seed48,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w30_seed42\checkpoint.pt,8d0f02a05ab93f5ad715fa211479543ca400c14d4f4a0b8aa6d6fb4a88349417,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_seed48.json,fa306d0184da1ab0e8a7e0dec852c43be28871954050c4ca57c88d780dfea564,4e25265
wo_co,corridor_2400m,30,48,300,295,5,0.9833333333333333,2.0060051446483156,1.6848821822075537,1.5035395006145993,0.2209968889112083,5.199132395317298,6.21676705688891,0.30931695931304526,0.3167219777707936,0.13313434012502148,0.09538212704834306,0.502363343599791,0.5582210030044213,1.9137612211311967,0.005803586942034667,0.08644033657508458,300,0,0.0,5,0,8581d8ffc2a3644152b81868cdacc2ce1429fecb2659e34de74946ad8b28d730,phase7_wo_co_corridor_2400m_w30_seed48,NOT_APPLICABLE,NOT_APPLICABLE,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_seed48.json,fa306d0184da1ab0e8a7e0dec852c43be28871954050c4ca57c88d780dfea564,4e25265
CoTOP,corridor_2400m,30,49,300,297,3,0.99,1.989729506005309,1.524144697112205,1.5229004801388741,0.3840462440290077,5.155561156654182,6.274050634340083,7.7138863314754555,7.556773132058421,2.535201752842119,3.930020222473278,11.945631718132775,13.440426207156316,1.8976922488457761,0.0049131967216490624,0.08712406043788387,1,299,0.9966666666666667,3,0,47131f334804d38147521583587df545f5733362039d706558f3946b5a86d4ff,phase7_CoTOP_corridor_2400m_w30_seed49,D:\cotop-implementation\results\phase2_multiseed\CoTOP\corridor_2400m_w30_seed42\checkpoint.pt,8d0f02a05ab93f5ad715fa211479543ca400c14d4f4a0b8aa6d6fb4a88349417,D:\cotop-implementation\data\evaluation_realizations\realization_corridor_2400m_w30_seed49.json,1e4923ce97c5e3104e6efb9d7711ffd828a6f726b25a2273cbb2ad869db6fd22,4e25265
