Comparison,Metric,N (Paired Units),N (Independent Seeds),Mean Difference,Std of Difference,Standard Error (SEM),Degrees of Freedom,Paired t-statistic,Raw p-value,Holm-Bonferroni Adjusted p-value,Benjamini-Hochberg FDR p-value,Paired Cohen d_z,Common Language Effect Size (CLES),95% CI of Difference,Statistical Conclusion
CoTOP vs Local (Episode-level),Total Delay (s),250,5,-0.0232,0.33,0.0209,249,-1.1121,0.2672,0.5344,0.3562,-0.0703,53.20%,"[-0.0643, +0.0179]",No statistically significant difference detected (p = 0.2672 > 0.05). Both execute optimal Standalone offloading in clean channel.
CoTOP vs Local (Seed-level hierarchical),Total Delay (s),5,5,-0.0232,0.0647,0.0289,4,-0.8018,0.4676,0.4676,0.4676,-0.3586,80.00%,"[-0.1036, +0.0572]",No statistically significant difference detected at seed level (p = 0.4676 > 0.05).
CoTOP vs Greedy (Episode-level),Total Energy (J),250,5,-4.206,0.2764,0.0175,249,-240.576,1e-140,< 1e-4,< 1e-4,-15.2154,100.00%,"[-4.2405, -4.1716]","Massive, statistically significant 92.95% energy reduction (p < 1e-4). Avoids 100W R2R relay power."
