run_id,algorithm,scenario,workload,seed,status,realization_sha256,checkpoint_sha256,git_sha,tasks_generated,tasks_completed,tasks_failed,completion_ratio,mean_delay_s,std_delay_s,mean_energy_j,std_energy_j,comm_delay_s,comp_delay_s,wait_delay_s,comm_energy_j,comp_energy_j,local_energy_j,r2r_energy_j,total_reward,fail_deadlines,fail_coverages,fail_duals,fail_departures,param_immutable
corridor_2400m_Greedy_w20_seed44,Greedy,corridor_2400m,w20,44,COMPLETED,805b00e6ec8c010f4a340d5e45c5cce35fc48264d889b507bc198891b5bf460f,,441296f18f1eddf09c399ac1840827d5a48b034d,200,198,2,0.99,1.979584913868224,1.5043875650815353,7.095644216818511,4.077755081902075,1.966260900117668,0.0047224598626177,0.0086015538879376,2.85728868775093,2.826839086113289,0.0380620020470509,1.411516442954292,-1087.6779924984828,0,2,0,0,True
corridor_2400m_Local_w20_seed44,Local,corridor_2400m,w20,44,COMPLETED,805b00e6ec8c010f4a340d5e45c5cce35fc48264d889b507bc198891b5bf460f,,441296f18f1eddf09c399ac1840827d5a48b034d,200,198,2,0.99,1.9523747220594847,1.4995347769921872,0.2793208771009959,0.1329506086037636,1.8980976667204923,0.0052067980086758,0.0490702573303162,0.2513887893908963,0.0279320877100996,0.2793208771009959,0.0,-417.00316434646055,0,2,0,0,True
corridor_2400m_CoTOP_w20_seed45,CoTOP,corridor_2400m,w20,45,COMPLETED,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,,441296f18f1eddf09c399ac1840827d5a48b034d,200,195,5,0.975,1.9634501201343493,1.5568039857415932,7.21212839454542,3.980476590720736,1.9279400231317905,0.0054312976053231,0.0300787993972359,2.8848513578181683,2.8848513578181683,0.0,1.442425678909084,-1370.6833749322773,0,5,0,0,True
corridor_2400m_DDQN_w20_seed45,DDQN,corridor_2400m,w20,45,COMPLETED,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,f176c0ff7ee00bcef65f53d1676e94ee7e2a7701fe11d01c16252d5655b11c6b,441296f18f1eddf09c399ac1840827d5a48b034d,200,197,3,0.985,1.9196450711606543,1.551706896868902,0.3917857455477632,1.1563708446297998,1.8597365966418136,0.0058229312839836,0.0540855432348571,0.2483608262988856,0.101726381371237,0.1832930561595607,0.0416985378776405,-513.4105781359284,0,3,0,0,True
corridor_2400m_Greedy_w20_seed45,Greedy,corridor_2400m,w20,45,COMPLETED,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,,441296f18f1eddf09c399ac1840827d5a48b034d,200,195,5,0.975,1.936711238736456,1.5556676315173517,6.817272554475994,4.558646295546823,1.923991464731096,0.005284814553739,0.0074349594516207,2.749979912646275,2.7130664872768726,0.0461417817117531,1.3542261545528484,-1330.4373040690582,0,5,0,0,True
corridor_2400m_Local_w20_seed45,Local,corridor_2400m,w20,45,COMPLETED,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,,441296f18f1eddf09c399ac1840827d5a48b034d,200,197,3,0.985,1.918816263813968,1.5499149738738756,0.3097357251635624,0.1351121996727163,1.858916096437972,0.0058229312839836,0.0540772360920122,0.2787621526472062,0.0309735725163562,0.3097357251635624,0.0,-513.4080859930748,0,3,0,0,True
corridor_2400m_CoTOP_w20_seed46,CoTOP,corridor_2400m,w20,46,COMPLETED,04ef7c838e8795c5894976cdfac799704524a1893e32ae121dae50ab5b3d7343,,441296f18f1eddf09c399ac1840827d5a48b034d,200,195,5,0.975,2.0033232102668457,1.5883399074659927,0.97902628518066,2.1202968763480854,1.956573458177678,0.0054364302950497,0.0413133217941182,0.5233129242023915,0.3125890679941875,0.2634048202602549,0.143124292984081,-782.5627514125423,0,5,0,0,True
corridor_2400m_DDQN_w20_seed46,DDQN,corridor_2400m,w20,46,COMPLETED,04ef7c838e8795c5894976cdfac799704524a1893e32ae121dae50ab5b3d7343,8597ebddba8abbdac22b529d924d9eb734f59acde10870b8f33ba523c4f05728,441296f18f1eddf09c399ac1840827d5a48b034d,200,196,4,0.98,2.007772172655569,1.5920883157302796,0.6366216044294658,2.161502205083212,1.953149411370166,0.0055133996726872,0.0491093616127156,0.3467628298356258,0.1993801289334826,0.1842283761276789,0.0904786456603573,-622.7381709837745,0,4,0,0,True
corridor_2400m_Greedy_w20_seed46,Greedy,corridor_2400m,w20,46,COMPLETED,04ef7c838e8795c5894976cdfac799704524a1893e32ae121dae50ab5b3d7343,,441296f18f1eddf09c399ac1840827d5a48b034d,200,195,5,0.975,2.033224125426783,1.5898523494828258,7.238843651456364,4.390052321220262,2.0191716318404347,0.0050092309846934,0.0090432626016543,2.9169065529305853,2.8827160051737213,0.0427381846960793,1.4392210933520568,-1386.733386168425,0,5,0,0,True
corridor_2400m_Local_w20_seed46,Local,corridor_2400m,w20,46,COMPLETED,04ef7c838e8795c5894976cdfac799704524a1893e32ae121dae50ab5b3d7343,,441296f18f1eddf09c399ac1840827d5a48b034d,200,195,5,0.975,2.0066860568603,1.5875317390438433,0.2951673323208539,0.1391951977157963,1.94973486864908,0.0055133996726872,0.051437788538533,0.2656505990887685,0.0295167332320853,0.2951673323208539,0.0,-714.5131407859071,0,5,0,0,True
