episode,reward,loss,mean_q,epsilon,buffer_size
1,-1284.8047478925232,700.5451716959042,-169.39497547745705,0.99525,200
2,-1156.0046581751003,157.31438945770265,-483.7197239952348,0.9905,400
3,-1154.7718328715619,80.40035001754761,-264.43562896847726,0.98575,600
4,-1269.701147273628,61.67290054321289,-90.5124733005464,0.981,800
5,-1281.987936852469,44.466557331085205,17.962669479772448,0.97625,1000
6,-1257.3687302914445,37.94500974655151,86.72415231913328,0.9715,1200
7,-1305.20588567942,35.250337772369384,144.18770742118357,0.96675,1400
8,-1311.3855132148678,32.03581373214722,179.6485570076108,0.962,1600
9,-1235.0664825210583,31.538765048980714,215.28026356458665,0.95725,1800
10,-1293.3494509601353,30.537143621444702,240.77884460449218,0.9525,2000
11,-1234.786651072823,29.389076557159424,255.1353325653076,0.94775,2200
12,-1053.6397782387255,24.848419218063356,264.2657213973999,0.9430000000000001,2400
13,-1166.9450948564029,26.283986711502074,276.0030811214447,0.93825,2600
14,-1294.0537141588165,25.08617604255676,278.289668674469,0.9335,2800
15,-1174.7246790741794,22.84017837047577,290.7984844970703,0.92875,3000
16,-1120.9492347500618,23.167005076408387,298.81828254699707,0.924,3200
17,-1187.2988321931766,21.19294969558716,308.519394607544,0.91925,3400
18,-1301.4897312842816,21.29133340358734,303.8260750579834,0.9145,3600
19,-1081.3985162011043,21.28302294254303,306.49263595581056,0.9097500000000001,3800
20,-1248.4594257456479,21.648580222129823,300.8992658996582,0.905,4000
21,-1278.8538294977009,20.78433060646057,293.64247802734377,0.90025,4200
22,-1179.0015522002209,18.820285987854003,287.63257957458495,0.8955,4400
23,-1150.0043746491137,16.558273797035216,279.7794784927368,0.89075,4600
24,-998.8423858295369,15.424003491401672,272.01568088531496,0.886,4800
25,-1217.5572512357244,14.841805119514465,268.99701557159426,0.88125,5000
26,-1205.5991691457573,14.22404604434967,265.28008907318116,0.8765000000000001,5200
27,-1155.8461873846952,13.420631816387177,259.3931017303467,0.87175,5400
