realization_id,scenario,workload,seed,realization_path,realization_sha256,total_tasks,status
realization_corridor_2400m_w40_seed47,corridor_2400m,w40,47,data\evaluation_realizations\realization_corridor_2400m_w40_seed47.json,967648a3fb5bf636c0093510403e864b6663cc6db80a43fa90723c304628767e,400,VALID
realization_corridor_2400m_w40_seed48,corridor_2400m,w40,48,data\evaluation_realizations\realization_corridor_2400m_w40_seed48.json,a6933bd6f3309c7ed62f584457a1de5b65e379254ac6143044d4fa7d135ec10a,400,VALID
realization_corridor_2400m_w40_seed49,corridor_2400m,w40,49,data\evaluation_realizations\realization_corridor_2400m_w40_seed49.json,9634e76dad4b7fc48f38a0e7d0f7ee5d773c5243b65239d2c7e85b90e554aeff,400,VALID
realization_corridor_2400m_w40_seed50,corridor_2400m,w40,50,data\evaluation_realizations\realization_corridor_2400m_w40_seed50.json,b8ecfcaeb468102fb2cc739833eb741fa1706415f03d21b801f9ba2688b5f610,400,VALID
realization_corridor_2400m_w40_seed51,corridor_2400m,w40,51,data\evaluation_realizations\realization_corridor_2400m_w40_seed51.json,5823d1befd07544b1f9a7a641868dbd5615e02b5ec94aed7d6c2a3051d70b654,400,VALID
realization_grid_200m_w20_seed42,grid_200m,w20,42,data\evaluation_realizations\realization_grid_200m_w20_42.json,a8da4ce99a3ed874a8d14eb6f334632103224883a7704a2117534e8ca858cdfa,200,VALID
realization_grid_200m_w20_seed43,grid_200m,w20,43,data\evaluation_realizations\realization_grid_200m_w20_43.json,e31eb04b48a7312bb56f210f70415d62b484795687d109427d9ed1363903bcb7,200,VALID
realization_grid_200m_w20_seed44,grid_200m,w20,44,data\evaluation_realizations\realization_grid_200m_w20_44.json,e024511ac1d2a4933a9b6fb14e0e68102efbc6764454fbdd2bb4387172fb61dd,200,VALID
realization_grid_200m_w20_seed45,grid_200m,w20,45,data\evaluation_realizations\realization_grid_200m_w20_45.json,8fae691a7d4403db2c85398ce8793fd241bdbb8a02187e631badad45e28e64bc,200,VALID
realization_grid_200m_w20_seed46,grid_200m,w20,46,data\evaluation_realizations\realization_grid_200m_w20_46.json,aa472acef9b1e2caa6ea22899fbbc437d529a36e00b6a85dc0bf0b1af017afa4,200,VALID
realization_grid_200m_w20_seed47,grid_200m,w20,47,data\evaluation_realizations\realization_grid_200m_w20_seed47.json,3cdf11673187d597401c2fc022de6cdf5ba2561f6bc1524c09d3145428f85316,200,VALID
realization_grid_200m_w20_seed48,grid_200m,w20,48,data\evaluation_realizations\realization_grid_200m_w20_seed48.json,0bbff03f9f099996a15d5bd6d70141233161de94f38c091dc803af7eac602329,200,VALID
realization_grid_200m_w20_seed49,grid_200m,w20,49,data\evaluation_realizations\realization_grid_200m_w20_seed49.json,6a64639e21d4f3e76a60915870be61ee5bafbd2cd434df11e18d032c140415eb,200,VALID
realization_grid_200m_w20_seed50,grid_200m,w20,50,data\evaluation_realizations\realization_grid_200m_w20_seed50.json,12fbb46a3d4dad38c2a44530a1a2cc0171fb051d6ec4ef6c7519ad2c59ab82cc,200,VALID
