run_id,algorithm,scenario,workload,seed,status,realization_sha256,checkpoint_sha256,git_sha,tasks_generated,tasks_completed,tasks_failed,completion_ratio,mean_delay_s,std_delay_s,mean_energy_j,std_energy_j,comm_delay_s,comp_delay_s,wait_delay_s,comm_energy_j,comp_energy_j,local_energy_j,r2r_energy_j,total_reward,fail_deadlines,fail_coverages,fail_duals,fail_departures,param_immutable
corridor_2400m_CoTOP_w20_seed42,CoTOP,corridor_2400m,w20,42,COMPLETED,f06fda410fdea551aae2cc024389d8de42630a73f2d504a19ec1fb4b747224a6,N/A,441296f18f1eddf09c399ac1840827d5a48b034d,200,193,7,0.965,2.0739186676163177,1.6259602071781107,4.204020742970283,5.6567801194085465,2.023243285214282,0.005525520079639932,0.04514986232239623,1.6816082971881137,1.6816082971881137,0.0,0.8408041485940568,-1248.5872942564054,0,7,0,0,True
corridor_2400m_DDQN_w20_seed42,DDQN,corridor_2400m,w20,42,COMPLETED,f06fda410fdea551aae2cc024389d8de42630a73f2d504a19ec1fb4b747224a6,de20ba23342bb0ae73c8d3f178fd38b46f4b14e100371a0925090f674a656827,441296f18f1eddf09c399ac1840827d5a48b034d,200,193,7,0.965,2.067412322037985,1.5967165918143997,6.754210396144597,4.495989105998534,2.0487451817460247,0.005239927184714474,0.013427213107246008,2.716917974561817,2.692543868795452,0.030467632207955696,1.3447485527873284,-1533.8413522386797,0,7,0,0,True
corridor_2400m_Greedy_w20_seed42,Greedy,corridor_2400m,w20,42,COMPLETED,f06fda410fdea551aae2cc024389d8de42630a73f2d504a19ec1fb4b747224a6,N/A,441296f18f1eddf09c399ac1840827d5a48b034d,200,193,7,0.965,2.0639223869258982,1.6021033393181292,7.219614589600078,4.246780889457983,2.0533992236805796,0.005077889436744444,0.005445273808574382,2.9094220852795956,2.874900086176293,0.043152498879128955,1.4352924181441897,-1570.1725422575541,0,7,0,0,True
corridor_2400m_Local_w20_seed42,Local,corridor_2400m,w20,42,COMPLETED,f06fda410fdea551aae2cc024389d8de42630a73f2d504a19ec1fb4b747224a6,N/A,441296f18f1eddf09c399ac1840827d5a48b034d,200,193,7,0.965,2.04136596953117,1.6007613612684821,0.3000039329119527,0.13085438818998724,1.9842031171136982,0.005603238034816316,0.05155961438265527,0.27000353962075746,0.030000393291195273,0.3000039329119527,0.0,-911.9519707449458,0,7,0,0,True
corridor_2400m_CoTOP_w20_seed43,CoTOP,corridor_2400m,w20,43,COMPLETED,52a594aa777255afb0bda1c2b2373e272cbf926223556329585fd800730c4604,N/A,441296f18f1eddf09c399ac1840827d5a48b034d,200,196,4,0.98,2.0483372359509393,1.5357727565410562,4.487671864827666,5.404077141819798,1.9880795055063043,0.005156719127863784,0.05510101131677107,1.7999954601603279,1.7921127173935103,0.009853428458521931,0.8955636872738291,-1009.1714545924098,0,4,0,0,True
corridor_2400m_DDQN_w20_seed43,DDQN,corridor_2400m,w20,43,COMPLETED,52a594aa777255afb0bda1c2b2373e272cbf926223556329585fd800730c4604,72d303cc45b87f6f977aaefe0ce39f7ea88480788659d53d8c4e79d0fe715f81,441296f18f1eddf09c399ac1840827d5a48b034d,200,197,3,0.985,2.0150287015993347,1.521538352365241,0.5004116758119302,1.7381496063880895,1.9482069036161471,0.005365202370364963,0.06145659561282285,0.3022774925671707,0.13889697697933298,0.2042256444847971,0.05923720626542663,-520.7522579591515,0,3,0,0,True
corridor_2400m_Greedy_w20_seed43,Greedy,corridor_2400m,w20,43,COMPLETED,52a594aa777255afb0bda1c2b2373e272cbf926223556329585fd800730c4604,N/A,441296f18f1eddf09c399ac1840827d5a48b034d,200,196,4,0.98,2.027646799359078,1.522543061182025,6.972160994082484,4.0232972964019025,2.012924396798853,0.004542068131136639,0.010180334429088438,2.803364405936635,2.780164392650809,0.029000016607283,1.38863219549504,-1261.2636810156353,0,4,0,0,True
corridor_2400m_Local_w20_seed43,Local,corridor_2400m,w20,43,COMPLETED,52a594aa777255afb0bda1c2b2373e272cbf926223556329585fd800730c4604,N/A,441296f18f1eddf09c399ac1840827d5a48b034d,200,197,3,0.985,2.0142848110771028,1.5179204708260896,0.28772091847867637,0.12512268667482823,1.9460799960428148,0.005365202370364963,0.06283961266392332,0.2589488266308087,0.028772091847867637,0.28772091847867637,0.0,-520.86977790039,0,3,0,0,True
corridor_2400m_CoTOP_w20_seed44,CoTOP,corridor_2400m,w20,44,COMPLETED,805b00e6ec8c010f4a340d5e45c5cce35fc48264d889b507bc198891b5bf460f,N/A,441296f18f1eddf09c399ac1840827d5a48b034d,200,198,2,0.99,2.0136399248285675,1.490871959400442,8.081912015403205,2.9542430413208765,1.9761235781035145,0.0047102100434753685,0.03280613668157737,3.2327648061612813,3.2327648061612813,0.0,1.6163824030806406,-1193.8699653589285,0,2,0,0,True
corridor_2400m_DDQN_w20_seed44,DDQN,corridor_2400m,w20,44,COMPLETED,805b00e6ec8c010f4a340d5e45c5cce35fc48264d889b507bc198891b5bf460f,2e333f94fcf21dd963780b5b64b92544b0dd1cfe46a56a6d2f91d76702be8767,441296f18f1eddf09c399ac1840827d5a48b034d,200,198,2,0.99,1.9541988447331482,1.5027881265989362,0.4914505964427496,1.5119670177757931,1.9002189639139102,0.005206798008675819,0.04877308281056216,0.30186039313114205,0.1334121458446745,0.21056030910808443,0.05617805746693303,-427.82791860681294,0,2,0,0,True
corridor_2400m_Greedy_w20_seed44,Greedy,corridor_2400m,w20,44,COMPLETED,805b00e6ec8c010f4a340d5e45c5cce35fc48264d889b507bc198891b5bf460f,N/A,441296f18f1eddf09c399ac1840827d5a48b034d,200,198,2,0.99,1.9795849138682236,1.5043875650815353,7.095644216818511,4.077755081902075,1.9662609001176679,0.004722459862617795,0.008601553887937683,2.85728868775093,2.826839086113289,0.03806200204705096,1.4115164429542921,-1087.6779924984828,0,2,0,0,True
corridor_2400m_Local_w20_seed44,Local,corridor_2400m,w20,44,COMPLETED,805b00e6ec8c010f4a340d5e45c5cce35fc48264d889b507bc198891b5bf460f,N/A,441296f18f1eddf09c399ac1840827d5a48b034d,200,198,2,0.99,1.9523747220594847,1.4995347769921872,0.27932087710099596,0.13295060860376365,1.8980976667204925,0.005206798008675819,0.04907025733031627,0.25138878939089637,0.0279320877100996,0.27932087710099596,0.0,-417.00316434646055,0,2,0,0,True
corridor_2400m_CoTOP_w20_seed45,CoTOP,corridor_2400m,w20,45,COMPLETED,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,N/A,441296f18f1eddf09c399ac1840827d5a48b034d,200,195,5,0.975,1.9634501201343495,1.5568039857415932,7.21212839454542,3.980476590720736,1.9279400231317902,0.005431297605323142,0.030078799397235966,2.8848513578181683,2.8848513578181683,0.0,1.4424256789090841,-1370.6833749322773,0,5,0,0,True
corridor_2400m_DDQN_w20_seed45,DDQN,corridor_2400m,w20,45,COMPLETED,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,f176c0ff7ee00bcef65f53d1676e94ee7e2a7701fe11d01c16252d5655b11c6b,441296f18f1eddf09c399ac1840827d5a48b034d,200,197,3,0.985,1.9196450711606545,1.551706896868902,0.3917857455477632,1.1563708446297998,1.8597365966418136,0.005822931283983654,0.05408554323485714,0.24836082629888565,0.10172638137123709,0.18329305615956074,0.0416985378776405,-513.4105781359284,0,3,0,0,True
corridor_2400m_Greedy_w20_seed45,Greedy,corridor_2400m,w20,45,COMPLETED,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,N/A,441296f18f1eddf09c399ac1840827d5a48b034d,200,195,5,0.975,1.9367112387364558,1.5556676315173517,6.817272554475994,4.558646295546823,1.9239914647310956,0.005284814553739077,0.00743495945162076,2.749979912646275,2.7130664872768726,0.04614178171175315,1.3542261545528484,-1330.4373040690582,0,5,0,0,True
corridor_2400m_Local_w20_seed45,Local,corridor_2400m,w20,45,COMPLETED,b09d0411e658043b9e5b6039b0a7de65796ce3152226026f3be0f28f44a74fd7,N/A,441296f18f1eddf09c399ac1840827d5a48b034d,200,197,3,0.985,1.9188162638139676,1.5499149738738756,0.30973572516356246,0.1351121996727163,1.8589160964379716,0.005822931283983654,0.05407723609201222,0.2787621526472062,0.03097357251635625,0.30973572516356246,0.0,-513.4080859930748,0,3,0,0,True
corridor_2400m_CoTOP_w20_seed46,CoTOP,corridor_2400m,w20,46,COMPLETED,04ef7c838e8795c5894976cdfac799704524a1893e32ae121dae50ab5b3d7343,N/A,441296f18f1eddf09c399ac1840827d5a48b034d,200,195,5,0.975,2.0033232102668457,1.5883399074659927,0.9790262851806599,2.1202968763480854,1.9565734581776781,0.005436430295049743,0.04131332179411826,0.5233129242023915,0.3125890679941875,0.26340482026025497,0.14312429298408103,-782.5627514125423,0,5,0,0,True
corridor_2400m_DDQN_w20_seed46,DDQN,corridor_2400m,w20,46,COMPLETED,04ef7c838e8795c5894976cdfac799704524a1893e32ae121dae50ab5b3d7343,8597ebddba8abbdac22b529d924d9eb734f59acde10870b8f33ba523c4f05728,441296f18f1eddf09c399ac1840827d5a48b034d,200,196,4,0.98,2.007772172655569,1.5920883157302796,0.6366216044294658,2.1615022050832122,1.953149411370166,0.005513399672687262,0.04910936161271561,0.34676282983562584,0.19938012893348264,0.18422837612767895,0.09047864566035738,-622.7381709837745,0,4,0,0,True
corridor_2400m_Greedy_w20_seed46,Greedy,corridor_2400m,w20,46,COMPLETED,04ef7c838e8795c5894976cdfac799704524a1893e32ae121dae50ab5b3d7343,N/A,441296f18f1eddf09c399ac1840827d5a48b034d,200,195,5,0.975,2.033224125426783,1.5898523494828258,7.238843651456364,4.390052321220262,2.0191716318404347,0.005009230984693489,0.0090432626016543,2.9169065529305853,2.8827160051737213,0.04273818469607932,1.4392210933520568,-1386.733386168425,0,5,0,0,True
corridor_2400m_Local_w20_seed46,Local,corridor_2400m,w20,46,COMPLETED,04ef7c838e8795c5894976cdfac799704524a1893e32ae121dae50ab5b3d7343,N/A,441296f18f1eddf09c399ac1840827d5a48b034d,200,195,5,0.975,2.0066860568603,1.5875317390438433,0.2951673323208539,0.13919519771579633,1.94973486864908,0.005513399672687262,0.051437788538533,0.26565059908876854,0.029516733232085396,0.2951673323208539,0.0,-714.5131407859071,0,5,0,0,True
