algorithm,n_runs,mean_delay_s,std_delay_s,mean_energy_j,std_energy_j,mean_completion_ratio,total_tasks_completed,total_tasks_failed
CoTOP,60,1.339240440222152,0.6873501478241298,3.951868070758366,2.4406359930559045,0.9920277777777777,17860,140
DDQN,60,1.336971755454361,0.6850909551571851,3.5830778016113496,2.559302640514017,0.992361111111111,17864,136
Greedy,60,1.3110557277232118,0.688178787089664,5.12092207162738,1.999815784750849,0.9922916666666667,17865,135
Local,60,1.3335119095567185,0.6673649994438462,0.2891864600022211,0.010583384684790885,0.9930972222222222,17879,121
