algorithm,mean_delay_s,mean_energy_j,completion_ratio,collab_ratio,delay_rank,energy_rank,completion_rank,tradeoff_classification
Greedy,1.3110557277232118,5.12092207162738,0.9922916666666667,0.8721944444444445,1,7,4,Delay-Aggressive Minimizer (Highest energy consumption: 5.12 J; 87.2% collaboration)
DDQN,1.3186632370099645,3.4147664415142502,0.9929861111111111,0.7426250000000001,2,3,3,Balanced Offloader (Moderate collaboration: 74.3%; moderate energy: 3.41 J)
Local,1.3335119095567185,0.2891864600022211,0.9930972222222222,0.0,3,1,1,Energy-Optimal Minimizer (No RSU transmission overhead; 0% collaboration)
wo_co,1.3335119095567185,0.2891864600022211,0.9930972222222222,0.0,3,1,1,Energy-Optimal Minimizer (No RSU transmission overhead; 0% collaboration)
CoTOP,1.3512997517518135,4.035511474730918,0.9917499999999999,0.9428055555555555,6,5,6,Collaborative Actor-Critic (High collaboration: 94.3%; energy: 4.04 J)
wo_md,1.3512997517518135,4.035511474730918,0.9917499999999999,0.9428055555555555,6,5,6,Collaborative Actor-Critic (High collaboration: 94.3%; energy: 4.04 J)
wo_tp,1.3512997517518135,4.035511474730918,0.9917499999999999,0.9428055555555555,6,5,6,Collaborative Actor-Critic (High collaboration: 94.3%; energy: 4.04 J)
