comparison,sample_size_n,delay_mean_diff_s,delay_median_diff_s,delay_std_diff_s,delay_ci95_s,delay_cohens_d,delay_ttest_pvalue,delay_wilcoxon_pvalue,delay_cotop_higher_count,delay_cotop_lower_count,delay_tied_count,energy_mean_diff_j,energy_median_diff_j,energy_std_diff_j,energy_ci95_j,energy_cohens_d,energy_ttest_pvalue,energy_wilcoxon_pvalue,energy_cotop_higher_count,energy_cotop_lower_count,energy_tied_count
CoTOP vs Local,60,0.01778784219509519,0.006078150238502944,0.034521563089255206,0.00891786537807162,0.5152675778065112,0.00018423478447097236,0.0020899006722749787,36,24,0,3.746325014728697,3.4933682346454837,2.4315094815912577,0.6281255042325887,1.540740450774217,2.2663185557209162e-17,1.6295557943119345e-11,60,0,0
CoTOP vs Greedy,60,0.04024402402860193,0.038401626072240624,0.024644568015592706,0.006366366994899796,1.6329774578779142,1.8943570371555357e-18,4.22409488236999e-11,57,3,0,-1.0854105968964622,-1.5194213035421376,1.5702776658485742,0.40564573492874934,-0.6912220816118587,1.4798251498420038e-06,4.5360729749017466e-05,22,38,0
CoTOP vs DDQN,60,0.03263651474184963,0.023740531515548335,0.028045127975908715,0.007244824782507843,1.1637142383477443,1.0822513590123042e-12,1.4366410357796407e-10,56,4,0,0.6207450332166681,0.04463052996419731,2.3392541546117003,0.6042934261691901,0.2653602354378237,0.04426799707204629,0.22731551723806775,30,30,0
CoTOP vs wo_md,60,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,60,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,60
CoTOP vs wo_tp,60,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,60,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,0,60
CoTOP vs wo_co,60,0.01778784219509519,0.006078150238502944,0.034521563089255206,0.00891786537807162,0.5152675778065112,0.00018423478447097236,0.0020899006722749787,36,24,0,3.746325014728697,3.4933682346454837,2.4315094815912577,0.6281255042325887,1.540740450774217,2.2663185557209162e-17,1.6295557943119345e-11,60,0,0
