episode,reward,loss,mean_q,epsilon,buffer_size
1,-1209.28506223123,496.78374742939525,250.3133462381363,0.99525,200
2,-1053.7698493388627,125.4608727645874,512.68902053833,0.9905,400
3,-1059.5644493652792,92.04348333358764,740.4533572387695,0.98575,600
4,-1179.7739505866898,84.44938552856445,927.7674130249023,0.981,800
5,-1154.571530682972,87.26023670196533,1087.400348815918,0.97625,1000
6,-1140.3758767341822,96.83049034118652,1207.4191384887695,0.9715,1200
7,-1150.9798963006583,100.89924270629882,1318.3986096191406,0.96675,1400
8,-1140.6728376640708,108.33809642791748,1428.189937133789,0.962,1600
9,-1040.6975337987958,97.92720603942871,1494.5102719116212,0.95725,1800
10,-1162.675525816945,90.07469499588012,1565.3990234375,0.9525,2000
11,-1046.6158288047259,79.56061590194702,1603.9083343505858,0.94775,2200
12,-1179.8715248012809,65.58539752960205,1627.106411743164,0.9430000000000001,2400
13,-1038.666567236351,62.41941598892212,1614.106497192383,0.93825,2600
14,-1170.5062607185148,61.17683765411377,1607.8165667724609,0.9335,2800
15,-1158.1120114070975,61.17030248641968,1602.1900494384765,0.92875,3000
16,-1090.7786654765878,63.327454586029056,1602.3222943115234,0.924,3200
17,-1026.572843405178,65.96716802597047,1600.6117938232421,0.91925,3400
18,-993.9677538806071,68.46020919799804,1573.5372369384766,0.9145,3600
19,-1015.0369607655167,68.651417427063,1579.5826159667968,0.9097500000000001,3800
20,-1030.874804106991,65.72991243362426,1580.1945916748048,0.905,4000
21,-1137.467405716141,57.90561611175537,1557.6995977783204,0.90025,4200
22,-1055.6557974364398,53.62482625961304,1529.0673754882812,0.8955,4400
23,-1102.5307173031213,50.9502552986145,1498.5228942871095,0.89075,4600
24,-1035.7776476352196,47.73620099067688,1472.4963702392579,0.886,4800
25,-1044.123110719852,44.504357767105105,1473.8980963134766,0.88125,5000
26,-1043.3366141887018,50.024859762191774,1471.2203002929687,0.8765000000000001,5200
27,-1030.7412008418003,49.434298257827756,1431.098087158203,0.87175,5400
28,-1154.5252610444563,44.64095495223999,1393.4198474121094,0.867,5600
29,-1059.8991773899877,43.47186544418335,1353.451135559082,0.86225,5800
30,-1025.4710468672379,45.295573997497556,1299.5637048339843,0.8575,6000
31,-1152.8504355509062,44.28934597015381,1259.7224813842774,0.85275,6200
32,-1057.239116074347,44.06897125244141,1220.8404122924806,0.848,6400
33,-1129.2080151848431,41.1027416229248,1184.6142691040038,0.84325,6600
34,-1058.7236350634992,38.97099931716919,1152.4719848632812,0.8385,6800
35,-1031.3456355592366,38.27703729629516,1122.2625619506837,0.83375,7000
36,-1155.2699139452318,35.66798758506775,1089.4977835083007,0.829,7200
37,-1091.2848126699787,32.553483438491824,1052.2584133911132,0.82425,7400
38,-1133.9745229481202,30.50210178375244,1014.6479339599609,0.8195,7600
39,-988.793980195308,29.20115801811218,978.07998046875,0.81475,7800
40,-1075.156571585701,28.616479678153993,953.2891555786133,0.81,8000
41,-1010.0629593325681,29.003175082206727,918.197543334961,0.80525,8200
42,-1116.0429378673625,31.084881625175477,884.0209356689453,0.8005,8400
43,-1014.2017447577191,30.34608021259308,851.4479449462891,0.79575,8600
44,-1110.3390774834277,28.36119884967804,820.8817913818359,0.791,8800
45,-1019.3419119040839,27.520032696723938,771.2511148071289,0.78625,9000
46,-1129.8323252724201,24.793202767372133,738.744370727539,0.7815,9200
47,-1136.2187181865786,25.109970593452452,702.9252098083496,0.77675,9400
48,-1094.7500252134487,23.456729307174683,671.6391082763672,0.772,9600
49,-1056.4936856175857,21.594658975601195,656.6171035766602,0.76725,9800
50,-1036.9099118562808,21.73606547832489,641.1727673339843,0.7625,10000
51,-1009.11548827102,20.432889251708986,623.3585803222657,0.75775,10000
52,-1004.0877997681384,19.581259365081788,606.1239346313477,0.753,10000
53,-1098.8870080681731,20.333473715782166,583.185456085205,0.7482500000000001,10000
54,-1031.8791079216683,20.229273133277893,561.016724243164,0.7435,10000
55,-1130.1844782080682,19.154814167022707,537.6844862365723,0.73875,10000
56,-1130.181368290514,20.209887800216674,514.6185466003418,0.734,10000
57,-1070.200199481463,19.779234681129456,498.62561531066893,0.72925,10000
58,-1011.2737348561542,20.92061758041382,484.9013525390625,0.7245,10000
59,-1039.6943646532497,20.433302023410796,470.07039421081544,0.71975,10000
60,-1035.7992560655734,20.116591110229493,465.29210075378415,0.7150000000000001,10000
61,-1059.0170234813743,19.46566735744476,459.18024963378906,0.71025,10000
62,-1101.2075011864906,17.81706017971039,451.62256797790525,0.7055,10000
