v_id,task_id,delay,energy,completed,comm_delay,comp_delay,wait_delay,action
veh_0,3,5.815793023395388,0.2979747761285539,True,5.810995727018221,0.004797296377167433,0.0,0
veh_0,7,5.515577043600474,0.46764393706433166,True,5.502527373956811,0.00825237326649527,0.004797296377167433,0
veh_0,9,6.068309034210471,0.15226987604083042,True,6.053424651976387,0.001834712590421331,0.013049669643662705,0
veh_0,12,6.133558727261502,0.3595453438664118,True,6.11270597934596,0.0059683656814590435,0.014884382234084037,0
veh_0,20,5.2284429130707215,0.2727866994527351,True,5.20317506617936,0.0044150989758188295,0.02085274791554308,1
veh_0,1,4.897538619625566,0.22245114835479246,True,4.868795508868882,0.0034752638653220732,0.025267846891361908,1
veh_0,8,5.118804068317261,0.1708423913359244,True,5.087661642062271,0.002399315498306034,0.028743110756683978,0
veh_0,13,5.616884100156326,0.4935379682578351,True,5.576986311798538,0.008755362102796994,0.031142426254990013,0
veh_0,17,4.899074349056735,0.2651298845225461,True,4.854844931994896,0.004331628704051943,0.039897788357787005,1
veh_0,6,4.567110268753984,0.3603353323495316,True,4.5165774605372615,0.0063033911548831785,0.04422941706183895,0
veh_0,11,5.550304260953731,0.34624209515375454,True,5.493945399913916,0.005826052823092307,0.050532808216722125,1
veh_0,19,4.959785314016332,0.176021253740571,True,4.9008862051427355,0.0025402478337828733,0.056358861039814426,0
veh_0,14,4.697707982847157,0.11699493719025458,True,4.637396454520658,0.0014124194529009598,0.058899108873597304,0
veh_0,16,3.416770036604092,0.2086176888580375,True,3.352956745849603,0.0035017624279908293,0.06031152832649826,0
veh_0,15,3.40024971386813,0.11925357256884564,True,3.3347182953213284,0.0017181277923126474,0.06381329075448909,1
veh_0,18,3.3411215632826443,0.5041561670050866,True,3.2661602534464302,0.009429891289412446,0.06553141854680174,0
veh_0,2,3.3992959125409397,0.3876872124134893,True,3.317244307317919,0.0070902953868062025,0.07496130983621418,0
veh_0,5,2.6729896619396447,0.3682888879685516,True,2.5840890967766086,0.006848959940015709,0.0820516052230204,0
veh_0,4,2.690694997272382,0.3033723419916772,True,2.596246234516416,0.005548197592930261,0.0889005651630361,0
veh_0,10,2.9465867071630525,0.3501337582163488,True,2.8457044101247844,0.006433534282302019,0.09444876275596635,0
veh_1,34,3.4628291777170115,0.4088782455255153,True,3.4553426813427697,0.007486496374241752,0.0,0
veh_1,25,3.504990653430884,0.3798534514733859,True,3.4906052090689883,0.00689894798765392,0.007486496374241752,0
veh_1,33,3.7856336553826493,0.5246003549823505,True,3.7615085056222313,0.009739705398522563,0.014385444361895672,0
veh_1,21,3.7767203413469272,0.3380932111375162,True,3.7465826438925376,0.006012547693971817,0.024125149760418237,0
veh_1,36,2.9931278955068135,0.2752251359090612,True,2.9580773107964013,0.004912887256021944,0.03013769745439005,0
veh_1,30,2.697222544496954,0.09780984806520776,True,2.6607479124077194,0.0014240473788226112,0.035050584710411996,1
veh_1,39,3.612792594105449,0.22002647574081655,True,3.5726319588931768,0.0036860031230376957,0.036474632089234606,0
veh_1,35,3.0938195484253033,0.20057391034367883,True,3.050257486503458,0.003401426709572885,0.040160635212272304,1
veh_1,32,2.511107102616571,0.2463597835991032,True,2.4631104671161674,0.004434573578558831,0.04356206192184518,1
veh_1,40,3.003897327505487,0.14831292223321701,True,2.953525138588136,0.002375553416946713,0.04799663550040401,1
veh_1,29,2.471974733108226,0.5230081699801239,True,2.4116247057324194,0.009977838458455993,0.05037218891735073,0
veh_1,22,3.125160586468448,0.4297682257946974,True,3.056826559888725,0.007983999203916204,0.06035002737580673,1
veh_1,23,2.0984317208206544,0.21221645779467085,True,2.0262586168084,0.003839077432531737,0.06833402657972293,0
veh_1,24,2.195447591703163,0.49544725445339344,True,2.113788300261893,0.00948618742901549,0.07217310401225467,0
veh_1,27,2.195028495008261,0.3236888292770131,True,2.1073168903595225,0.006052313207468357,0.08165929144127015,1
veh_1,37,2.631107279014124,0.4694789531492072,True,2.5345129979019814,0.008882676463403747,0.08771160464873852,0
veh_1,38,2.203145881742166,0.15143278357561163,True,2.1039437337052527,0.0026078669247711823,0.09659428111214227,0
veh_1,26,2.5074312990070857,0.28051432850729824,True,2.403099484296886,0.0051296666732865885,0.09920214803691345,0
veh_1,28,2.215891330267025,0.4750450887171587,True,2.1024791096044027,0.009080405952422294,0.10433181471020005,0
veh_1,31,1.877698900451555,0.42399729361843047,True,1.756157965509666,0.008128714279266676,0.11341222066262233,0
veh_2,47,1.7245962935613979,0.28107025766601423,True,1.7193187521585094,0.005277541402888582,0.0,1
veh_2,59,1.776472985313445,0.11131209706879547,True,1.7693230665824973,0.0018723773280594099,0.005277541402888582,1
veh_2,44,1.8070019053833155,0.0940496315239236,True,1.7983306601539197,0.0015213264984476878,0.007149918730947992,1
veh_2,50,1.688703455696227,0.20703459872385396,True,1.6762267638451231,0.0038054466217080545,0.00867124522939568,1
veh_2,51,2.011967072936574,0.26709051256482924,True,1.9945474803302394,0.004942900755230537,0.012476691851103734,1
veh_2,42,1.4580266590714064,0.21023712227162317,True,1.43668966195203,0.003917404513042058,0.01741959260633427,1
veh_2,41,1.7446742960033066,0.4175352119895138,True,1.7153296605762551,0.008007638307675025,0.021336997119376328,1
veh_2,52,1.4537203445003304,0.16532733599460075,True,1.4213534330399948,0.003022276033284016,0.02934463542705135,1
veh_2,46,1.4236563115209888,0.4061054141714876,True,1.3834439805733385,0.007845419487315083,0.032366911460335365,1
veh_2,48,1.509098105860408,0.45719520726379564,True,1.4600338775429902,0.008851897369767315,0.04021233094765045,1
veh_2,45,1.904788923027323,0.1070835915669584,True,1.853953813641294,0.001770881068610909,0.04906422831741776,1
veh_2,58,1.544422668139325,0.41793400077018583,True,1.4855259839346795,0.00806157481861678,0.05083510938602867,0
veh_2,49,1.3727573739494743,0.3057633102002144,True,1.3080070249458138,0.0058536647990151255,0.058896684204645444,0
veh_2,60,1.387458240153849,0.27333614730788236,True,1.3175046691378585,0.005203222012330075,0.06475034900366057,0
veh_2,54,1.1410908892269642,0.3446409046874999,True,1.0644573915955426,0.00667992661543089,0.06995357101599065,1
veh_2,57,1.1433324996208938,0.48155420199954435,True,1.057279373824246,0.009419628165226039,0.07663349763142153,1
veh_2,53,1.2950494823766086,0.16561088290832557,True,1.205925323986592,0.0030710325933691928,0.08605312579664758,0
veh_2,56,0.981337210878758,0.359891922758167,True,0.8851922524840747,0.007020800004666525,0.08912415839001676,1
veh_2,55,1.179810281118931,0.4475852161554057,True,1.074928604121964,0.00873671860228372,0.09614495839468329,1
veh_2,43,0.9373143116238465,0.45366008639769767,True,0.8235241377264708,0.00890849690040866,0.104881676996967,0
veh_3,63,0.7929777176394435,0.14349666717299991,True,0.7902658374634761,0.0027118801759673035,0.0,1
veh_3,66,0.7942657742482716,0.08066573427726235,True,0.7900985991065803,0.0014552949657239312,0.0027118801759673035,0
veh_3,67,0.8753086205001573,0.4946625205685671,True,0.8614204790429034,0.009720966315562761,0.004167175141691235,0
veh_3,68,0.8401026533196416,0.13307717689043083,True,0.8237177118669524,0.002496799995435226,0.013888141457253996,0
veh_3,61,0.74794584747225,0.5000913793058575,True,0.7217034191172671,0.009857486902293695,0.016384941452689223,0
veh_3,69,0.6266812250260348,0.23642642598763475,True,0.5958294340381068,0.004609362632945074,0.02624242835498292,1
veh_3,76,0.6863064387131479,0.44019175310869624,True,0.6467801686967853,0.008674479028434568,0.030851790987927997,0
veh_3,64,0.6197165794378149,0.1811121491313177,True,0.5766834031194499,0.0035069063020024644,0.03952627001636256,1
veh_3,73,0.6775167955113276,0.12597947585098382,True,0.632090447765496,0.002393171427466577,0.04303317631836503,0
veh_3,75,0.6720129622780157,0.08197509407912755,True,0.6250721270760167,0.0015144874561673477,0.04542634774583161,1
veh_3,79,0.5222880496847806,0.45529263764480304,True,0.46633462865561665,0.009012585827164937,0.04694083520199896,1
veh_3,72,0.6293553765392043,0.5035746417847673,True,0.563443151304606,0.009958804205434425,0.0559534210291639,0
veh_3,80,0.5445150333098921,0.33344196339426946,True,0.47202837448230495,0.006574433592988928,0.06591222523459832,0
veh_3,71,0.5594281770251738,0.2595722297315298,True,0.4818464428915343,0.0050950753060522895,0.07248665882758724,1
veh_3,78,0.5254606685013706,0.3582536693356935,True,0.4408020213852943,0.007076912982436812,0.07758173413363954,1
veh_3,74,0.5890080369737338,0.3156124985397184,True,0.4981367672403111,0.006212622617346306,0.08465864711607635,0
veh_3,62,0.4905310025122864,0.20664223252103653,True,0.3956060093303091,0.004053723448554669,0.09087126973342265,0
veh_3,65,0.5737984120841942,0.254147687696023,True,0.4738852421967358,0.004988176705481112,0.09492499318197732,0
veh_3,70,0.4848164415855413,0.4971393346219173,True,0.3750354921040654,0.009867779594017533,0.09991316988745842,0
veh_3,77,0.5376230630510211,0.09031137046208788,True,0.4261211103823799,0.0017210031871652818,0.10978094948147596,0
veh_4,86,0.17014317343275964,0.14759168836639175,True,0.16722478462235627,0.002918388810403364,0.0,1
veh_4,92,0.16643277819648064,0.10355765700211904,True,0.16147553135230536,0.00203885803377192,0.002918388810403364,1
veh_4,82,0.17345372047563629,0.37389681782948025,True,0.16105074742435627,0.007445726207104733,0.004957246844175284,0
veh_4,88,0.1702982186353642,0.12254082980168306,True,0.1554755240928691,0.0024197214912150874,0.012402973051280018,0
veh_4,91,0.1710166455483768,0.35001715626044666,True,0.14922345257118702,0.006970498434694696,0.014822694542495105,1
veh_4,90,0.18919699129081036,0.05518373212196359,True,0.16633339034925115,0.0010704079643694216,0.0217931929771898,1
veh_4,95,0.15909291205301998,0.2711476587116406,True,0.13083252444211635,0.005396786669344389,0.02286360094155922,1
veh_4,89,0.18566251428067446,0.32676396484445985,True,0.1508970267782373,0.00650509989153355,0.02826038761090361,1
veh_4,96,0.19469319137112623,0.09311528064732279,True,0.15809701765927447,0.0018306862094146009,0.03476548750243716,1
veh_4,99,0.1830382062786558,0.2438750420442655,True,0.14159285029597793,0.004849182270826115,0.03659617371185176,1
veh_4,98,0.18940168399721283,0.16932585540198294,True,0.14459873065262582,0.0033575973619091337,0.04144535598267788,1
veh_4,97,0.15548100445301782,0.05269202148856844,True,0.10964613990664078,0.0010319112017900408,0.04480295334458701,0
veh_4,94,0.17654217663031121,0.1428975399100837,True,0.12787493627298707,0.0028323758109470762,0.04583486454637706,0
veh_4,81,0.1635808571654206,0.28634430771306457,True,0.10920857236830882,0.00570504443978763,0.04866724035732413,1
veh_4,84,0.15935684411336679,0.3893111993753262,True,0.09721777888452539,0.007766780431729619,0.054372284797111765,1
veh_4,83,0.1602359703146536,0.35317111726277883,True,0.09105169307917245,0.007045212006639741,0.062139065228841384,0
veh_4,100,0.14615166712537292,0.44807807130856625,True,0.06801943235019052,0.008947957539701287,0.06918427723548112,0
veh_4,87,0.1807782760078384,0.4473260607955926,True,0.09371826366947804,0.008927777563177957,0.07813223477518241,0
veh_4,93,0.1683227460721491,0.17333481153989688,True,0.07781159982295538,0.0034511339108333466,0.08706001233836037,0
veh_4,85,0.17483987430261258,0.5000479247653564,True,0.07434263808572888,0.009986089967689982,0.09051114624919371,0
veh_10,119,6.259836705192615,15.303100294687013,False,6.250173896350761,0.009662808841853998,0.0,2
veh_10,111,5.6583889615231655,13.77899521810073,True,5.640639782099092,0.00808637058221924,0.009662808841853998,2
veh_10,106,5.9451536366494295,14.368313869114985,False,5.920818503634,0.0065859535913564155,0.01774917942407324,2
