episode,reward,loss,mean_q,epsilon,buffer_size
1,-1432.1930413064777,975.5282080434534,248.2491697239876,0.99525,200
2,-1435.9347457115869,198.97684741973876,453.7407883603871,0.9905,400
3,-1489.5407604655054,80.43294898986817,582.8890887069703,0.98575,600
4,-1517.9319049878784,63.08537897109986,682.5529068374634,0.981,800
5,-1452.3142683809629,63.40740438461304,733.1710553741455,0.97625,1000
6,-1416.641776397374,62.0561323928833,779.5016117095947,0.9715,1200
7,-1468.4734003987348,59.821940450668336,829.9548629760742,0.96675,1400
8,-1371.3064558639232,59.67399311065674,862.1956566619873,0.962,1600
9,-1425.7302593490742,54.94011406898498,865.6064302825928,0.95725,1800
10,-1448.0161171059876,49.28165760040283,874.5359686279297,0.9525,2000
11,-1485.3678551988655,47.99088454246521,865.9320991516113,0.94775,2200
12,-1497.7241550612925,47.97752492904663,888.5375755310058,0.9430000000000001,2400
13,-1498.2714230437625,45.11875939369202,904.1432206726074,0.93825,2600
14,-1493.7176529299568,45.547995748519895,909.4883883666993,0.9335,2800
15,-1372.550509159927,47.100942583084105,905.1007420349121,0.92875,3000
16,-1414.0679471287874,47.13011207580566,908.3378739929199,0.924,3200
17,-1420.985531633809,46.02107593536377,916.7481945800781,0.91925,3400
18,-1481.6533690420715,43.493301467895506,906.6070381164551,0.9145,3600
19,-1357.1460878563144,39.77183750152588,891.8232691955567,0.9097500000000001,3800
20,-1437.0591361394468,37.87263123512268,869.1701129150391,0.905,4000
21,-1354.9936964972526,32.53420150756836,847.6062126159668,0.90025,4200
22,-1315.7217490652254,32.492841730117796,841.0717807006836,0.8955,4400
23,-1405.1239838812207,32.868917412757874,841.1431327819824,0.89075,4600
24,-1452.5369624497307,32.10046483516693,837.8825698852539,0.886,4800
25,-1467.5123078889526,32.32690026760101,838.3154342651367,0.88125,5000
26,-1461.371993131538,35.943950462341306,829.7749159240723,0.8765000000000001,5200
27,-1493.6167571378849,34.22241656303406,815.3549307250977,0.87175,5400
28,-1429.6465347859687,33.162804341316225,815.5433718872071,0.867,5600
29,-1458.1011839678094,32.260148763656616,815.6800241088868,0.86225,5800
30,-1454.802101145519,31.874589414596556,801.62922164917,0.8575,6000
31,-1477.104231349455,29.188439168930053,780.121654624939,0.85275,6200
32,-1333.7098752920583,28.496504764556885,768.6407943534851,0.848,6400
33,-1469.2146210025955,29.001375799179076,758.5371433639526,0.84325,6600
34,-1487.0380368923365,28.350145239830017,754.1178944778443,0.8385,6800
35,-1473.9630324895631,30.35409279346466,740.9003824615479,0.83375,7000
36,-1477.3966067004785,29.08630346775055,727.7356927490234,0.829,7200
37,-1403.365010193505,28.806901574134827,720.1883219909668,0.82425,7400
38,-1485.5312869640877,29.605899381637574,704.7855367279053,0.8195,7600
39,-1480.1389059054695,27.88031041622162,686.0600238609314,0.81475,7800
40,-1392.2359927256273,25.82466787815094,672.7921837377548,0.81,8000
41,-1432.0710930034516,25.383570580482484,643.4585919380188,0.80525,8200
42,-1461.332440394508,23.243866262435912,626.4710333228111,0.8005,8400
43,-1461.4768707638675,24.596220111846925,614.6882507514954,0.79575,8600
44,-1427.3803205562442,22.60429466724396,594.7285138232261,0.791,8800
45,-1474.0941878595295,22.53558129310608,580.3684552383423,0.78625,9000
46,-1453.1619919602767,21.50568618297577,576.0059703063965,0.7815,9200
47,-1482.95936063783,22.835138025283815,560.6806177139282,0.77675,9400
48,-1432.3521877687904,20.64759130001068,541.1725168132782,0.772,9600
49,-1408.887789323444,20.428098871707917,525.6988823270798,0.76725,9800
50,-1372.7238154694173,18.96895185947418,505.0561274123192,0.7625,10000
51,-1442.0973174836975,18.883727593421938,488.47254368305204,0.75775,10000
52,-1484.3540736002815,17.634867057800292,479.99186971664426,0.753,10000
53,-1405.4057171504378,17.948269290924074,474.0780556488037,0.7482500000000001,10000
54,-1415.8670103704983,18.842493431568144,463.1034937620163,0.7435,10000
55,-1468.938474599024,19.90895794868469,454.9470668792725,0.73875,10000
56,-1393.932886126337,20.062781834602355,447.9145604610443,0.734,10000
57,-1337.8093833692967,22.259084160327912,438.2419060075283,0.72925,10000
58,-1422.5475530301085,19.732816014289856,424.4346339178085,0.7245,10000
59,-1421.3752805997785,17.784075236320497,410.23094575166704,0.71975,10000
60,-1342.9645753109605,16.96314630508423,390.2578678321838,0.7150000000000001,10000
61,-1399.4398130745365,16.450285608768464,376.61799228549006,0.71025,10000
62,-1468.5281000017128,16.770185539722444,370.8581131708622,0.7055,10000
63,-1437.6447240582004,16.29477980852127,362.05012411117553,0.70075,10000
64,-1358.7721715644434,15.87335518360138,350.7158848381043,0.696,10000
65,-1344.137185403876,15.189061164855957,341.08887001037596,0.69125,10000
66,-1293.829127972716,16.82675130844116,331.6957499504089,0.6865,10000
67,-1389.2378549507825,15.714099774360657,324.97562734127047,0.6817500000000001,10000
68,-1287.803419715421,16.192449264526367,315.05752732872963,0.677,10000
69,-1386.9105560750313,16.68935879945755,303.07595769405367,0.67225,10000
70,-1375.5036216850606,14.561609296798705,294.161318397522,0.6675,10000
71,-1377.1467393354733,14.137069003582,279.3226957345009,0.66275,10000
72,-1351.109701846379,12.507980231046677,266.69144186019895,0.658,10000
73,-1333.4668797960207,12.810874416828156,261.02971397399904,0.65325,10000
74,-1429.2494656862896,14.78959011554718,256.9190363645554,0.6485000000000001,10000
75,-1356.8266120883823,14.415470113754273,246.5063171672821,0.64375,10000
76,-1416.489371875712,13.162539727687836,238.50108988761903,0.639,10000
77,-1377.5619462746495,14.0998577439785,231.9056594800949,0.63425,10000
78,-1356.6651196268515,13.204859753847122,225.72180461883545,0.6295,10000
79,-1296.7042580438363,12.880464873313905,217.7610073566437,0.62475,10000
80,-1397.9196721735018,12.686228024959565,212.13644556045531,0.62,10000
81,-1401.8254658041737,13.163920831680297,204.5451799249649,0.6152500000000001,10000
82,-1302.8331509758152,12.095004577636718,195.68870894432067,0.6105,10000
83,-1361.041204984298,12.088214348554612,185.62554738998412,0.60575,10000
84,-1337.3775499988965,13.15414758682251,180.1720780658722,0.601,10000
85,-1427.6693267580663,12.664949142932892,171.61163524150848,0.59625,10000
86,-1304.7082237527422,12.156019693613052,167.5394635128975,0.5915,10000
87,-1211.7391676388388,12.168566094636917,163.0177078795433,0.58675,10000
88,-1325.3306310991993,12.56412586569786,151.67443210601806,0.5820000000000001,10000
