task_id,decision,delay_s,energy_j
0,1,1.2138891132815042,0.21876332173006502
1,0,0.06680573224667709,0.030114973261166772
2,3,1.2363714396543704,4.959871024607139
3,3,0.8864346277196451,3.9487610592767415
4,3,0.2742836284206621,4.411065209452023
5,3,1.535534259901891,3.0381473770569842
6,3,0.39837510292555894,0.13273455796680558
7,5,0.2935807243131248,2.3438436417919
8,5,1.2220931282481893,2.9389614140446225
9,5,0.15891031825640417,3.8062765627554422
10,1,1.2881570154563435,0.22771928101716346
11,3,0.1726178790248257,5.091023792098047
12,3,1.0466358334835582,2.853877866836922
13,3,0.25609514560299546,1.8653969007751494
14,3,0.44134399507741384,4.0158757048313545
15,3,1.8749971376733878,0.24116634445368385
16,3,0.25937795453323576,0.20298083486718238
17,5,0.8173415559630186,3.8453521576048892
18,5,0.5496025802853887,1.848089390483509
19,5,0.15704997401749043,3.1276854255296027
20,0,0.42221795568402337,0.11473121107929023
21,3,0.17736536733825636,2.842618812093358
22,3,1.7938992000420786,3.6641811284330075
23,3,0.16460999719585837,2.2604668817878073
24,3,0.686826392456432,3.926475460306478
25,3,0.8971053902694057,0.09605702922349406
26,3,0.11812896056511638,0.20977096257580116
27,5,1.2297408062040394,3.8953699326503064
28,5,0.35948318515451616,1.8936319472722014
29,5,0.32914576192891853,3.259606610302694
30,0,0.8347138559851515,0.06333094409895151
31,3,0.18384292855915435,2.860429506592025
32,3,2.149959015454285,4.2801536017286015
33,3,0.32306351499123204,4.253030473294313
34,3,0.4551524183428129,2.638831374070418
35,3,0.837630463698028,0.16074847035773027
36,3,0.09932154804963007,0.23956748533164626
37,5,1.4243907098143576,4.570757968807012
38,5,0.6141913978774668,3.063255477395446
39,5,0.23075129353939688,2.3290489725797423
40,1,0.4741212820044008,0.191637749035444
41,3,0.36731163604891126,3.4588387012540163
42,3,1.0139961908767936,3.125802680539066
43,3,0.07564888236900649,2.417652886479017
44,3,0.9049477628962515,3.5035829657759505
45,3,0.7066753070537447,0.20863359613763743
46,5,0.22753256953761392,5.506505597749992
47,5,2.1917890238878437,4.948534321612744
