task_id,decision,delay_s,energy_j
0,1,0.15867920040509156,1.351054762237333
1,1,0.1773736027316347,1.667617586788018
2,1,0.21521902075448857,2.101640725904961
3,1,0.22235174998398127,2.878141490905793
4,1,0.25307301061847737,2.1851127562071997
5,1,0.19569526640834467,3.152865144679799
6,1,0.10106580425696016,1.9351338914928364
7,1,0.24100597906633864,3.0220917338682276
8,1,0.21717615199998339,1.9747929876850292
9,1,0.2826201406021816,2.0930159029884043
10,1,0.2321103514657854,1.899960839626653
11,1,0.3181811678965636,3.2124188262601177
12,1,0.35466964404728457,2.6199813623533785
13,1,0.1463789070027604,2.0435862387032775
14,0,0.1914477518535454,0.16452544606908545
15,1,0.07287230275571485,1.787285894037537
16,1,0.16608295498585043,2.2159261780437234
17,1,0.09133529136852418,1.835125457651743
18,1,0.14158126231005633,1.509830481707494
19,1,0.4090731074374871,2.5408059673590477
20,1,0.3404815446127947,2.5390193767649114
21,1,0.13146788943129958,1.8583199622934754
22,1,0.12611391740721975,1.5586075522493696
23,1,0.26120669894823967,3.152645672495509
24,0,0.2063644589534556,0.037824602717184554
25,1,0.08817162434019246,1.4432565638889925
26,1,0.25887973677342657,2.395176967677364
27,1,0.15342418022341278,2.823506681481634
28,1,0.26106405422677165,2.889750782682124
29,1,0.343045082137693,2.0582038959766824
30,1,0.3670222683768126,2.7725148059515496
31,1,0.14277606701321074,1.9944748422255612
32,1,0.24740920535727678,2.702822375899813
33,1,0.15889462450247355,2.0213302562156956
34,0,0.13866761035765018,0.1556793883881765
35,1,0.2039792986571042,3.1827519034529157
36,1,0.26087107606809073,2.5569162872432787
37,1,0.09571082842426892,1.860354227746466
38,1,0.24381166983573144,2.66336575124508
39,1,0.4711958305376121,2.826305914632913
40,1,0.20096859341206144,1.4968854572385533
41,1,0.08781063959382557,1.8166562639604056
42,1,0.15903558611004492,2.2209062008020157
43,1,0.14565993044690392,1.8626992806224798
44,0,0.12200669757194886,0.03251243300056949
45,1,0.14092908296155515,1.5896362975730662
46,1,0.3047124476696391,2.5711485244020764
47,1,0.2454595542360104,3.0238286487723416
48,1,0.20533974897846013,1.9696336659009184
49,1,0.28104928481259855,1.7465125987998764
50,1,0.29330526622320197,2.0030627248316333
