task_index,vehicle_id,action,case,delay_s,energy_j,comm_delay_s,comp_delay_s,wait_delay_s,completed,failure_reason
0,veh_0,0,1,1.1712573556060475,0.2515294194506605,1.16646005922888,0.004797296377167433,0.0,True,NONE
1,veh_0,2,2,1.131839411360905,2.74096612487487,1.1277132247276573,0.004126186633247635,0.0,True,NONE
2,veh_0,3,2,1.2453708337913565,3.036874087173247,1.2444534774961458,0.0009173562952106655,0.0,True,NONE
3,veh_0,4,2,1.2596246219721483,3.272398550634044,1.2566404391314188,0.0029841828407295217,0.0,True,NONE
4,veh_0,5,2,1.0724939284217436,2.8148131010836015,1.0702863789338342,0.0022075494879094147,0.0,True,NONE
5,veh_0,6,2,1.0045764151694832,2.734500099106954,1.0028387832368222,0.0017376319326610366,0.0,True,NONE
6,veh_0,3,2,1.0480304575562136,2.595237017726153,1.0459134435118498,0.001199657749153017,0.0009173562952106655,True,NONE
7,veh_0,6,2,1.154822042782983,3.3709770776624133,1.1487067297989235,0.004377681051398497,0.0017376319326610366,True,NONE
8,veh_0,3,2,1.0023341804278472,2.578581680879683,0.9980513520314575,0.0021658143520259716,0.002117014044363683,True,NONE
9,veh_0,5,2,0.934413384879674,2.5669224649495477,0.9290541398143229,0.0031516955774415893,0.0022075494879094147,True,NONE
10,veh_0,4,2,1.1353338259060608,2.9642408227251096,1.129436616653785,0.0029130264115461535,0.0029841828407295217,True,NONE
11,veh_0,2,2,1.009806431721521,2.200780531234902,1.0044101211713818,0.0012701239168914366,0.004126186633247635,True,NONE
12,veh_0,3,2,0.958337675653555,2.3268272404689196,0.953348637530715,0.0007062097264504799,0.0042828283963896535,True,NONE
13,veh_0,3,2,0.6960354705591316,1.806383202576756,0.689295551222296,0.0017508812139954146,0.004989038122840133,True,NONE
14,veh_0,5,2,0.6921655476510236,1.7484399522100804,0.6859472386895162,0.0008590638961563237,0.005359245065351004,True,NONE
15,veh_0,2,2,0.679493135024602,1.8535423796474775,0.6693818788297566,0.004714945644706223,0.005396310550139071,True,NONE
16,veh_0,4,2,0.6913962014687577,1.968434879788871,0.681953844523079,0.0035451476934031012,0.005897209252275676,True,NONE
17,veh_0,6,2,0.5417915091878907,1.7015464241257543,0.5322517162338232,0.0034244799700078547,0.006115312984059534,True,NONE
18,veh_0,5,2,0.5430368990192609,1.571776035761982,0.5340444912612884,0.0027740987964651304,0.006218308961507328,True,NONE
19,veh_0,3,2,0.5949721038169451,1.7061811854200502,0.5850154173389586,0.0032167671411510094,0.006739919336835549,True,NONE
20,veh_1,0,1,0.8998559950144803,0.38324851369849,0.8923694986402386,0.007486496374241752,0.0,True,NONE
21,veh_1,2,2,0.9291496554015943,2.776347850422578,0.9257001814077673,0.00344947399382696,0.0,True,NONE
22,veh_1,3,2,1.006341708745999,3.4999615277316987,1.0014718560467375,0.004869852699261282,0.0,True,NONE
23,veh_1,4,2,1.0005042373909705,3.3016479957332874,0.9974979635439847,0.0030062738469859083,0.0,True,NONE
24,veh_1,5,2,0.7906074409454874,2.6737040701402073,0.7881509973174764,0.002456443628010972,0.0,True,NONE
25,veh_1,6,2,0.7108436736305536,2.3753256696082237,0.7101316499411422,0.0007120236894113056,0.0,True,NONE
26,veh_1,6,2,0.9560609984287844,3.2780861186652297,0.9535059731778543,0.0018430015615188478,0.0007120236894113056,True,NONE
27,veh_1,5,2,0.8168686676956648,2.6737947077371427,0.8127115107128674,0.0017007133547864426,0.002456443628010972,True,NONE
28,veh_1,6,2,0.6621561595831756,2.35470422047925,0.6573838475429661,0.0022172867892794154,0.0025550252509301537,True,NONE
29,veh_1,4,2,0.7905467327311081,2.484557545091139,0.7863526821756489,0.0011877767084733566,0.0030062738469859083,True,NONE
30,veh_1,2,2,0.6479955169515758,2.1787225099001994,0.6395571237285208,0.0049889192292279965,0.00344947399382696,True,NONE
31,veh_1,5,2,0.8226109331615857,2.9083153830079254,0.8144617765768302,0.003991999601958102,0.004157156982797415,True,NONE
32,veh_1,4,2,0.5455889021077186,1.8149913034156078,0.5394753128359935,0.0019195387162658686,0.004194050555459265,True,NONE
33,veh_1,6,2,0.5736680510659898,2.3047829960278774,0.5641526453112725,0.004743093714507745,0.004772312040209569,True,NONE
34,veh_1,3,2,0.5689524456536249,1.9905809404826544,0.5610564363506294,0.0030261566037341784,0.004869852699261282,True,NONE
35,veh_1,4,2,0.6853489449540403,2.474284087715466,0.6747940174506133,0.004441338231701873,0.006113589271725133,True,NONE
36,veh_1,3,2,0.5693583028654214,1.8156567207431737,0.5601583601000404,0.0013039334623855911,0.00789600930299546,True,NONE
37,veh_1,5,2,0.6509965303029354,2.2290041360289385,0.6402825403815365,0.0025648333366432943,0.008149156584755516,True,NONE
38,veh_1,2,2,0.5705510446990903,1.9185138021035464,0.5575724484998242,0.004540202976211147,0.008438393223054957,True,NONE
39,veh_1,3,2,0.4808274529861465,1.8131219535738632,0.4675631530811321,0.004064357139633339,0.009199942765381051,True,NONE
40,veh_2,0,1,0.7786889333095671,0.27161118406349594,0.7734113919066785,0.005277541402888582,0.0,True,NONE
41,veh_2,2,2,0.8199839865994624,2.4158446699545886,0.8190477979354326,0.0009361886640297049,0.0,True,NONE
42,veh_2,3,2,0.8367767344612151,2.7903840886221145,0.8360160712119913,0.0007606632492238439,0.0,True,NONE
43,veh_2,4,2,0.7811545842841012,2.720292077678786,0.7792518609732472,0.0019027233108540272,0.0,True,NONE
44,veh_2,5,2,0.9304508338767339,3.3321386253709893,0.9279793834991186,0.0024714503776152685,0.0,True,NONE
45,veh_2,6,2,0.6716126694112393,2.5402631523683126,0.6696539671547183,0.001958702256521029,0.0,True,NONE
46,veh_2,3,2,0.8021946744377226,2.989421779668028,0.7974301920346613,0.004003819153837513,0.0007606632492238439,True,NONE
47,veh_2,2,2,0.6604144449571431,2.0166315697378203,0.6579671182764714,0.001511138016642008,0.0009361886640297049,True,NONE
48,veh_2,4,2,0.6489671127285982,2.4803778252116806,0.6431416796740866,0.003922709743657542,0.0019027233108540272,True,NONE
49,veh_2,6,2,0.6869195668455987,2.825080930667683,0.680534915904194,0.0044259486848836575,0.001958702256521029,True,NONE
50,veh_2,2,2,0.8615574844622829,2.5218471996708534,0.8582247172473056,0.0008854405343054545,0.0024473266806717127,True,NONE
51,veh_2,5,2,0.6976552438388927,2.700761889545049,0.691153006051969,0.00403078740930839,0.0024714503776152685,True,NONE
52,veh_2,2,2,0.611756862211775,2.009434534231317,0.6054972625972902,0.0029268323995075628,0.0033327672149771675,True,NONE
53,veh_2,3,2,0.6198536084704516,2.2487421810792836,0.6124875150612252,0.0026016110061650374,0.0047644824030613556,True,NONE
54,veh_2,4,2,0.504015151311132,1.940639464166138,0.49484975494890493,0.003339963307715445,0.005825433054511569,True,NONE
55,veh_2,2,2,0.5004008574446408,1.8586541797466907,0.48943144374754305,0.004709814082613019,0.00625959961448473,True,NONE
56,veh_2,6,2,0.5700128019151834,2.121382870175094,0.5620926346770941,0.0015355162966845964,0.006384650941404687,True,NONE
57,veh_2,5,2,0.42185550883605755,1.720178839817533,0.4118428710468006,0.0035104000023332624,0.006502237786923658,True,NONE
58,veh_2,3,2,0.5114521121838034,2.0592838311178174,0.499717659473435,0.00436835930114186,0.007366093409226393,True,NONE
59,veh_2,6,2,0.39622641969513617,1.7892531014601787,0.3838520040068425,0.00445424845020433,0.007920167238089283,True,NONE
60,veh_3,1,2,0.30941644565741167,2.5377507751861974,0.30806050556942804,0.0013559400879836518,0.0,True,NONE
61,veh_3,3,2,0.30872296039137315,2.4744131632667274,0.3079953129085112,0.0007276474828619656,0.0,True,NONE
62,veh_3,4,2,0.3453416478568091,3.572816545855924,0.34048116469902767,0.0048604831577813805,0.0,True,NONE
63,veh_3,5,2,0.32611302949899285,3.0050751565218285,0.3248646295012752,0.001248399997717613,0.0,True,NONE
