task_id,decision,delay_s,energy_j
0,0,0.7657482557558286,0.1810854617732083
1,0,0.11296832840337984,0.1803120563906838
2,0,0.7684873531419034,0.047656542098519036
3,0,0.8138408198648043,0.204391669944598
4,0,0.17506481094505166,0.03710022328015052
5,0,1.8829213381482093,0.08582251904008209
6,0,0.24266645639311019,0.12090816902283111
7,0,0.42627492418503177,0.2082440635681003
8,0,0.8657176726434219,0.06763516976823422
9,0,0.11579550677685023,0.1561487457087685
10,0,1.1449396710040585,0.14781918954559056
11,0,0.12474454520736034,0.2203423147126736
12,0,0.9663112805391213,0.22289375939514122
13,0,0.26679917578306295,0.11194469704483062
14,0,0.3882582169164115,0.2114326476024141
15,0,1.2558825617850073,0.15620922554070008
16,0,0.1612545186235646,0.23563093989468567
17,0,0.9098768362135997,0.080081342257486
18,0,0.7050262612384991,0.032243320492884996
19,0,0.07440917741913831,0.14327568900234136
20,0,0.5251839618219727,0.24924582805881976
21,0,0.17716358763929152,0.1818560335420429
22,0,1.2674243368851863,0.19360101577585184
23,0,0.2035297353210829,0.09209798896166083
24,0,0.6056263229734931,0.11905161488868493
25,0,1.0546829435758254,0.07500255096270825
26,0,0.0621682785103386,0.2201426138163034
27,0,0.6433059175543,0.21969066887159297
28,0,0.6786025247039494,0.16994561980043948
29,0,0.2812014860366452,0.18146520282521644
30,0,0.4988145094729804,0.22621760660147983
31,0,0.34631944247888546,0.21600428695293883
32,0,1.8917348593740644,0.23755011379364063
33,0,0.17247005399782245,0.15988654259382823
34,0,0.7189239771154388,0.10134363862445438
35,0,0.9659063228039593,0.0833055897262896
36,0,0.0707617550881887,0.04535133177193189
37,0,1.2293867485858614,0.2243790677107086
38,0,0.8691655292782787,0.25123627616488275
39,0,0.15827350663996365,0.1477446638329996
40,0,0.3414242416682629,0.08990608858708263
41,0,0.522046703067853,0.10485058477112853
42,0,1.8036658502822855,0.11008425480092285
43,0,0.11173748140568716,0.08116366460360687
44,0,1.0972746757074185,0.09616464446917418
45,0,0.6277663009286096,0.23663996008353613
46,0,0.1643883253805138,0.049462140439255134
47,0,1.7271893461576147,0.07593818660582614
48,0,0.5014953826614644,0.05271090097896465
49,0,0.5737884945704756,0.20731659913810477
50,0,0.13703777069145173,0.10625675598496452
51,0,0.5717262133698909,0.16437330457769891
52,0,0.5347116978858101,0.18350335535350812
53,0,0.3183573017524776,0.19176228373072476
54,0,1.816458205604471,0.2252922049946947
55,0,0.5727020845615031,0.23620199987896504
56,0,0.23983661495778213,0.09108919868472783
57,0,2.050063692526168,0.16343894004596168
58,0,0.27334982805823477,0.07035033095883234
59,0,1.0473264388331731,0.17227449241938173
60,0,0.06515224752934522,0.04642207603339345
61,0,1.4469411842123692,0.2325994833508737
62,0,0.6431506630982103,0.1288658808577821
63,0,0.5599521795604598,0.1334344944366546
64,0,1.3056965633561581,0.2593937014309616
65,0,0.2342171084226059,0.14877029235167605
66,0,0.35515993916333716,0.24067981126223342
67,0,1.2658858050491433,0.21085608767509145
68,0,0.11310721184218453,0.24538083364417185
69,0,1.6407155227051327,0.15360754890920134
70,0,0.1579627364933258,0.22586069592818325
71,0,2.090276548486787,0.15077961016981786
72,0,0.27890686079288657,0.15437563622972883
73,0,1.0817979906673092,0.1511478663150731
74,0,1.4978919325191922,0.18750823480954193
75,0,0.08649262321434048,0.1746032333697934
76,0,0.6082321088588898,0.0789350268827389
77,0,0.8019828573080545,0.13011709773438054
78,0,0.1437563835417177,0.2470024532829672
79,0,1.2928878241258324,0.06878591634890834
80,0,0.1195322392794966,0.16538868365149498
81,0,1.844883794789988,0.26017653748694985
82,0,0.4894683970670812,0.2178458624652208
83,0,1.0563938300044464,0.23742673866364444
84,0,0.9794882246835968,0.12592822268248596
85,0,0.06874390765660471,0.18902545043926605
86,0,0.898077762180963,0.1950833916534096
87,0,0.6377072570880735,0.23243880617988072
88,0,0.14470397133740595,0.17232045969307402
89,0,1.427211106981326,0.08486211724441327
90,0,0.3799903884327617,0.05520264902877762
91,0,0.9105135102010017,0.19207662348401
92,0,0.2302524882687367,0.11137957235923737
93,0,1.715955344813192,0.17497676819123192
94,0,0.4728682820969321,0.040612496372619315
95,0,0.18479238662512884,0.0749045658650013
96,0,0.8082068547182044,0.08193128649903204
97,0,0.29268555518515926,0.04647024488190159
98,0,0.14916735467308537,0.10918538274628084
99,0,0.9762024111420669,0.08411493355482066
100,0,0.7796179672480331,0.1457917607853303
101,0,1.134154069391082,0.23449346888041078
102,0,0.05431511138305875,0.04137250360983059
103,0,2.1477632666546924,0.04697688804529693
104,0,0.4092640619389709,0.1478286559157397
105,0,0.2246131894513897,0.12558362996041392
106,0,1.8265452880489546,0.05600693182473954
107,0,0.37856213911727066,0.1852079259219227
108,0,0.4082602991328632,0.11683683363412864
109,0,1.1485986134304467,0.14303490058840446
110,0,0.6674603887725798,0.2418081125287758
111,0,0.5903194761188186,0.24459527454563815
112,0,0.21636202360341872,0.07567920067873418
113,0,0.9616516569131042,0.19964956360688105
114,0,0.27208839699265697,0.16262832033507657
115,0,0.47613437786791124,0.25216037607427916
