task_id,vehicle_id,task_size_mb,task_cpu_gcycles,deadline_s,primary_rsu,local_action,collab_action,local_case,collab_case,local_secondary_rsu,collab_secondary_rsu,local_delay_s,collab_delay_s,delay_diff_s,local_energy_j,collab_energy_j,energy_diff_j,local_completed,collab_completed,local_fail_reason,collab_fail_reason
56,veh_2,2212572.0496659605,7020800.004666525,22.38004634368995,0,0,2,1,2,NONE,1,0.981337210878758,1.0194438642429158,0.03810665336415775,0.359891922758167,4.1705572591739415,3.8106653364157745,True,True,NONE,NONE
55,veh_2,2686825.3514334634,8736718.60228372,29.05420013006128,0,0,2,1,2,NONE,1,1.179810281118931,1.2260848972755274,0.04627461615659634,0.4475852161554057,5.0750468318150554,4.62746161565965,True,True,NONE,NONE
43,veh_2,2058430.2271574968,8908496.90040866,29.29098616264617,0,0,2,1,2,NONE,1,0.9373143116238465,0.972766213473749,0.035451901849902545,0.45366008639769767,3.9988502713879464,3.5451901849902487,True,True,NONE,NONE
63,veh_3,4585017.609058373,2711880.1759673036,22.486563339202856,0,0,2,1,2,NONE,1,0.7929777176394435,0.8719444915003556,0.07896677386091211,0.14349666717299991,8.040174053264213,7.896677386091213,True,True,NONE,NONE
66,veh_3,4584047.314285492,1455294.965723931,25.50325312449848,0,0,2,1,2,NONE,1,0.7942657742482716,0.8732158369306362,0.0789500626823646,0.08066573427726235,7.975672002513722,7.895006268236459,True,True,NONE,NONE
67,veh_3,4997847.4052381795,9720966.31556276,28.360275850799518,0,0,2,1,2,NONE,1,0.8753086205001573,0.9613854733046207,0.08607685280446331,0.4946625205685671,9.102347801014895,8.607685280446328,True,True,NONE,NONE
68,veh_3,4779100.949024383,2496799.9954352262,28.486957344143054,0,0,2,1,2,NONE,1,0.8401026533196416,0.9224120828743918,0.08230942955475018,0.13307717689043083,8.364020132365443,8.230942955475012,True,True,NONE,NONE
61,veh_3,4187227.5483795516,9857486.902293695,26.733645472933016,0,0,2,1,2,NONE,1,0.74794584747225,0.8200615685250587,0.07211572105280872,0.5000913793058575,7.711663484586727,7.21157210528087,True,True,NONE,NONE
69,veh_3,3456923.3763521556,4609362.632945074,22.137472991991817,0,0,2,1,2,NONE,1,0.6266812250260348,0.6862190741229686,0.059537849096933715,0.23642642598763475,6.1902113356810125,5.953784909693377,True,True,NONE,NONE
76,veh_3,3752532.7833769135,8674479.028434567,25.028503829195135,0,0,2,1,2,NONE,1,0.6863064387131479,0.7509355051588579,0.06462906644570998,0.44019175310869624,6.903098397679694,6.462906644570998,True,True,NONE,NONE
64,veh_3,3345840.643499396,3506906.3020024644,24.218816398344043,0,0,2,1,2,NONE,1,0.6197165794378149,0.677341274476691,0.05762469503887613,0.1811121491313177,5.943581653018926,5.762469503887608,True,True,NONE,NONE
73,veh_3,3667304.9702168545,2393171.427466577,27.18408275296326,0,0,2,1,2,NONE,1,0.6775167955113276,0.7406780016297023,0.06316120611837472,0.12597947585098382,6.442100087688453,6.316120611837469,True,True,NONE,NONE
75,veh_3,3626585.6041228226,1514487.4561673477,27.479755603790643,0,0,2,1,2,NONE,1,0.6720129622780157,0.7344728674967483,0.06245990521873268,0.08197509407912755,6.327965615952396,6.245990521873268,True,True,NONE,NONE
79,veh_3,2705611.6850027936,9012585.827164937,21.198866139471242,0,0,2,1,2,NONE,1,0.5222880496847806,0.5688862188309477,0.0465981691461671,0.45529263764480304,5.1151095522615195,4.659816914616717,True,True,NONE,NONE
72,veh_3,3269022.457970489,9958804.205434425,29.57317640859673,0,0,2,1,2,NONE,1,0.6293553765392043,0.6856570484618589,0.05630167192265467,0.5035746417847673,6.133741834050228,5.630167192265461,True,True,NONE,NONE
80,veh_3,2738646.0433658743,6574433.592988928,25.945191535334413,0,0,2,1,2,NONE,1,0.5445150333098921,0.5916821461175502,0.04716711280765806,0.33344196339426946,5.050153244160072,4.716711280765802,True,True,NONE,NONE
71,veh_3,2795609.1745164557,5095075.30605229,27.840706019485694,0,0,2,1,2,NONE,1,0.5594281770251738,0.6075763536104475,0.048148176585273705,0.2595722297315298,5.074389888258904,4.814817658527374,True,True,NONE,NONE
78,veh_3,2557474.88294217,7076912.982436812,25.950351064500275,0,0,2,1,2,NONE,1,0.5254606685013706,0.569507509311156,0.04404684080978538,0.3582536693356935,4.762937750314233,4.404684080978539,True,True,NONE,NONE
74,veh_3,2890123.4764836924,6212622.617346306,29.68709364969159,0,0,2,1,2,NONE,1,0.5890080369737338,0.6387840130892259,0.049775976115492115,0.3156124985397184,5.293210110088943,4.977597611549224,True,True,NONE,NONE
62,veh_3,2295253.6134558767,4053723.4485546686,24.02621282102269,0,0,2,1,2,NONE,1,0.4905310025122864,0.5300616626975665,0.03953066018528012,0.20664223252103653,4.1597082510490395,3.953066018528003,True,True,NONE,NONE
65,veh_3,2749419.3436463014,4988176.705481112,29.23265599276013,0,0,2,1,2,NONE,1,0.5737984120841942,0.6211510711295154,0.047352659045321155,0.254147687696023,4.989413592228143,4.7352659045321195,True,True,NONE,NONE
70,veh_3,2175906.199916537,9867779.594017534,23.78973118976916,0,0,2,1,2,NONE,1,0.4848164415855413,0.5222916068917557,0.037475165306214364,0.4971393346219173,4.244655865243344,3.747516530621427,True,True,NONE,NONE
77,veh_3,2472298.1838184497,1721003.1871652817,29.607789032744506,0,0,2,1,2,NONE,1,0.5376230630510211,0.5802029238595448,0.042579860808523606,0.09031137046208788,4.348297451314449,4.257986080852361,True,True,NONE,NONE
86,veh_4,4988289.343565283,2918388.810403364,20.73260721099633,0,0,2,1,2,NONE,1,0.17014317343275964,0.2560554097931811,0.08591223636042145,0.14759168836639175,8.73881532440854,8.591223636042148,True,True,NONE,NONE
92,veh_4,4816790.011781312,2038858.03377192,21.342911143933676,0,0,2,1,2,NONE,1,0.16643277819648064,0.24939131838711495,0.08295854019063431,0.10355765700211904,8.39941167606555,8.295854019063432,True,True,NONE,NONE
82,veh_4,4804118.773209281,7445726.207104733,22.042591994235366,0,0,2,1,2,NONE,1,0.17345372047563629,0.2561940266449054,0.08274030616926914,0.37389681782948025,8.647927434756388,8.274030616926908,True,True,NONE,NONE
88,veh_4,4637810.727453629,2419721.4912150875,23.69527088738884,0,0,2,1,2,NONE,1,0.1702982186353642,0.2501742370395239,0.0798760184041597,0.12254082980168306,8.110142670217657,7.987601840415974,True,True,NONE,NONE
91,veh_4,4451312.405346384,6970498.434694696,22.993787521999778,0,0,2,1,2,NONE,1,0.1710166455483768,0.24768064339274926,0.07666399784437244,0.35001715626044666,8.01641694069769,7.666399784437243,True,True,NONE,NONE
90,veh_4,4961699.190894512,1070407.9643694216,26.539763177107325,0,0,2,1,2,NONE,1,0.18919699129081036,0.2746512711607853,0.08545427986997495,0.05518373212196359,8.600611719119458,8.545427986997494,True,True,NONE,NONE
95,veh_4,3902713.876655239,5396786.669344389,22.639839016304094,0,0,2,1,2,NONE,1,0.15909291205301998,0.22630851522383746,0.06721560317081748,0.2711476587116406,6.992707975793389,6.721560317081749,True,True,NONE,NONE
89,veh_4,4501234.863919421,6505099.891533551,27.03539925087371,0,0,2,1,2,NONE,1,0.18566251428067446,0.2631863159105175,0.07752380162984304,0.32676396484445985,8.079144127828762,7.752380162984302,True,True,NONE,NONE
96,veh_4,4716009.47323797,1830686.2094146009,28.461037132948555,0,0,2,1,2,NONE,1,0.19469319137112623,0.2759160099843755,0.08122281861324926,0.09311528064732279,8.215397141972248,8.122281861324925,True,True,NONE,NONE
99,veh_4,4223692.725043792,4849182.270826114,25.516804211263914,0,0,2,1,2,NONE,1,0.1830382062786558,0.2557819592399471,0.07274375296129132,0.2438750420442655,7.518250338173395,7.274375296129129,True,True,NONE,NONE
98,veh_4,4313357.669058882,3357597.361909134,26.371133773013796,0,0,2,1,2,NONE,1,0.18940168399721283,0.26368971703788757,0.07428803304067474,0.16932585540198294,7.598129159469454,7.428803304067471,True,True,NONE,NONE
97,veh_4,3270727.317691179,1031911.2017900407,22.766802239722516,0,0,2,1,2,NONE,1,0.15548100445301782,0.2118120388086023,0.05633103435558448,0.05269202148856844,5.685795457047016,5.633103435558447,True,True,NONE,NONE
94,veh_4,3814489.481090672,2832375.8109470764,27.176121871387977,0,0,2,1,2,NONE,1,0.17654217663031121,0.24223830997841764,0.06569613334810642,0.1428975399100837,6.71251087472073,6.569613334810646,True,True,NONE,NONE
81,veh_4,3257674.7460076176,5705044.43978763,25.83672289291225,0,0,2,1,2,NONE,1,0.1635808571654206,0.2196870898813335,0.05610623271591292,0.28634430771306457,5.89696757930436,5.610623271591296,True,True,NONE,NONE
84,veh_4,2899991.2393962867,7766780.431729619,23.16177196271854,0,0,2,1,2,NONE,1,0.15935684411336679,0.20930277059085817,0.04994592647749138,0.3893111993753262,5.383903847124465,4.994592647749139,True,True,NONE,NONE
83,veh_4,2716057.857847538,7045212.006639741,23.957858467912544,0,0,2,1,2,NONE,1,0.1602359703146536,0.2070140516528946,0.04677808133824102,0.35317111726277883,5.0309792510868805,4.677808133824102,True,True,NONE,NONE
100,veh_4,2029009.0988250198,8947957.539701287,20.75243860073767,0,0,2,1,2,NONE,1,0.14615166712537292,0.18109685519882807,0.03494518807345515,0.44807807130856625,3.9425968786540793,3.494518807345513,True,True,NONE,NONE
87,veh_4,2795601.244251204,8927777.563177956,29.332593779937092,0,0,2,1,2,NONE,1,0.1807782760078384,0.2289263160118564,0.04814804000401798,0.4473260607955926,5.262130061197389,4.8148040004017965,True,True,NONE,NONE
93,veh_4,2321107.933128253,3451133.9108333467,25.53223640884816,0,0,2,1,2,NONE,1,0.1683227460721491,0.20829868965413031,0.03997594358198123,0.17333481153989688,4.170929169738018,3.9975943581981217,True,True,NONE,NONE
85,veh_4,2217629.3434794717,9986089.967689982,24.582855226185863,0,0,2,1,2,NONE,1,0.17483987430261258,0.2130336283523011,0.03819375404968853,0.5000479247653564,4.31942332973421,3.819375404968854,True,True,NONE,NONE
119,veh_10,4911201.833066683,9662808.841853999,21.785678161724636,5,0,1,1,2,NONE,0,6.1122473651223,6.279421574432536,0.16717420931023597,0.5441662876555043,17.261587218679182,16.71742093102368,False,False,COVERAGE_VIOLATION,COVERAGE_VIOLATION
111,veh_10,4432247.949723167,8086370.58221924,22.66805709594472,5,0,1,1,2,NONE,0,5.5251929390092265,5.676063860557001,0.15087092154777437,0.4593929667068135,15.546485121484237,15.087092154777423,True,True,NONE,NONE
106,veh_10,4652404.104353027,6585953.591356415,24.063773898321166,5,0,1,1,2,NONE,0,5.805341575398196,5.963706473436048,0.1583648980378518,0.3871077439916485,16.22359754777686,15.83648980378521,False,False,COVERAGE_VIOLATION,COVERAGE_VIOLATION
101,veh_10,4711785.714679679,8511355.178974152,25.455902892055224,5,0,1,1,2,NONE,0,5.887639614656534,6.048025825214489,0.160386210557955,0.4841156902133289,16.522736746008757,16.038621055795428,False,False,COVERAGE_VIOLATION,COVERAGE_VIOLATION
108,veh_10,4928618.098792888,8932745.841969918,28.107717199403968,5,0,1,1,2,NONE,0,6.166004976702852,6.33377202470123,0.16776704799837816,0.5078795495251607,17.284584349363026,16.776704799837866,False,False,COVERAGE_VIOLATION,COVERAGE_VIOLATION
102,veh_10,3747528.699469382,2147009.6735392488,21.480937855674828,5,0,1,1,2,NONE,0,4.700548297322238,4.828111807944651,0.12756351062241222,0.1539167042130857,12.910267766454341,12.756351062241256,True,True,NONE,NONE
110,veh_10,4792447.658144977,8776576.255377514,28.022351389371387,5,0,1,1,2,NONE,0,6.007725248175243,6.170857140356267,0.16313189218102409,0.4983790370509752,16.81156825515339,16.313189218102416,False,False,COVERAGE_VIOLATION,COVERAGE_VIOLATION
117,veh_10,3924445.215822883,9830347.184784342,23.99678384360061,5,0,1,1,2,NONE,0,4.938988987963869,5.072574625092301,0.13358563712843186,0.540281917447355,13.898845630290472,13.358563712843116,True,True,NONE,NONE
104,veh_10,4582107.746002708,2890688.8450577864,28.989246365264748,5,0,1,1,2,NONE,0,5.7590811147334655,5.915053169120404,0.15597205438693873,0.20147101484027266,15.798676453534226,15.597205438693953,False,False,COVERAGE_VIOLATION,COVERAGE_VIOLATION
116,veh_10,4593058.826090859,3512124.934496843,29.66889104048361,5,0,1,1,2,NONE,0,5.776200884902696,5.93254570714098,0.1563448222382835,0.23267889576457282,15.867161119592941,15.634482223828368,False,False,COVERAGE_VIOLATION,COVERAGE_VIOLATION
120,veh_10,2796399.087568906,4911073.8270817995,21.08402547214711,5,0,1,1,2,NONE,0,3.548609946824362,3.643797606030844,0.09518765920648198,0.2803013202747665,9.79906724092293,9.518765920648164,True,True,NONE,NONE
105,veh_10,2748589.217668773,8021046.176842984,21.027936216717855,5,0,1,1,2,NONE,0,3.4972231772348263,3.5907834186585634,0.09356024142373709,0.4352058596051619,9.791230001978878,9.356024142373716,True,True,NONE,NONE
118,veh_10,3608647.197436166,2038075.7666628482,29.392371403247157,5,0,1,1,2,NONE,0,4.567956192292327,4.690792264279678,0.12283607198735158,0.1467442884890635,12.430351487224238,12.283607198735174,True,True,NONE,NONE
114,veh_10,2915572.6020158017,3048359.3866699333,27.953454991528616,5,0,1,1,2,NONE,0,3.7098006211287444,3.809044871517092,0.0992442503883475,0.18864643018391528,10.113071469018669,9.924425038834753,True,True,NONE,NONE
103,veh_10,2924775.049790401,8165100.743992375,28.9898148874259,5,0,1,1,2,NONE,0,3.7294005432419453,3.8289580391418254,0.09955749589988017,0.44459784626372933,10.400347436251712,9.955749589987983,True,True,NONE,NONE
113,veh_10,2667301.152636993,5142729.112110479,28.16586605596929,5,0,1,1,2,NONE,0,3.4146101313793564,3.5054033783972534,0.09079324701789693,0.29027993325988755,9.369604635049598,9.07932470178971,True,True,NONE,NONE
115,veh_10,2070993.3041043545,3954357.5607793587,21.931297883277086,5,0,1,1,2,NONE,0,2.6776014434503517,2.748096747831734,0.07049530438138252,0.22345172523843376,7.272982163376696,7.049530438138262,True,True,NONE,NONE
107,veh_10,2463660.014996614,8781451.265979676,29.298810156936746,5,0,1,1,2,NONE,0,3.174304565848352,3.2581659971263917,0.08386143127803969,0.4696856272097698,8.855828755013755,8.386143127803985,True,True,NONE,NONE
