Method,Episode Mean (J),Episode Std (J),Episode 95% CI (z=1.96),Seed Mean (J),Seed Std (J),Seed 95% CI (t df=4)
COTOP,0.2965,0.032,"[0.2926, 0.3005]",0.2965,0.0042,"[0.2913, 0.3018]"
LOCAL,0.2965,0.032,"[0.2926, 0.3005]",0.2965,0.0042,"[0.2913, 0.3018]"
GREEDY,3.3557,0.7332,"[3.2648, 3.4466]",3.3557,0.0298,"[3.3187, 3.3927]"
