Method,Episode Mean (s),Episode Std (s),Episode 95% CI (z=1.96),Seed Mean (s),Seed Std (s),Seed 95% CI (t df=4)
COTOP,4.4438,1.5152,"[4.2559, 4.6316]",4.4438,0.2029,"[4.1919, 4.6956]"
LOCAL,4.4439,1.5153,"[4.2560, 4.6317]",4.4439,0.2029,"[4.1920, 4.6958]"
GREEDY,4.4719,1.5203,"[4.2835, 4.6604]",4.4719,0.2028,"[4.2202, 4.7237]"
