episode,seed,geometry,reward,moving_avg_reward,actor_loss,critic_loss,entropy,total_loss,steps,cum_opt_steps,ep_wall_time_sec
1,4,grid_200m,-1218.9735656696143,-1218.9735656696143,-12.737534523010254,2944985.0,5.14416646523358e-35,1472479.75,600,1,3.5476
2,4,grid_200m,-1261.7542814258427,-1240.3639235477285,-3.0089128017425537,1344398.875,-0.0,672196.4375,600,2,2.8379
3,4,grid_200m,-1300.2195097685913,-1260.3157856213495,-0.6881645321846008,443513.4375,-0.0,221756.03125,600,3,2.806
4,4,grid_200m,-1340.645064024803,-1280.398105222213,0.8376963138580322,108231.6640625,-0.0,54116.66796875,600,4,3.4662
5,4,grid_200m,-1371.3554599644758,-1298.5895761706656,0.39732179045677185,188234.921875,-0.0,94117.859375,600,5,3.2129
6,4,grid_200m,-1375.4409565446547,-1311.3981395663304,2.5882174968719482,416885.53125,-0.0,208445.359375,600,6,3.1914
7,4,grid_200m,-1380.5928014898225,-1321.2830912696863,0.3692680299282074,692136.375,-0.0,346068.5625,600,7,3.2509
8,4,grid_200m,-1353.1273413495724,-1325.2636225296721,1.5240192413330078,619494.4375,-0.0,309748.75,600,8,2.9012
9,4,grid_200m,-1386.8167056139312,-1332.1028539834788,0.07722378522157669,582585.375,7.279745522167425e-42,291292.75,600,9,2.6507
10,4,grid_200m,-1335.0349410931672,-1332.3960626944477,1.8430039882659912,358431.96875,-0.0,179217.828125,600,10,3.3695
11,4,grid_200m,-1379.527360308882,-1336.6807261139418,0.8802953958511353,266509.71875,-0.0,133255.734375,600,11,3.2053
12,4,grid_200m,-1342.3238737625795,-1337.1509884179948,1.4685794115066528,120656.65625,-0.0,60329.796875,600,12,2.8402
13,4,grid_200m,-1336.7931214544421,-1337.1234601900292,0.017399132251739502,61617.12109375,-0.0,30808.578125,600,13,2.9609
14,4,grid_200m,-1318.6542583792798,-1335.8042314892614,-0.5461635589599609,49867.44140625,-0.0,24933.173828125,600,14,3.4425
15,4,grid_200m,-1298.1085376473218,-1333.291185233132,-0.6264844536781311,69633.6171875,-0.0,34816.18359375,600,15,3.0821
16,4,grid_200m,-1357.571524078638,-1334.8087064109761,-0.017233476042747498,126748.1171875,-0.0,63374.04296875,600,16,2.8852
17,4,grid_200m,-1347.5520629134091,-1335.5583156170014,-1.072279930114746,168543.703125,-0.0,84270.78125,600,17,2.7785
18,4,grid_200m,-1353.704164388457,-1336.566418326527,-0.05120500177145004,195089.34375,-0.0,97544.6171875,600,18,2.6031
19,4,grid_200m,-1364.3615983327118,-1338.0293225373787,-0.8415090441703796,200434.5,-0.0,100216.40625,600,19,2.7126
20,4,grid_200m,-1368.202310977612,-1339.5379719593905,-1.6733076572418213,157807.34375,-0.0,78902.0,600,20,2.4104
21,4,grid_200m,-1385.2459755168063,-1341.7145435573625,-0.054120998829603195,128927.84375,-0.0,64463.8671875,600,21,2.4793
22,4,grid_200m,-1373.0566440137331,-1343.1391844871976,-0.4234663248062134,85572.3359375,-0.0,42785.74609375,600,22,2.3836
23,4,grid_200m,-1400.0764755939517,-1345.6147188831435,-0.12877920269966125,60017.26171875,-0.0,30008.501953125,600,23,2.3279
24,4,grid_200m,-1368.7324564088085,-1346.5779579467128,0.0791940987110138,33505.45703125,-0.0,16752.80859375,600,24,2.523
25,4,grid_200m,-1404.3943210776456,-1348.8906124719504,0.009804820641875267,31042.166015625,-0.0,15521.0927734375,600,25,2.6474
26,4,grid_200m,-1393.8274358467868,-1350.6189518325211,0.03499618545174599,37204.51171875,-0.0,18602.291015625,600,26,2.771
27,4,grid_200m,-1434.418664834268,-1353.7226449066598,0.7632790207862854,42123.1015625,-0.0,21062.314453125,600,27,2.473
28,4,grid_200m,-1412.9836325090096,-1355.8391087496007,1.258738398551941,66461.171875,-0.0,33231.84375,600,28,2.703
29,4,grid_200m,-1408.6658779138556,-1357.6607214794026,0.5136235952377319,61350.90625,-0.0,30675.966796875,600,29,2.44
30,4,grid_200m,-1443.931392207905,-1360.5364105036858,1.005494236946106,64865.28515625,-0.0,32433.6484375,600,30,2.5334
31,4,grid_200m,-1417.642126955061,-1367.1586958798673,0.7401312589645386,76195.0703125,-0.0,38098.2734375,600,31,2.5944
32,4,grid_200m,-1465.3227990307043,-1373.9443131333626,-0.0805680975317955,61802.5390625,-0.0,30901.189453125,600,32,2.3995
33,4,grid_200m,-1408.717330105719,-1377.5609071446004,0.20699331164360046,44094.51171875,-0.0,22047.462890625,600,33,2.4191
34,4,grid_200m,-1403.8793711579838,-1379.6687173823732,1.7908467054367065,29803.7109375,-0.0,14903.646484375,600,34,2.614
35,4,grid_200m,-1393.423094812449,-1380.404305210639,0.1610623002052307,23197.1796875,-0.0,11598.7509765625,600,35,2.3544
36,4,grid_200m,-1372.3134341358314,-1380.3000544636782,0.10560411959886551,21459.1484375,-0.0,10729.6796875,600,36,2.7788
37,4,grid_200m,-1412.2901308520532,-1381.356632109086,-0.26375988125801086,23368.271484375,-0.0,11683.8720703125,600,37,2.8292
38,4,grid_200m,-1421.7943756105647,-1383.6455332511189,-0.9996461272239685,31061.130859375,-0.0,15529.5654296875,600,38,2.526
39,4,grid_200m,-1399.1856597072508,-1384.057831720896,-0.3884963095188141,30192.869140625,-0.0,15096.0458984375,600,39,2.9029
40,4,grid_200m,-1364.4948177363071,-1385.0398276090007,-0.8105322122573853,28206.5390625,-0.0,14102.458984375,600,40,2.687
41,4,grid_200m,-1402.1580445057773,-1385.7941837488975,-1.10297429561615,35973.3828125,-0.0,17985.587890625,600,41,2.3347
42,4,grid_200m,-1412.8876738963206,-1388.146310420022,-0.7265707850456238,35698.34765625,-0.0,17848.447265625,600,42,2.7238
43,4,grid_200m,-1381.4322585855948,-1389.6342816577271,-0.4558255970478058,28122.58984375,-0.0,14060.8388671875,600,43,2.9834
44,4,grid_200m,-1421.2281998304472,-1393.0534130394326,-0.416916161775589,22058.533203125,-0.0,11028.849609375,600,44,2.644
45,4,grid_200m,-1388.572080782359,-1396.0688644772672,-0.43441563844680786,19041.517578125,-0.0,9520.32421875,600,45,2.4822
46,4,grid_200m,-1408.7185924457533,-1397.773766756171,-0.245692640542984,21175.171875,-0.0,10587.33984375,600,46,2.4572
47,4,grid_200m,-1406.966772618639,-1399.7542570796786,-0.1956329345703125,18134.76171875,-0.0,9067.185546875,600,47,2.4976
48,4,grid_200m,-1432.2932665935787,-1402.3738938198496,-0.05100460350513458,18088.30859375,-0.0,9044.103515625,600,48,2.47
49,4,grid_200m,-1417.616513311642,-1404.1490576524807,-0.7090601921081543,20278.783203125,-0.0,10138.6826171875,600,49,2.6164
50,4,grid_200m,-1422.0905225245394,-1405.9453313707115,0.2597292363643646,20084.779296875,-0.0,10042.6494140625,600,50,2.3019
51,4,grid_200m,-1434.6640906704656,-1407.5926018758335,0.12662754952907562,22194.322265625,-0.0,11097.2880859375,600,51,2.4434
52,4,grid_200m,-1434.983714063302,-1409.6568375441527,0.31339776515960693,21284.162109375,-0.0,10642.39453125,600,52,2.399
53,4,grid_200m,-1449.3073276541027,-1411.2978659461578,0.17833562195301056,21505.24609375,-0.0,10752.8017578125,600,53,2.3621
54,4,grid_200m,-1483.592192508676,-1415.126523816153,0.3016948103904724,18784.67578125,-0.0,9392.6396484375,600,54,2.3366
55,4,grid_200m,-1500.0646714009608,-1418.3155354935966,-0.05079716444015503,21158.54296875,-0.0,10579.220703125,600,55,2.3333
56,4,grid_200m,-1427.0285385468458,-1419.4222389169324,-0.022384801879525185,13617.5751953125,-0.0,6808.76513671875,600,56,2.3375
57,4,grid_200m,-1432.6345435399699,-1419.3627682071226,0.16450659930706024,15464.9814453125,-0.0,7732.6552734375,600,57,2.3303
58,4,grid_200m,-1437.5921490277146,-1420.1830520910794,0.20843148231506348,14172.3818359375,-0.0,7086.3994140625,600,58,2.3612
