task_id,decision,delay_s,energy_j
0,0,0.8388944162660672,0.21479636492056067
1,0,0.09834445470779879,0.088600860058578
2,0,0.5144319958416103,0.2130524400164161
3,1,0.7853464252442997,3.579678598518881
4,1,0.24813304604422554,3.5142061367402317
5,1,1.9110096213607801,3.9158888645364445
6,1,0.30381569674126907,3.3146006933321934
7,1,0.6935665540002297,5.324043527537686
8,1,0.9823415671631666,3.7255030562619207
9,1,0.16889937208796368,6.003130552164362
10,0,0.6562777934575768,0.14206273127282576
11,0,0.16405452385616195,0.18229499412116162
12,0,1.7323398860984323,0.04316407969098432
13,1,0.29746739297380165,2.258509138947914
14,1,0.5321015923338579,3.8525045093835786
15,1,0.8720564107948068,2.4558359305996635
16,1,0.20223855215339231,4.248569461726597
17,1,0.5851884151139646,2.8983688027379917
18,1,0.878639067561928,4.948439241419829
19,1,0.25772255717631776,6.015272129205524
20,0,0.5960669349472952,0.14451891165757294
21,0,0.37159160165743,0.04374071945457429
22,1,1.510431310565264,2.8078624017008575
23,1,0.30499163866165957,4.5057632861821775
24,1,0.4601374319419915,1.9507502269285493
25,1,1.3421551584747706,5.008227629301702
26,1,0.07660289612349301,2.7244008119272407
27,1,1.674450559142714,5.101875833701705
28,1,0.42297991608118707,3.828887857213356
29,1,0.3843853203336259,4.7051685091432995
30,0,0.5357378961271777,0.1834714297751218
31,0,0.26977361677889244,0.09788660408588892
32,1,1.172954547882556,2.1689731486717627
33,1,0.23846139929901267,3.5436891869982863
34,1,0.9334834672645492,3.969591108273766
35,1,0.9876970895820149,3.7409345981909876
36,1,0.14423214959982167,5.131956246998049
37,1,1.0026555595787836,3.21193647194361
38,1,0.3621914842482211,3.2678084142113004
39,1,0.3310082450110536,3.968765681324961
40,0,0.22515815237308642,0.14901024391973086
41,0,0.6615067866235729,0.13315524076903576
42,1,1.5553558933009848,3.919298454675209
43,1,0.0904488969227052,3.9077964182141747
44,1,1.2170021067109884,3.2416138065376083
45,1,0.7092433289995649,3.9321317119779784
46,1,0.3219431616741933,5.117914032504162
47,1,2.1317562132590564,5.682888936197118
48,1,0.40796139913045293,6.426749697888845
49,1,0.8544493816681369,5.962264129990434
50,0,0.09909149396778336,0.16743132069957783
51,0,0.9246016511250018,0.19334755133875
52,1,1.1257912725099741,4.292465568247901
