condition_id,geometry,workload,metric,n_pairs,mean_cotop,mean_ddqn,mean_diff,std_diff,sem,t_stat,p_value_ttest,w_stat,p_value_wilcoxon,cohens_dz,cohens_dz_ci_low,cohens_dz_ci_high,cles
corridor_2400m_w20_delay,corridor_2400m,w20,delay,5,0.67982,0.6806599999999999,-0.0008399999999999,0.0012381437719425,0.0005537147279962,-1.5170266520446032,0.2038580329330999,0.0,0.125,-0.6784349435301305,-2.055583614398773,0.698713727338512,0.1
corridor_2400m_w20_energy,corridor_2400m,w20,energy,5,0.14442,0.2319399999999999,-0.08752,0.129681887709888,0.0579955032739608,-1.5090825160456065,0.2057800075168195,0.0,0.125,-0.6748822179068786,-2.050684591548294,0.7009201557345365,0.1
corridor_2400m_w30_delay,corridor_2400m,w30,delay,5,0.6878,0.675,0.0127999999999999,0.0130023074875192,0.0058148086812895,2.2012762072786507,0.0925209485758907,1.0,0.25,0.984440647345596,-0.528434937497987,2.497316232189179,0.7
corridor_2400m_w30_energy,corridor_2400m,w30,energy,5,1.5889600000000002,0.25172,1.33724,1.357637640535942,0.6071540106101581,2.20247248083916,0.0923976669797481,1.0,0.25,0.9849756371457924,-0.5281683520020857,2.4981196262936707,0.7
corridor_2400m_w40_delay,corridor_2400m,w40,delay,5,0.6878,0.6772,0.0105999999999999,0.0114149025401008,0.00510489960724,2.0764365248175305,0.1064514021476826,1.0,0.25,0.9286106440910856,-0.5568050612876876,2.4140263494698586,0.7
corridor_2400m_w40_energy,corridor_2400m,w40,energy,5,1.29366,0.1912599999999999,1.1024,1.1919920322720283,0.5330750425596756,2.068001523212542,0.1074732267820071,1.0,0.25,0.9248383966952708,-0.558762016890129,2.4084388102806704,0.7
grid_200m_w20_delay,grid_200m,w20,delay,5,0.25676,0.25676,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5
grid_200m_w20_energy,grid_200m,w20,energy,5,0.1396,0.1396,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.5
grid_200m_w30_delay,grid_200m,w30,delay,5,0.2836599999999999,0.26954,0.0141199999999999,0.0079074015959732,0.0035362974987972,3.992876731893245,0.0162259998825334,0.0,0.125,1.7856687596580996,-0.2142609292162345,3.7855984485324337,0.9
grid_200m_w30_energy,grid_200m,w30,energy,5,1.65368,0.13966,1.51402,0.8477938116075158,0.3791449187316111,3.993248821756579,0.0162209730032037,0.0,0.125,1.7858351633037304,-0.2142090597191945,3.785879386326656,0.9
grid_200m_w40_delay,grid_200m,w40,delay,5,0.28344,0.2705,0.0129399999999999,0.0072772247457392,0.0032544738438033,3.976065140187984,0.0164550882516443,0.0,0.125,1.778150387285513,-0.2166087757426922,3.7729095503137176,0.9
grid_200m_w40_energy,grid_200m,w40,energy,5,1.52904,0.1392199999999999,1.3898199999999998,0.7819696362391573,0.3497074525943077,3.974236149929343,0.0164802453059805,0.0,0.125,1.7773324379758115,-0.2168647152668659,3.771529591218489,0.9
