experiment_id,source_artifact,algorithm,geometry,workload,seed,realization_hash,checkpoint_hash,git_sha,tasks_generated,tasks_completed,completion_ratio,mean_delay_s,mean_energy_j,comm_delay_s,comp_delay_s,wait_delay_s
corridor_2400m_CoTOP_w30_seed4,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,corridor_2400m,w30,4,68fdabb746ce62ee8c5678ad5e5cda55d1106f59878f693a9e2feac4f2c5eedf,9ecd8182c746577ab006b09d156356812effaeb6d204b14e445294c1ac0267c7,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,300,300,1.0,0.688,2.6028,0.6617,0.0263,0.0
corridor_2400m_CoTOP_w40_seed0,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,corridor_2400m,w40,0,44d9f614ddd143b42301cb4e3f81b7e8d0af8cc3df9754c534e0305464913393,7dfd99cb293fee3436086c79124730473b10d688833e519904c7e6a33a0188c4,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,400,400,1.0,0.7038,2.6257,0.6773,0.0265,0.0
corridor_2400m_CoTOP_w40_seed1,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,corridor_2400m,w40,1,a285b459e4a82f6a4db29d76be04b3024a48a46f5ea673f78610a098a8a1c076,88a3d39b13c75d6ccba878cb04cfafc9f08e1692262fe0b4277b3cacd81f6c38,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,400,400,1.0,0.6816,1.1396,0.6692,0.0123,0.0
corridor_2400m_CoTOP_w40_seed2,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,corridor_2400m,w40,2,cd1c4af1db1d5860d10534e5f47dc59bc42cfa9aea4c2f390561eabb3cb949a0,c317a042c7b5e39ecd060812c886f7387f9a91f7e7f96a7f7a2875529575043f,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,400,400,1.0,0.7017,2.4119,0.6772,0.0245,0.0
corridor_2400m_CoTOP_w40_seed3,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,corridor_2400m,w40,3,63f5af78d892bf2823a66bac64778a622b81ef40e3b1268428ff7a36639585b5,ec8eca21c8796660cfcf7320a4f3255d1df6db38aea4be8deadacd8b8f7392a2,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,400,400,1.0,0.6687,0.1478,0.6659,0.0028,0.0
corridor_2400m_CoTOP_w40_seed4,results/phase2_algorithmic_fidelity/summary_60cell.csv,CoTOP,corridor_2400m,w40,4,f1a93d11d03baa3ebd7e68aa8326f61ac42981de2d8776c94e3ebe089cdbb214,9a6c5bda2d53e2e367a2e1726682a3768bfc834bc17e69895bb275ceaa578b17,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,400,400,1.0,0.6832,0.1433,0.6804,0.0027,0.0
corridor_2400m_DDQN_w20_seed0,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,corridor_2400m,w20,0,11f3549c1e5dbb54c448763da011f774ef914ab6eb3f4c653701aa658b53714f,ccad013ccca5f8e60a1531646373a005c63627f88fa405641eb06447cd03e292,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,200,200,1.0,0.6744,0.1505,0.6717,0.0027,0.0
corridor_2400m_DDQN_w20_seed1,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,corridor_2400m,w20,1,f6ccaabce93cc82ed741df73bf5e6ae1b0cf217541059f786dc44e80533819e2,f5b87f55d07252b9897dedb7a1ef235a9f02cfedb5b060fb2ac9e7a1cbd5e6b1,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,200,200,1.0,0.6965,0.2113,0.6931,0.0034,0.0
corridor_2400m_DDQN_w20_seed2,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,corridor_2400m,w20,2,4e53761babda8d39eed3f5109329fb0b010d8ce2e5a692aaf745c0032cff1ba1,ba8c519ffed67f23cfbc04e3cdf900545fb5c23b21db615003f64663b41bf5e2,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,200,200,1.0,0.6819,0.4671,0.676,0.0059,0.0
corridor_2400m_DDQN_w20_seed3,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,corridor_2400m,w20,3,c704c2fe624b164e26c8d1e198c240edb5beeb6b32535665b8331c2db9890b75,3e51dd0eab1dfc34a48e2dea213e77cd39a248e218c73107f145abf61564c817,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,200,200,1.0,0.6728,0.1456,0.6701,0.0028,0.0
corridor_2400m_DDQN_w20_seed4,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,corridor_2400m,w20,4,9d693f1775a70d4f8d9eb927123a6b39f02c052eaddf798cb66be93ca26b2e9f,c153d358a0824114aaa41b17a216237bb1f04053f5d19c99db8ff94191a8af34,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,200,200,1.0,0.6777,0.1852,0.6746,0.0031,0.0
corridor_2400m_DDQN_w30_seed0,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,corridor_2400m,w30,0,cef38e3680b4e9aed1b2b71aa0f21fdb504e1917a3ee4eea64ce22b8ec295b69,8e0f0629a276692ddd7a64c06eb36972956e5e2b6334147260e1b329c3263e3e,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,300,300,1.0,0.6718,0.1377,0.6692,0.0026,0.0
corridor_2400m_DDQN_w30_seed1,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,corridor_2400m,w30,1,ac85df141e2b16acd81d3e178114163cdbc926685e4bc43a5ed6ea7f2ba484d8,ead1535499537058ec9519eacca27dbb99f5cd12d2940eeff9b188bcbfb840d5,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,300,300,1.0,0.6833,0.4144,0.678,0.0053,0.0
corridor_2400m_DDQN_w30_seed2,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,corridor_2400m,w30,2,914cedafcd4d5afb953c80be132c0f8b7239980277c0bd401903d40057fff678,73aeb1a14e4878975a4f09d1c0f6d161af33576285df1997e74004246164e9fb,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,300,300,1.0,0.6685,0.2368,0.6648,0.0037,0.0
corridor_2400m_DDQN_w30_seed3,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,corridor_2400m,w30,3,db6429caf9a88a760fa0e8435ace745f4ff2eeab20448f3d0b07a611f7bb9259,e4d067d681693ea00613c170a49c82af3e6c7e1361ba1a026236b61854cc5dd0,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,300,300,1.0,0.687,0.3299,0.6824,0.0045,0.0
corridor_2400m_DDQN_w30_seed4,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,corridor_2400m,w30,4,68fdabb746ce62ee8c5678ad5e5cda55d1106f59878f693a9e2feac4f2c5eedf,253140625631c90a73ad4cf8745d43295022a63a4488c1da799490dd78190523,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,300,300,1.0,0.6644,0.1398,0.6617,0.0027,0.0
corridor_2400m_DDQN_w40_seed0,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,corridor_2400m,w40,0,44d9f614ddd143b42301cb4e3f81b7e8d0af8cc3df9754c534e0305464913393,34ab8a69e4b803621b96804e1c04aeee3aad72723f553d437eddde1f4554be43,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,400,400,1.0,0.6799,0.1378,0.6773,0.0026,0.0
corridor_2400m_DDQN_w40_seed1,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,corridor_2400m,w40,1,a285b459e4a82f6a4db29d76be04b3024a48a46f5ea673f78610a098a8a1c076,f915e6ecb19638ca5e01fd0110b9c16e461b5318aabcd940f3bceed1df9cd15f,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,400,400,1.0,0.6725,0.2027,0.6692,0.0033,0.0
corridor_2400m_DDQN_w40_seed2,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,corridor_2400m,w40,2,cd1c4af1db1d5860d10534e5f47dc59bc42cfa9aea4c2f390561eabb3cb949a0,20560ac3aec9f7084a0f7953b8695b8bd6011c98c6fe8c0095e028efeb13ca08,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,400,400,1.0,0.681,0.2471,0.6772,0.0038,0.0
corridor_2400m_DDQN_w40_seed3,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,corridor_2400m,w40,3,63f5af78d892bf2823a66bac64778a622b81ef40e3b1268428ff7a36639585b5,e2f313dd0c407a565be211d998809029bddaad42aec62dce4047e6c19cc5e10d,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,400,400,1.0,0.6694,0.2254,0.6659,0.0036,0.0
corridor_2400m_DDQN_w40_seed4,results/phase2_algorithmic_fidelity/summary_60cell.csv,DDQN,corridor_2400m,w40,4,f1a93d11d03baa3ebd7e68aa8326f61ac42981de2d8776c94e3ebe089cdbb214,fd6e557980fb0716a5338e459fc1c9263bd239fabf1a526bb42910617508921c,4b25c60a9bc9e2a5367a8ded450e0da15ee8ba0f,400,400,1.0,0.6832,0.1433,0.6804,0.0027,0.0
