ablation_condition,geometry,workload,seed,realization_hash,mean_delay,std_delay,mean_energy,std_energy,completion_ratio,collab_ratio,N_generated,N_completed,N_failed,disabled_code_path,invariants_passed
w/o CO,corridor_2400m,30,4,68fdabb746ce62ee8c5678ad5e5cda55d1106f59878f693a9e2feac4f2c5eedf,0.7467,0.5149,0.1398,0.0631,1.0,0.0,300,300,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,corridor_2400m,40,0,44d9f614ddd143b42301cb4e3f81b7e8d0af8cc3df9754c534e0305464913393,0.7703,0.541,2.6257,1.613,1.0,0.755,400,400,0,None (Baseline Full Architecture),True
w/o MD,corridor_2400m,40,0,44d9f614ddd143b42301cb4e3f81b7e8d0af8cc3df9754c534e0305464913393,1.0063,0.5633,5.1136,3.2252,1.0,0.755,400,400,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,corridor_2400m,40,0,44d9f614ddd143b42301cb4e3f81b7e8d0af8cc3df9754c534e0305464913393,0.7802,0.5458,2.6257,1.613,1.0,0.755,400,400,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,corridor_2400m,40,0,44d9f614ddd143b42301cb4e3f81b7e8d0af8cc3df9754c534e0305464913393,0.7846,0.5418,0.1378,0.0626,1.0,0.0,400,400,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,corridor_2400m,40,1,a285b459e4a82f6a4db29d76be04b3024a48a46f5ea673f78610a098a8a1c076,0.7625,0.532,1.1396,1.6703,1.0,0.2825,400,400,0,None (Baseline Full Architecture),True
w/o MD,corridor_2400m,40,1,a285b459e4a82f6a4db29d76be04b3024a48a46f5ea673f78610a098a8a1c076,0.8206,0.539,2.1356,3.3404,1.0,0.2825,400,400,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,corridor_2400m,40,1,a285b459e4a82f6a4db29d76be04b3024a48a46f5ea673f78610a098a8a1c076,0.7745,0.5285,1.1396,1.6703,1.0,0.2825,400,400,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,corridor_2400m,40,1,a285b459e4a82f6a4db29d76be04b3024a48a46f5ea673f78610a098a8a1c076,0.7741,0.5314,0.1435,0.0648,1.0,0.0,400,400,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,corridor_2400m,40,2,cd1c4af1db1d5860d10534e5f47dc59bc42cfa9aea4c2f390561eabb3cb949a0,0.8583,0.5513,2.4119,1.6423,1.0,0.7025,400,400,0,None (Baseline Full Architecture),True
w/o MD,corridor_2400m,40,2,cd1c4af1db1d5860d10534e5f47dc59bc42cfa9aea4c2f390561eabb3cb949a0,1.1456,0.62,4.6729,3.2787,1.0,0.7025,400,400,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,corridor_2400m,40,2,cd1c4af1db1d5860d10534e5f47dc59bc42cfa9aea4c2f390561eabb3cb949a0,0.8492,0.5468,2.4119,1.6423,1.0,0.7025,400,400,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,corridor_2400m,40,2,cd1c4af1db1d5860d10534e5f47dc59bc42cfa9aea4c2f390561eabb3cb949a0,0.7966,0.5474,0.1508,0.0647,1.0,0.0,400,400,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,corridor_2400m,40,3,63f5af78d892bf2823a66bac64778a622b81ef40e3b1268428ff7a36639585b5,0.7824,0.5476,0.1478,0.0648,1.0,0.0,400,400,0,None (Baseline Full Architecture),True
w/o MD,corridor_2400m,40,3,63f5af78d892bf2823a66bac64778a622b81ef40e3b1268428ff7a36639585b5,0.7824,0.5476,0.1478,0.0648,1.0,0.0,400,400,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,corridor_2400m,40,3,63f5af78d892bf2823a66bac64778a622b81ef40e3b1268428ff7a36639585b5,0.7782,0.5474,0.1478,0.0648,1.0,0.0,400,400,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,corridor_2400m,40,3,63f5af78d892bf2823a66bac64778a622b81ef40e3b1268428ff7a36639585b5,0.7824,0.5476,0.1478,0.0648,1.0,0.0,400,400,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
Full CoTOP,corridor_2400m,40,4,f1a93d11d03baa3ebd7e68aa8326f61ac42981de2d8776c94e3ebe089cdbb214,0.7884,0.5289,0.1433,0.0627,1.0,0.0,400,400,0,None (Baseline Full Architecture),True
w/o MD,corridor_2400m,40,4,f1a93d11d03baa3ebd7e68aa8326f61ac42981de2d8776c94e3ebe089cdbb214,0.7884,0.5289,0.1433,0.0627,1.0,0.0,400,400,0,"Mobility Detection Disabled (s_ego[3]=0.0, dwell_t1=0.0)",True
w/o TP,corridor_2400m,40,4,f1a93d11d03baa3ebd7e68aa8326f61ac42981de2d8776c94e3ebe089cdbb214,0.7864,0.5307,0.1433,0.0627,1.0,0.0,400,400,0,"Task Priority Disabled (FIFO task order, p_weight=0.0)",True
w/o CO,corridor_2400m,40,4,f1a93d11d03baa3ebd7e68aa8326f61ac42981de2d8776c94e3ebe089cdbb214,0.7884,0.5289,0.1433,0.0627,1.0,0.0,400,400,0,"Collaborative Offloading Disabled (action_mask[1:]=False, Case 1 Only)",True
